Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Randomise questionnaire elements?,Question Key,Response
1,1706885260136,02/02/2024 14:47:40,1706885260717,-7,02/02/2024 07:47:40,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,BEGIN QUESTIONNAIRE,
2,1706885292511,02/02/2024 14:48:12,1706885293171,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,extroversion_score,4
3,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,extroversion_rating,Medium Low
4,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,agreeableness_score,4
5,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,agreeableness_rating,Low
6,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,conscientiousness_score,4
7,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,conscientiousness_rating,Low
8,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,emotional_stability_score,4
9,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,emotional_stability_rating,Medium Low
10,1706885292681,02/02/2024 14:48:12,1706885293172,-7,02/02/2024 07:48:13,163181,2,questionnaire-7spi,,34735664,BLIND,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,BFI10,1,A_1PatAnx_2AlexNorm,AB,No,openness_score,4
