Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1705418166737,16/01/2024 15:16:06,1705418166335,-8,16/01/2024 07:16:06,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,BEGIN QUESTIONNAIRE,
2,1705418513448,16/01/2024 15:21:53,1705418512329,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,similar-alex,Disagree
3,1705418513697,16/01/2024 15:21:53,1705418512331,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,similar-alex-quantised,2
4,1705418513697,16/01/2024 15:21:53,1705418512334,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,similar-pat,Agree
5,1705418513697,16/01/2024 15:21:53,1705418512334,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,similar-pat-quantised,4
6,1705418513697,16/01/2024 15:21:53,1705418512334,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,enjoy-alex,Agree
7,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,enjoy-alex-quantised,4
8,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,enjoy-pat,Disagree
9,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,enjoy-pat-quantised,2
10,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,distant-alex,Neutral
11,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,distant-alex-quantised,3
12,1705418513697,16/01/2024 15:21:53,1705418512335,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,distant-pat,Disagree
13,1705418513697,16/01/2024 15:21:53,1705418512336,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,distant-pat-quantised,2
14,1705418513697,16/01/2024 15:21:53,1705418512336,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,understood-alex,Neutral
15,1705418513697,16/01/2024 15:21:53,1705418512336,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,understood-alex-quantised,3
16,1705418513697,16/01/2024 15:21:53,1705418512336,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,understood-pat,Neutral
17,1705418513697,16/01/2024 15:21:53,1705418512336,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,understood-pat-quantised,3
18,1705418513697,16/01/2024 15:21:53,1705418512337,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,different-alex,Agree
19,1705418513697,16/01/2024 15:21:53,1705418512337,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,different-alex-quantised,4
20,1705418513697,16/01/2024 15:21:53,1705418512337,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,different-pat,Disagree
21,1705418513697,16/01/2024 15:21:53,1705418512337,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,different-pat-quantised,2
22,1705418513697,16/01/2024 15:21:53,1705418512338,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,chat-again-alex,Disagree
23,1705418513904,16/01/2024 15:21:53,1705418512338,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,chat-again-alex-quantised,2
24,1705418513904,16/01/2024 15:21:53,1705418512338,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,chat-again-pat,Agree
25,1705418513904,16/01/2024 15:21:53,1705418512338,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,chat-again-pat-quantised,4
26,1705418513904,16/01/2024 15:21:53,1705418512338,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,response-1-1,Pat
27,1705418513904,16/01/2024 15:21:53,1705418512339,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,response-1-2,Alex
28,1705418513904,16/01/2024 15:21:53,1705418512339,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,response-2,Alex seemed to put me in a gloomy mood.
29,1705418513904,16/01/2024 15:21:53,1705418512339,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,response-3,Pat made me feel better when talking to him.
30,1705418513904,16/01/2024 15:21:53,1705418512339,-8,16/01/2024 07:21:52,154938,3,questionnaire-gjc4,,34254949,BLIND,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,BA,1,No,END QUESTIONNAIRE,346004
1,1705418175476,16/01/2024 15:16:15,1705418179030,-6,16/01/2024 09:16:19,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1517x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,BEGIN QUESTIONNAIRE,
2,1705418316577,16/01/2024 15:18:36,1705418320186,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,similar-alex,Agree
3,1705418316905,16/01/2024 15:18:36,1705418320189,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,similar-alex-quantised,4
4,1705418316905,16/01/2024 15:18:36,1705418320189,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,similar-pat,Agree
5,1705418316905,16/01/2024 15:18:36,1705418320191,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,similar-pat-quantised,4
6,1705418316905,16/01/2024 15:18:36,1705418320191,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,enjoy-alex,Agree
7,1705418316905,16/01/2024 15:18:36,1705418320192,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,enjoy-alex-quantised,4
8,1705418316905,16/01/2024 15:18:36,1705418320193,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,enjoy-pat,Agree
9,1705418316905,16/01/2024 15:18:36,1705418320193,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,enjoy-pat-quantised,4
10,1705418316905,16/01/2024 15:18:36,1705418320194,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,distant-alex,Disagree
11,1705418316905,16/01/2024 15:18:36,1705418320195,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,distant-alex-quantised,2
12,1705418316905,16/01/2024 15:18:36,1705418320195,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,distant-pat,Disagree
13,1705418316905,16/01/2024 15:18:36,1705418320195,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,distant-pat-quantised,2
14,1705418316905,16/01/2024 15:18:36,1705418320196,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,understood-alex,Strongly Agree
15,1705418316905,16/01/2024 15:18:36,1705418320196,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,understood-alex-quantised,5
16,1705418316905,16/01/2024 15:18:36,1705418320196,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,understood-pat,Strongly Agree
17,1705418316905,16/01/2024 15:18:36,1705418320197,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,understood-pat-quantised,5
18,1705418316905,16/01/2024 15:18:36,1705418320197,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,different-alex,Neutral
19,1705418316905,16/01/2024 15:18:36,1705418320197,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,different-alex-quantised,3
20,1705418316905,16/01/2024 15:18:36,1705418320198,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,different-pat,Neutral
21,1705418316905,16/01/2024 15:18:36,1705418320198,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,different-pat-quantised,3
22,1705418316905,16/01/2024 15:18:36,1705418320198,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,chat-again-alex,Agree
23,1705418317107,16/01/2024 15:18:37,1705418320199,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,chat-again-alex-quantised,4
24,1705418317107,16/01/2024 15:18:37,1705418320199,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,chat-again-pat,Agree
25,1705418317107,16/01/2024 15:18:37,1705418320200,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,chat-again-pat-quantised,4
26,1705418317107,16/01/2024 15:18:37,1705418320200,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,response-1-1,Alex
27,1705418317107,16/01/2024 15:18:37,1705418320200,-6,16/01/2024 09:18:40,154938,3,questionnaire-gjc4,,34254956,BLIND,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1498x703,,,,Overall Bot Questionnaire: Alex(1) then Pat(2),1,AB,1,No,response-1-2,Pat
