Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Randomise questionnaire elements?,Question Key,Response
1,1706884562944,02/02/2024 14:36:02,1706884563522,-6,02/02/2024 08:36:03,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,BEGIN QUESTIONNAIRE,
2,1706884632948,02/02/2024 14:37:12,1706884633569,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,similar-alex,Agree
3,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,similar-alex-quantised,4
4,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,similar-pat,Disagree
5,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,similar-pat-quantised,2
6,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,enjoy-alex,Strongly Agree
7,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,enjoy-alex-quantised,5
8,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,enjoy-pat,Disagree
9,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,enjoy-pat-quantised,2
10,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,distant-alex,Disagree
11,1706884633074,02/02/2024 14:37:13,1706884633570,-6,02/02/2024 08:37:13,163181,2,questionnaire-6eoj,,34734997,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1519x703,,,,Overall Bot Questionnaire: Alex then Pat,1,A_2AlexNorm_1PatAnx,AB,No,distant-alex-quantised,2
