Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1700587816909,21/11/2023 17:30:16,1700587816161,-8,21/11/2023 09:30:16,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,BEGIN QUESTIONNAIRE,
2,1700588059132,21/11/2023 17:34:19,1700588057839,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,similar-alex,Neutral
3,1700588059382,21/11/2023 17:34:19,1700588057840,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,similar-alex-quantised,3
4,1700588059382,21/11/2023 17:34:19,1700588057840,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,similar-pat,Neutral
5,1700588059382,21/11/2023 17:34:19,1700588057840,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,similar-pat-quantised,3
6,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,enjoy-alex,Neutral
7,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,enjoy-alex-quantised,3
8,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,enjoy-pat,Agree
9,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,enjoy-pat-quantised,4
10,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,distant-alex,Disagree
11,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,distant-alex-quantised,2
12,1700588059382,21/11/2023 17:34:19,1700588057841,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,distant-pat,Disagree
13,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,distant-pat-quantised,2
14,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,understood-alex,Neutral
15,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,understood-alex-quantised,3
16,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,understood-pat,Agree
17,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,understood-pat-quantised,4
18,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,different-alex,Disagree
19,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,different-alex-quantised,2
20,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,different-pat,Disagree
21,1700588059382,21/11/2023 17:34:19,1700588057842,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,different-pat-quantised,2
22,1700588059382,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,chat-again-alex,Agree
23,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,chat-again-alex-quantised,4
24,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,chat-again-pat,Disagree
25,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,chat-again-pat-quantised,2
26,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,response-1-1,Alex
27,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,response-1-2,Pat
28,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,response-2,Alex was more engaging and interesting to talk to. Alex was more positive and showed more interest in me personally. Our chat was more varied and positive.
29,1700588059607,21/11/2023 17:34:19,1700588057843,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,response-3," I could relate to Pat, but the conversation was a bit boring and stale, since they only focused on one topic, and it was somewhat pessimistic. The conversation felt repetitive and redundant by the end."
30,1700588059607,21/11/2023 17:34:19,1700588057844,-8,21/11/2023 09:34:17,132936,24,questionnaire-ewzl,,33107470,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,AB,2,No,END QUESTIONNAIRE,241683
1,1700587928918,21/11/2023 17:32:08,1700587928655,-5,21/11/2023 12:32:08,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,BEGIN QUESTIONNAIRE,
2,1700587999897,21/11/2023 17:33:19,1700587999642,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,similar-alex,Disagree
3,1700588000061,21/11/2023 17:33:20,1700587999643,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,similar-alex-quantised,2
4,1700588000061,21/11/2023 17:33:20,1700587999643,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,similar-pat,Disagree
5,1700588000061,21/11/2023 17:33:20,1700587999643,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,similar-pat-quantised,2
6,1700588000061,21/11/2023 17:33:20,1700587999643,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,enjoy-alex,Neutral
7,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,enjoy-alex-quantised,3
8,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,enjoy-pat,Neutral
9,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,enjoy-pat-quantised,3
10,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,distant-alex,Agree
11,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,distant-alex-quantised,4
12,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,distant-pat,Agree
13,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,distant-pat-quantised,4
14,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,understood-alex,Disagree
15,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,understood-alex-quantised,2
16,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,understood-pat,Disagree
17,1700588000061,21/11/2023 17:33:20,1700587999644,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,understood-pat-quantised,2
18,1700588000061,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,different-alex,Agree
19,1700588000061,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,different-alex-quantised,4
20,1700588000061,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,different-pat,Agree
21,1700588000061,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,different-pat-quantised,4
22,1700588000061,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,chat-again-alex,Neutral
23,1700588000225,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,chat-again-alex-quantised,3
24,1700588000225,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,chat-again-pat,Disagree
25,1700588000225,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,chat-again-pat-quantised,2
26,1700588000225,21/11/2023 17:33:20,1700587999645,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,response-1-1,Alex
27,1700588000225,21/11/2023 17:33:20,1700587999646,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,response-1-2,Pat
28,1700588000225,21/11/2023 17:33:20,1700587999646,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,response-2,"Alex was upbeat at least, Pat was debbie downer but I might have guided it there."
29,1700588000225,21/11/2023 17:33:20,1700587999646,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,response-3,"Too depressed and ANXIOUS, but neither really was spectacular. "
30,1700588000225,21/11/2023 17:33:20,1700587999646,-5,21/11/2023 12:33:19,132936,24,questionnaire-ewzl,,33107528,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1365x801,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,END QUESTIONNAIRE,70991
1,1700588635028,21/11/2023 17:43:55,1700588634399,-5,21/11/2023 12:43:54,132936,24,questionnaire-ewzl,,33107826,BLIND,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,,Overall Bot Questionnaire: Alex(2) then Pat(1),3,BA,2,No,BEGIN QUESTIONNAIRE,
