Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Randomise questionnaire elements?,Question Key,Response
1,1706885097903,02/02/2024 14:44:57,1706885097755,-7,02/02/2024 07:44:57,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,BEGIN QUESTIONNAIRE,
2,1706885202889,02/02/2024 14:46:42,1706885202781,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,similar-pat,Strongly Disagree
3,1706885203082,02/02/2024 14:46:43,1706885202782,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,similar-pat-quantised,1
4,1706885203082,02/02/2024 14:46:43,1706885202782,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,similar-alex,Disagree
5,1706885203082,02/02/2024 14:46:43,1706885202783,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,similar-alex-quantised,2
6,1706885203082,02/02/2024 14:46:43,1706885202783,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,enjoy-pat,Disagree
7,1706885203082,02/02/2024 14:46:43,1706885202783,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,enjoy-pat-quantised,2
8,1706885203082,02/02/2024 14:46:43,1706885202783,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,enjoy-alex,Neutral
9,1706885203082,02/02/2024 14:46:43,1706885202783,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,enjoy-alex-quantised,3
10,1706885203082,02/02/2024 14:46:43,1706885202784,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,distant-pat,Strongly Agree
11,1706885203082,02/02/2024 14:46:43,1706885202784,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,distant-pat-quantised,5
12,1706885203082,02/02/2024 14:46:43,1706885202784,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,distant-alex,Strongly Agree
13,1706885203082,02/02/2024 14:46:43,1706885202784,-7,02/02/2024 07:46:42,163181,2,questionnaire-eupm,,34735538,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1579x712,,,,Overall Bot Questionnaire: Pat then Alex,1,B_2PatNorm_1AlexAnx,BA,No,distant-alex-quantised,5
