Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1700586202862,21/11/2023 17:03:22,1700557402862,-8,21/11/2023 01:03:22,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,,,,,5,,BEGIN,,,,,
2,1700586275770,21/11/2023 17:04:35,1700557475770,-8,21/11/2023 01:04:35,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
3,1700586275770,21/11/2023 17:04:35,1700557475770,-8,21/11/2023 01:04:35,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,Page 1,4txcqs,1,What is your age?,response,value,36,,,Number Entry,3,object-4
4,1700586275770,21/11/2023 17:04:35,1700557475770,-8,21/11/2023 01:04:35,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1700586275770,21/11/2023 17:04:35,1700557475770,-8,21/11/2023 01:04:35,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
6,1700586275770,21/11/2023 17:04:35,1700557475770,-8,21/11/2023 01:04:35,132936,24,questionnaire-8v2c,,33106841,BLIND,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,welcomeAndConsent,13,AB,2,,,,,5,,END,,,,,
1,1700586382582,21/11/2023 17:06:22,1700568382582,-5,21/11/2023 07:06:22,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,,,,,5,,BEGIN,,,,,
2,1700586400536,21/11/2023 17:06:40,1700568400536,-5,21/11/2023 07:06:40,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,Page 1,4txcqs,1,What is your age?,response,value,45,,,Number Entry,3,object-4
3,1700586400536,21/11/2023 17:06:40,1700568400536,-5,21/11/2023 07:06:40,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1700586400536,21/11/2023 17:06:40,1700568400536,-5,21/11/2023 07:06:40,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1700586400537,21/11/2023 17:06:40,1700568400537,-5,21/11/2023 07:06:40,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1700586400537,21/11/2023 17:06:40,1700568400537,-5,21/11/2023 07:06:40,132936,24,questionnaire-8v2c,,33106925,BLIND,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,welcomeAndConsent,13,BA,2,,,,,5,,END,,,,,
1,1700586375506,21/11/2023 17:06:15,1700564775506,-6,21/11/2023 05:06:15,132936,24,questionnaire-8v2c,,33106935,BLIND,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,welcomeAndConsent,13,AB,1,,,,,5,,BEGIN,,,,,
