Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706884508641,02/02/2024 14:35:08,1706862908641,-6,02/02/2024 02:35:08,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884513052,02/02/2024 14:35:13,1706862913052,-6,02/02/2024 02:35:13,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,1,chat2,Screen 2,o6hbif,1,continue,,4416.489999999998,4416.489999999998,4416.489999999998,4416.489999999998,4416.489999999998,4416.489999999998,1,4416.489999999998,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884789422,02/02/2024 14:39:49,1706863189422,-6,02/02/2024 02:39:49,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
4,1706885518582,02/02/2024 14:51:58,1706863918582,-6,02/02/2024 02:51:58,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,1,chat2,Screen 1,xvlh72,1,continue,,729199.6919999999,729183.027,729199.6919999999,729199.6919999999,729183.027,729199.6919999999,1,729199.6919999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
5,1706885527959,02/02/2024 14:52:07,1706863927959,-6,02/02/2024 02:52:07,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7694,5583.092000000062,9399.564000000013,9416.22900000005,5583.092000000062,9399.564000000013,9416.22900000005,1,5583.092000000062,3833.136999999988,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
6,1706885527966,02/02/2024 14:52:07,1706863927966,-6,02/02/2024 02:52:07,163181,2,task-4nrv,,34734923,BLIND,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,2023x936,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706887301137,02/02/2024 15:21:41,1706869301137,-5,02/02/2024 05:21:41,163181,2,task-4nrv,,34738771,BLIND,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706887309431,02/02/2024 15:21:49,1706869309431,-5,02/02/2024 05:21:49,163181,2,task-4nrv,,34738771,BLIND,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,164152.2,164152.2,164152.2,164152.2,164152.2,164152.2,1,164152.2,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706888209430,02/02/2024 15:36:49,1706870209430,-5,02/02/2024 05:36:49,163181,2,task-4nrv,,34738771,BLIND,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat2,1,chat2,Screen 1,xvlh72,2,timedOut,,900011.2000000954,900005.5,900011.2000000954,900011.2000000954,900005.5,900011.2000000954,1,900011.2000000954,0,0,,Time Limit,screen,0,screen,chat2,
4,1706888304873,02/02/2024 15:38:24,1706870304873,-5,02/02/2024 05:38:24,163181,2,task-4nrv,,34738771,BLIND,10270624,,complete,suphgz,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,4739,88045.90000000014,95438.6000000001,95438.6000000001,88045.90000000014,95438.6000000001,95438.6000000001,1,88045.90000000014,7392.699999999953,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
