Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706883213019,02/02/2024 14:13:33,1706854413019,-8,01/02/2024 22:13:33,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883219370,02/02/2024 14:13:39,1706854419370,-8,01/02/2024 22:13:39,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,1,chat1,Screen 2,66299v,1,continue,,6359.42,6348.24,6359.42,6359.42,6348.24,6359.42,1,6359.42,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706883979957,02/02/2024 14:26:19,1706855179957,-8,01/02/2024 22:26:19,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,760598.18,760582.28,760598.18,760598.18,760582.28,760598.18,1,760598.18,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1706883990642,02/02/2024 14:26:30,1706855190642,-8,01/02/2024 22:26:30,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
5,1706884010734,02/02/2024 14:26:50,1706855210734,-8,01/02/2024 22:26:50,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7695,13412.32,20085.66,20095.54,13412.32,20085.66,20095.54,1,13412.32,6683.220000000001,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
6,1706884010736,02/02/2024 14:26:50,1706855210736,-8,01/02/2024 22:26:50,163181,2,task-4uru,,34733424,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707334711485,07/02/2024 19:38:31,1707316711485,-5,07/02/2024 09:38:31,163181,2,task-4uru,,34899183,BLIND,10318720,,complete,rvnkvw,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x615,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707334713792,07/02/2024 19:38:33,1707316713792,-5,07/02/2024 09:38:33,163181,2,task-4uru,,34899183,BLIND,10318720,,complete,rvnkvw,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x615,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat1,1,chat1,Screen 2,66299v,1,continue,,2326.24,2307.8999999999996,2326.24,2326.24,2307.8999999999996,2326.24,1,2326.24,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1707335613806,07/02/2024 19:53:33,1707317613806,-5,07/02/2024 09:53:33,163181,2,task-4uru,,34899183,BLIND,10318720,,complete,rvnkvw,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x615,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,899995.34,899992.5,899995.34,899995.34,899992.5,899995.34,1,899995.34,0,0,,Time Limit,screen,0,screen,chat1,
4,1707335625663,07/02/2024 19:53:45,1707317625663,-5,07/02/2024 09:53:45,163181,2,task-4uru,,34899183,BLIND,10318720,,complete,rvnkvw,,computer,Desktop or Laptop,Windows 7,Firefox 115.0,1366x768,1366x615,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6758,8181.719999999972,11845.479999999981,11861.839999999967,8181.719999999972,11845.479999999981,11861.839999999967,1,8181.719999999972,3680.1199999999953,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
