Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706883834397,02/02/2024 14:23:54,1706862234397,-6,02/02/2024 02:23:54,163181,2,task-hu1g,,34734083,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883836433,02/02/2024 14:23:56,1706862236433,-6,02/02/2024 02:23:56,163181,2,task-hu1g,,34734083,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat1,1,chat1,Screen 2,66299v,1,continue,,749252.7,749252.7,749252.7,749252.7,749252.7,749252.7,1,749252.7,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706884557424,02/02/2024 14:35:57,1706862957424,-6,02/02/2024 02:35:57,163181,2,task-hu1g,,34734083,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,720989.6000000001,720989.6000000001,720989.6000000001,720989.6000000001,720989.6000000001,720989.6000000001,1,720989.6000000001,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1706884559995,02/02/2024 14:35:59,1706862959995,-6,02/02/2024 02:35:59,163181,2,task-hu1g,,34734083,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3359,1748.5,2574,2574,1748.5,2574,2574,1,1748.5,825.5,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1706884559996,02/02/2024 14:35:59,1706862959996,-6,02/02/2024 02:35:59,163181,2,task-hu1g,,34734083,BLIND,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883990517,02/02/2024 14:26:30,1706862390517,-6,02/02/2024 02:26:30,163181,2,task-hu1g,,34734261,BLIND,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883997281,02/02/2024 14:26:37,1706862397281,-6,02/02/2024 02:26:37,163181,2,task-hu1g,,34734261,BLIND,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat1,1,chat1,Screen 2,66299v,1,continue,,783675.22,783675.22,783675.22,783675.22,783675.22,783675.22,1,783675.22,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706884731523,02/02/2024 14:38:51,1706863131523,-6,02/02/2024 02:38:51,163181,2,task-hu1g,,34734261,BLIND,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,734250,734250,734250,734250,734250,734250,1,734250,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1706884735676,02/02/2024 14:38:55,1706863135676,-6,02/02/2024 02:38:55,163181,2,task-hu1g,,34734261,BLIND,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat1,1,completionCode1,Screen 1,oj56ag,1,response,9098,2316.659999999916,4150,4150,2316.659999999916,4150,4150,1,2316.659999999916,1833.3400000000838,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1706884735677,02/02/2024 14:38:55,1706863135677,-6,02/02/2024 02:38:55,163181,2,task-hu1g,,34734261,BLIND,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
