Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706883577731,02/02/2024 14:19:37,1706858377731,-7,02/02/2024 00:19:37,163181,2,task-ppql,,34733819,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883581732,02/02/2024 14:19:41,1706858381732,-7,02/02/2024 00:19:41,163181,2,task-ppql,,34733819,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,4020.7999999523163,4015.5,4020.7999999523163,4020.7999999523163,4015.5,4020.7999999523163,1,4020.7999999523163,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884311778,02/02/2024 14:31:51,1706859111778,-7,02/02/2024 00:31:51,163181,2,task-ppql,,34733819,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,730043.1000000238,730031.3,730043.1000000238,730043.1000000238,730031.3,730043.1000000238,1,730043.1000000238,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706884337003,02/02/2024 14:32:17,1706859137003,-7,02/02/2024 00:32:17,163181,2,task-ppql,,34733819,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,4439,19875,25218.79999999993,25234.399999999907,19875,25218.79999999993,25234.399999999907,1,19875,5359.399999999907,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706884337016,02/02/2024 14:32:17,1706859137016,-7,02/02/2024 00:32:17,163181,2,task-ppql,,34733819,BLIND,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883678287,02/02/2024 14:21:18,1706862078287,-6,02/02/2024 02:21:18,163181,2,task-ppql,,34733917,BLIND,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883681258,02/02/2024 14:21:21,1706862081258,-6,02/02/2024 02:21:21,163181,2,task-ppql,,34733917,BLIND,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2990.1000000089407,2975.5,2990.1000000089407,2990.1000000089407,2975.5,2990.1000000089407,1,2990.1000000089407,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884403016,02/02/2024 14:33:23,1706862803016,-6,02/02/2024 02:33:23,163181,2,task-ppql,,34733917,BLIND,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat2,1,chat2,Screen 1,xvlh72,2,continue,,721770.7999999999,721754.1,721770.7999999999,721770.7999999999,721754.1,721770.7999999999,1,721770.7999999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706884418548,02/02/2024 14:33:38,1706862818548,-6,02/02/2024 02:33:38,163181,2,task-ppql,,34733917,BLIND,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,2195,15517.800000000047,15517.800000000047,15534.400000000023,15517.800000000047,15517.800000000047,15534.400000000023,1,15517.800000000047,16.599999999976717,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706884418559,02/02/2024 14:33:38,1706862818559,-6,02/02/2024 02:33:38,163181,2,task-ppql,,34733917,BLIND,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
