Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706884014342,02/02/2024 14:26:54,1706855214342,-8,01/02/2024 22:26:54,163181,2,task-tvu5,,34734283,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884016907,02/02/2024 14:26:56,1706855216907,-8,01/02/2024 22:26:56,163181,2,task-tvu5,,34734283,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,chat2,Screen 2,o6hbif,1,continue,,28222.96,28222.96,28222.96,28222.96,28222.96,28222.96,1,28222.96,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884831206,02/02/2024 14:40:31,1706856031206,-8,01/02/2024 22:40:31,163181,2,task-tvu5,,34734283,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,chat2,Screen 1,xvlh72,2,continue,,814305.0800000001,814305.0800000001,814305.0800000001,814305.0800000001,814305.0800000001,814305.0800000001,1,814305.0800000001,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706884839904,02/02/2024 14:40:39,1706856039904,-8,01/02/2024 22:40:39,163181,2,task-tvu5,,34734283,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,6385,4320.979999999981,8692.020000000019,8692.020000000019,4320.979999999981,8692.020000000019,8692.020000000019,1,4320.979999999981,4371.040000000037,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706884839904,02/02/2024 14:40:39,1706856039904,-8,01/02/2024 22:40:39,163181,2,task-tvu5,,34734283,BLIND,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706884157402,02/02/2024 14:29:17,1706866157402,-5,02/02/2024 04:29:17,163181,2,task-tvu5,,34734466,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884160068,02/02/2024 14:29:20,1706866160068,-5,02/02/2024 04:29:20,163181,2,task-tvu5,,34734466,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2667,2667,2667,2667,2667,2667,1,2667,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884909064,02/02/2024 14:41:49,1706866909064,-5,02/02/2024 04:41:49,163181,2,task-tvu5,,34734466,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,748991.2999999999,748991.2999999999,748991.2999999999,748991.2999999999,748991.2999999999,748991.2999999999,1,748991.2999999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706884928428,02/02/2024 14:42:08,1706866928428,-5,02/02/2024 04:42:08,163181,2,task-tvu5,,34734466,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,2586,9334.400000000023,19368.900000000023,19368.900000000023,9334.400000000023,19368.900000000023,19368.900000000023,1,9334.400000000023,10034.5,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706884928430,02/02/2024 14:42:08,1706866928430,-5,02/02/2024 04:42:08,163181,2,task-tvu5,,34734466,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706884431601,02/02/2024 14:33:51,1706866431601,-5,02/02/2024 04:33:51,163181,2,task-tvu5,,34734826,BLIND,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884433139,02/02/2024 14:33:53,1706866433139,-5,02/02/2024 04:33:53,163181,2,task-tvu5,,34734826,BLIND,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1539.4000000000233,1539.4000000000233,1539.4000000000233,1539.4000000000233,1539.4000000000233,1539.4000000000233,1,1539.4000000000233,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706885177206,02/02/2024 14:46:17,1706867177206,-5,02/02/2024 04:46:17,163181,2,task-tvu5,,34734826,BLIND,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,chat2,Screen 1,xvlh72,2,continue,,744011.3,744011.3,744011.3,744011.3,744011.3,744011.3,1,744011.3,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706885180880,02/02/2024 14:46:20,1706867180880,-5,02/02/2024 04:46:20,163181,2,task-tvu5,,34734826,BLIND,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,2957,3042.2999999998137,3678.6999999999534,3678.6999999999534,3042.2999999998137,3678.6999999999534,3678.6999999999534,1,3042.2999999998137,636.4000000001397,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706885180880,02/02/2024 14:46:20,1706867180880,-5,02/02/2024 04:46:20,163181,2,task-tvu5,,34734826,BLIND,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707464773762,09/02/2024 07:46:13,1707446773762,-5,08/02/2024 21:46:13,163181,2,task-tvu5,,34954425,BLIND,10334514,,complete,hmdvqa,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1600x900,1455x672,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707464776433,09/02/2024 07:46:16,1707446776433,-5,08/02/2024 21:46:16,163181,2,task-tvu5,,34954425,BLIND,10334514,,complete,hmdvqa,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1600x900,1455x672,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,748688.7,748688.7,748688.7,748688.7,748688.7,748688.7,1,748688.7,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1707465498516,09/02/2024 07:58:18,1707447498516,-5,08/02/2024 21:58:18,163181,2,task-tvu5,,34954425,BLIND,10334514,,complete,hmdvqa,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,722077.7,722077.7,722077.7,722077.7,722077.7,722077.7,1,722077.7,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1707465504056,09/02/2024 07:58:24,1707447504056,-5,08/02/2024 21:58:24,163181,2,task-tvu5,,34954425,BLIND,10334514,,complete,hmdvqa,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,3584,5443.90000000014,5527,5527,5443.90000000014,5527,5527,1,5443.90000000014,83.0999999998603,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1707465504058,09/02/2024 07:58:24,1707447504058,-5,08/02/2024 21:58:24,163181,2,task-tvu5,,34954425,BLIND,10334514,,complete,hmdvqa,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707798782656,13/02/2024 04:33:02,1707769982656,-8,12/02/2024 12:33:02,163181,2,task-tvu5,,35076369,BLIND,10367266,,complete,rshwjw,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1280x689,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707798785648,13/02/2024 04:33:05,1707769985648,-8,12/02/2024 12:33:05,163181,2,task-tvu5,,35076369,BLIND,10367266,,complete,rshwjw,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1280x689,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2983.29999999993,2983.29999999993,2983.29999999993,2983.29999999993,2983.29999999993,2983.29999999993,1,2983.29999999993,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1707799680496,13/02/2024 04:48:00,1707770880496,-8,12/02/2024 12:48:00,163181,2,task-tvu5,,35076369,BLIND,10367266,,complete,rshwjw,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1280x689,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,894837.6000000001,894837.6000000001,894837.6000000001,894837.6000000001,894837.6000000001,894837.6000000001,1,894837.6000000001,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1707799682863,13/02/2024 04:48:02,1707770882863,-8,12/02/2024 12:48:02,163181,2,task-tvu5,,35076369,BLIND,10367266,,complete,rshwjw,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1280x689,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7362,1632.5999999998603,2366.1999999999534,2366.1999999999534,1632.5999999998603,2366.1999999999534,2366.1999999999534,1,1632.5999999998603,733.6000000000931,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1707799682864,13/02/2024 04:48:02,1707770882864,-8,12/02/2024 12:48:02,163181,2,task-tvu5,,35076369,BLIND,10367266,,complete,rshwjw,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1280x689,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706885864299,02/02/2024 14:57:44,1706864264299,-6,02/02/2024 02:57:44,163181,2,task-tvu5,,34736358,BLIND,10269912,,complete,ylnero,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706885867319,02/02/2024 14:57:47,1706864267319,-6,02/02/2024 02:57:47,163181,2,task-tvu5,,34736358,BLIND,10269912,,complete,ylnero,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance B),1,B_1AlexAnx_2PatNorm,AB,chat2,1,chat2,Screen 2,o6hbif,1,continue,,940515.9,940515.9,940515.9,940515.9,940515.9,940515.9,1,940515.9,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
