Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706883952464,02/02/2024 14:25:52,1706865952464,-5,02/02/2024 04:25:52,163181,2,task-vjth,,34734220,BLIND,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883954882,02/02/2024 14:25:54,1706865954882,-5,02/02/2024 04:25:54,163181,2,task-vjth,,34734220,BLIND,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2418.5999999999767,2418.5999999999767,2418.5999999999767,2418.5999999999767,2418.5999999999767,2418.5999999999767,1,2418.5999999999767,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706884742773,02/02/2024 14:39:02,1706866742773,-5,02/02/2024 04:39:02,163181,2,task-vjth,,34734220,BLIND,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,787876.1000000001,787876.1000000001,787876.1000000001,787876.1000000001,787876.1000000001,787876.1000000001,1,787876.1000000001,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706884751305,02/02/2024 14:39:11,1706866751305,-5,02/02/2024 04:39:11,163181,2,task-vjth,,34734220,BLIND,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,2790,6839,8557,8557,6839,8557,8557,1,6839,1718,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706884751305,02/02/2024 14:39:11,1706866751305,-5,02/02/2024 04:39:11,163181,2,task-vjth,,34734220,BLIND,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706887473510,02/02/2024 15:24:33,1706858673510,-8,01/02/2024 23:24:33,163181,2,task-vjth,,34739053,BLIND,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x768,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706887476693,02/02/2024 15:24:36,1706858676693,-8,01/02/2024 23:24:36,163181,2,task-vjth,,34739053,BLIND,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x768,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,3183.4590000000317,3183.4590000000317,3183.4590000000317,3183.4590000000317,3183.4590000000317,3183.4590000000317,1,3183.4590000000317,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1706888200560,02/02/2024 15:36:40,1706859400560,-8,01/02/2024 23:36:40,163181,2,task-vjth,,34739053,BLIND,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x768,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,chat2,Screen 1,xvlh72,2,continue,,723869.308,723869.308,723869.308,723869.308,723869.308,723869.308,1,723869.308,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1706888214165,02/02/2024 15:36:54,1706859414165,-8,01/02/2024 23:36:54,163181,2,task-vjth,,34739053,BLIND,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x768,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,8541,10883.615999999922,13600.374000000069,13600.374000000069,10883.615999999922,13600.374000000069,13600.374000000069,1,10883.615999999922,2716.758000000147,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1706888214172,02/02/2024 15:36:54,1706859414172,-8,01/02/2024 23:36:54,163181,2,task-vjth,,34739053,BLIND,10270371,,complete,uvsssn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 116.0.0.0,1366x768,1366x768,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1707445493434,09/02/2024 02:24:53,1707427493434,-5,08/02/2024 16:24:53,163181,2,task-vjth,,34952404,BLIND,10333863,,complete,kbmvnb,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,2048x926,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1707445494872,09/02/2024 02:24:54,1707427494872,-5,08/02/2024 16:24:54,163181,2,task-vjth,,34952404,BLIND,10333863,,complete,kbmvnb,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,2048x926,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1437.5,1437.5,1437.5,1437.5,1437.5,1437.5,1,1437.5,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
