"","Participant.Private.ID","Response","chat","chat1_first"
"4",9804126,"there was no code???",1,"yes"
"9",9804410,"6868",1,"yes"
"14",9804421,"8388",1,"yes"
"19",9805587,"2465",1,"yes"
"41",9804126,"6288",2,"yes"
"91",9804410,"5545",2,"yes"
"141",9804421,"1524",2,"yes"
"191",9805587,"7610",2,"yes"
"42",9804092,"8722",1,"no"
"92",9804125,"3014",1,"no"
"142",9804178,"1577",1,"no"
"192",9804355,"7477",1,"no"
"24",9804579,"7775",1,"no"
"29",9804926,"7872",1,"no"
"43",9804092,"7358",2,"no"
"93",9804125,"1360",2,"no"
"143",9804178,"3577",2,"no"
"193",9804355,"5558",2,"no"
"241",9804579,"1429",2,"no"
"291",9804926,"8592",2,"no"
