"","Participant.Private.ID","Response","chat","chat1_first"
"4",10117140,"5359",2,"yes"
"9",10117148,"8460",2,"yes"
"14",10117204,"9865",2,"yes"
"19",10117263,"7089",2,"yes"
"26",10117266,"9069",2,"yes"
"31",10117352,"5021",2,"yes"
"38",10117199,"7165",2,"yes"
"44",10117874,"8885",2,"yes"
"49",10118268,"1038",2,"yes"
"55",10118261,"7957",2,"yes"
"60",10117950,"5426",2,"yes"
"65",10117696,"8284",2,"yes"
"70",10117424,"9596",2,"yes"
"75",10117133,"2385",2,"yes"
"80",10117189,"3864",2,"yes"
"85",10117171,"8436",2,"yes"
"90",10117147,"6745",2,"yes"
"95",10117126,"6796",2,"yes"
"100",10117150,"5237",2,"yes"
"41",10117124,"9463",1,"no"
"91",10117154,"7522",1,"no"
"141",10117165,"8865",1,"no"
"191",10117181,"1234",1,"no"
"24",10117146,"8744",1,"no"
"29",10117196,"9491",1,"no"
"34",10117310,"4771",1,"no"
"39",10117478,"8054",1,"no"
"441",10117912,"2793",1,"no"
"491",10118016,"6684",1,"no"
"54",10118299,"6641",1,"no"
"59",10118208,"7333",1,"no"
"64",10117839,"3187",1,"no"
"69",10117760,"7668 again no code at the end, just advanced, that's the code from the start",1,"no"
"74",10117128,"6534",1,"no"
"6",10117133,"6136",1,"yes"
"11",10117148,"7432",1,"yes"
"17",10117150,"3927",1,"yes"
"22",10117126,"3394",1,"yes"
"27",10117171,"9992",1,"yes"
"32",10117189,"3715",1,"yes"
"391",10117199,"6918",1,"yes"
"442",10117204,"6306",1,"yes"
"492",10117266,"8539",1,"yes"
"541",10117352,"7106",1,"yes"
"591",10117424,"3693",1,"yes"
"641",10117696,"5906",1,"yes"
"691",10118261,"3346",1,"yes"
"741",10118268,"6234",1,"yes"
"79",10117950,"6252",1,"yes"
"84",10117874,"9838",1,"yes"
"901",10117263,"7462",1,"yes"
"951",10117140,"3020",1,"yes"
"1001",10117147,"3301",1,"yes"
"42",10117124,"5298",2,"no"
"92",10117128,"3639",2,"no"
"142",10117154,"3372",2,"no"
"192",10117146,"6886",2,"no"
"241",10117165,"5079",2,"no"
"291",10117181,"5073",2,"no"
"341",10117196,"7133",2,"no"
"392",10117310,"1267",2,"no"
"443",10117478,"8178",2,"no"
"493",10117760,"no code given at the end, i only got a code at the start 6045. comments on the HIT note that others didn't get a code either",2,"no"
"542",10117839,"8865",2,"no"
"592",10117912,"3389",2,"no"
"642",10118016,"5877",2,"no"
"692",10118299,"8749",2,"no"
"751",10118208,"7071",2,"no"
