"Participant.Private.ID","Participant.Status","arm","Response","chat","chatType","counterbalance","chat1_first","gorillaExp"
9804092,"complete","2","7358",2,"Normal","A","no","A"
9804092,"complete","2","8722",1,"Anxious","A","no","A"
9804125,"complete","2","1360",2,"Normal","A","no","A"
9804125,"complete","2","3014",1,"Anxious","A","no","A"
9804126,"complete","1","there was no code???",1,"Anxious","A","yes","A"
9804126,"complete","1","6288",2,"Normal","A","yes","A"
9804178,"complete","2","3577",2,"Normal","A","no","A"
9804178,"complete","2","1577",1,"Anxious","A","no","A"
9804355,"complete","2","5558",2,"Normal","A","no","A"
9804355,"complete","2","7477",1,"Anxious","A","no","A"
9804410,"complete","1","6868",1,"Anxious","A","yes","A"
9804410,"complete","1","5545",2,"Normal","A","yes","A"
9804421,"complete","1","8388",1,"Anxious","A","yes","A"
9804421,"complete","1","1524",2,"Normal","A","yes","A"
9804579,"complete","2","1429",2,"Normal","A","no","A"
9804579,"complete","2","7775",1,"Anxious","A","no","A"
9804926,"complete","2","8592",2,"Normal","A","no","A"
9804926,"complete","2","7872",1,"Anxious","A","no","A"
9805587,"complete","1","2465",1,"Anxious","A","yes","A"
9805587,"complete","1","7610",2,"Normal","A","yes","A"
10117124,"complete","2","9463",1,"Anxious","B","no","B"
10117124,"complete","2","5298",2,"Normal","B","no","B"
10117126,"complete","1","3394",1,"Anxious","B","yes","B"
10117126,"complete","1","6796",2,"Normal","B","yes","B"
10117128,"complete","2","6534",1,"Anxious","B","no","B"
10117128,"complete","2","3639",2,"Normal","B","no","B"
10117133,"complete","1","6136",1,"Anxious","B","yes","B"
10117133,"complete","1","2385",2,"Normal","B","yes","B"
10117140,"complete","1","3020",1,"Anxious","B","yes","B"
10117140,"complete","1","5359",2,"Normal","B","yes","B"
10117146,"complete","2","8744",1,"Anxious","B","no","B"
10117146,"complete","2","6886",2,"Normal","B","no","B"
10117147,"complete","1","3301",1,"Anxious","B","yes","B"
10117147,"complete","1","6745",2,"Normal","B","yes","B"
10117148,"complete","1","7432",1,"Anxious","B","yes","B"
10117148,"complete","1","8460",2,"Normal","B","yes","B"
10117150,"complete","1","3927",1,"Anxious","B","yes","B"
10117150,"complete","1","5237",2,"Normal","B","yes","B"
10117154,"complete","2","7522",1,"Anxious","B","no","B"
10117154,"complete","2","3372",2,"Normal","B","no","B"
10117165,"complete","2","8865",1,"Anxious","B","no","B"
10117165,"complete","2","5079",2,"Normal","B","no","B"
10117171,"complete","1","9992",1,"Anxious","B","yes","B"
10117171,"complete","1","8436",2,"Normal","B","yes","B"
10117181,"complete","2","1234",1,"Anxious","B","no","B"
10117181,"complete","2","5073",2,"Normal","B","no","B"
10117189,"complete","1","3715",1,"Anxious","B","yes","B"
10117189,"complete","1","3864",2,"Normal","B","yes","B"
10117196,"complete","2","9491",1,"Anxious","B","no","B"
10117196,"complete","2","7133",2,"Normal","B","no","B"
10117199,"complete","1","6918",1,"Anxious","B","yes","B"
10117199,"complete","1","7165",2,"Normal","B","yes","B"
10117204,"complete","1","6306",1,"Anxious","B","yes","B"
10117204,"complete","1","9865",2,"Normal","B","yes","B"
10117263,"complete","1","7462",1,"Anxious","B","yes","B"
10117263,"complete","1","7089",2,"Normal","B","yes","B"
10117266,"complete","1","8539",1,"Anxious","B","yes","B"
10117266,"complete","1","9069",2,"Normal","B","yes","B"
10117310,"complete","2","4771",1,"Anxious","B","no","B"
10117310,"complete","2","1267",2,"Normal","B","no","B"
10117352,"complete","1","7106",1,"Anxious","B","yes","B"
10117352,"complete","1","5021",2,"Normal","B","yes","B"
10117424,"complete","1","3693",1,"Anxious","B","yes","B"
10117424,"complete","1","9596",2,"Normal","B","yes","B"
10117478,"complete","2","8054",1,"Anxious","B","no","B"
10117478,"complete","2","8178",2,"Normal","B","no","B"
10117696,"complete","1","5906",1,"Anxious","B","yes","B"
10117696,"complete","1","8284",2,"Normal","B","yes","B"
10117760,"complete","2","7668 again no code at the end, just advanced, that's the code from the start",1,"Anxious","B","no","B"
10117760,"complete","2","no code given at the end, i only got a code at the start 6045. comments on the HIT note that others didn't get a code either",2,"Normal","B","no","B"
10117839,"complete","2","3187",1,"Anxious","B","no","B"
10117839,"complete","2","8865",2,"Normal","B","no","B"
10117874,"complete","1","9838",1,"Anxious","B","yes","B"
10117874,"complete","1","8885",2,"Normal","B","yes","B"
10117912,"complete","2","2793",1,"Anxious","B","no","B"
10117912,"complete","2","3389",2,"Normal","B","no","B"
10117950,"complete","1","6252",1,"Anxious","B","yes","B"
10117950,"complete","1","5426",2,"Normal","B","yes","B"
10118016,"complete","2","6684",1,"Anxious","B","no","B"
10118016,"complete","2","5877",2,"Normal","B","no","B"
10118208,"complete","2","7333",1,"Anxious","B","no","B"
10118208,"complete","2","7071",2,"Normal","B","no","B"
10118261,"complete","1","3346",1,"Anxious","B","yes","B"
10118261,"complete","1","7957",2,"Normal","B","yes","B"
10118268,"complete","1","6234",1,"Anxious","B","yes","B"
10118268,"complete","1","1038",2,"Normal","B","yes","B"
10118299,"complete","2","6641",1,"Anxious","B","no","B"
10118299,"complete","2","8749",2,"Normal","B","no","B"
10269258,"complete","A_1PatAnx_2AlexNorm","6195",1,"Anxious","A","yes","AB"
10269258,"complete","A_1PatAnx_2AlexNorm","4337",2,"Normal","A","yes","AB"
10269277,"complete","A_2AlexNorm_1PatAnx","7503",2,"Normal","A","no","AB"
10269277,"complete","A_2AlexNorm_1PatAnx","3359",1,"Anxious","A","no","AB"
10269286,"complete","B_1AlexAnx_2PatNorm","7695",1,"Anxious","B","yes","AB"
10269286,"complete","B_1AlexAnx_2PatNorm","6385",2,"Normal","B","yes","AB"
10269296,"complete","B_2PatNorm_1AlexAnx","5825",2,"Normal","B","no","AB"
10269296,"complete","B_2PatNorm_1AlexAnx","3508",1,"Anxious","B","no","AB"
10269305,"complete","A_1PatAnx_2AlexNorm","9821",1,"Anxious","A","yes","AB"
10269305,"complete","A_1PatAnx_2AlexNorm","2790",2,"Normal","A","yes","AB"
10269314,"complete","A_1PatAnx_2AlexNorm","6606",1,"Anxious","A","yes","AB"
10269314,"complete","A_1PatAnx_2AlexNorm","8014",2,"Normal","A","yes","AB"
10269319,"complete","A_2AlexNorm_1PatAnx","2752",2,"Normal","A","no","AB"
10269319,"complete","A_2AlexNorm_1PatAnx","9098",1,"Anxious","A","no","AB"
10269353,"complete","B_1AlexAnx_2PatNorm","7305",1,"Anxious","B","yes","AB"
10269353,"complete","B_1AlexAnx_2PatNorm","2586",2,"Normal","B","yes","AB"
10269413,"complete","B_2PatNorm_1AlexAnx","4439",2,"Normal","B","no","AB"
10269413,"complete","B_2PatNorm_1AlexAnx","1485",1,"Anxious","B","no","AB"
10269434,"complete","A_1PatAnx_2AlexNorm","2222",1,"Anxious","A","yes","AB"
10269434,"complete","A_1PatAnx_2AlexNorm","6625",2,"Normal","A","yes","AB"
10269440,"complete","A_2AlexNorm_1PatAnx","2977",2,"Normal","A","no","AB"
10269440,"complete","A_2AlexNorm_1PatAnx","9597",1,"Anxious","A","no","AB"
10269445,"complete","A_2AlexNorm_1PatAnx","6331",2,"Normal","A","no","AB"
10269445,"complete","A_2AlexNorm_1PatAnx","2962",1,"Anxious","A","no","AB"
10269450,"complete","B_1AlexAnx_2PatNorm","5519",1,"Anxious","B","yes","AB"
10269450,"complete","B_1AlexAnx_2PatNorm","2957",2,"Normal","B","yes","AB"
10269475,"complete","A_1PatAnx_2AlexNorm","2246",1,"Anxious","A","yes","AB"
10269475,"complete","A_1PatAnx_2AlexNorm","3453",2,"Normal","A","yes","AB"
10269476,"complete","B_2PatNorm_1AlexAnx","2195",2,"Normal","B","no","AB"
10269476,"complete","B_2PatNorm_1AlexAnx","7902",1,"Anxious","B","no","AB"
10269598,"complete","A_2AlexNorm_1PatAnx","7197",2,"Normal","A","no","AB"
10269598,"complete","A_2AlexNorm_1PatAnx","3786",1,"Anxious","A","no","AB"
10269734,"complete","A_2AlexNorm_1PatAnx","7694",2,"Normal","A","no","AB"
10269734,"complete","A_2AlexNorm_1PatAnx","9338",1,"Anxious","A","no","AB"
10269900,"complete","B_2PatNorm_1AlexAnx","5393",2,"Normal","B","no","AB"
10269900,"complete","B_2PatNorm_1AlexAnx","3691",1,"Anxious","B","no","AB"
10269912,"complete","B_1AlexAnx_2PatNorm","9157",1,"Anxious","B","yes","AB"
10269912,"complete","B_1AlexAnx_2PatNorm","1748",2,"Normal","B","yes","AB"
10269942,"complete","B_2PatNorm_1AlexAnx","1760",2,"Normal","B","no","AB"
10269942,"complete","B_2PatNorm_1AlexAnx","1373",1,"Anxious","B","no","AB"
10270008,"complete","B_1AlexAnx_2PatNorm","5395",1,"Anxious","B","yes","AB"
10270008,"complete","B_1AlexAnx_2PatNorm","1436",2,"Normal","B","yes","AB"
10270100,"complete","A_1PatAnx_2AlexNorm","4155",1,"Anxious","A","yes","AB"
10270100,"complete","A_1PatAnx_2AlexNorm","7740",2,"Normal","A","yes","AB"
10270275,"complete","A_1PatAnx_2AlexNorm","7350",1,"Anxious","A","yes","AB"
10270275,"complete","A_1PatAnx_2AlexNorm","9401",2,"Normal","A","yes","AB"
10270371,"complete","A_1PatAnx_2AlexNorm","1958",1,"Anxious","A","yes","AB"
10270371,"complete","A_1PatAnx_2AlexNorm","8541",2,"Normal","A","yes","AB"
10270474,"complete","B_1AlexAnx_2PatNorm","9591",1,"Anxious","B","yes","AB"
10270474,"complete","B_1AlexAnx_2PatNorm","3411",2,"Normal","B","yes","AB"
10270540,"complete","B_2PatNorm_1AlexAnx","1531",2,"Normal","B","no","AB"
10270540,"complete","B_2PatNorm_1AlexAnx","1153",1,"Anxious","B","no","AB"
10270624,"complete","A_2AlexNorm_1PatAnx","4739",2,"Normal","A","no","AB"
10270624,"complete","A_2AlexNorm_1PatAnx","4256",1,"Anxious","A","no","AB"
10270847,"complete","A_2AlexNorm_1PatAnx","3483",2,"Normal","A","no","AB"
10270847,"complete","A_2AlexNorm_1PatAnx","8796",1,"Anxious","A","no","AB"
10288304,"complete","B_1AlexAnx_2PatNorm","7281",1,"Anxious","B","yes","AB"
10288304,"complete","B_1AlexAnx_2PatNorm","2368",2,"Normal","B","yes","AB"
10288907,"complete","A_1PatAnx_2AlexNorm","9432",1,"Anxious","A","yes","AB"
10288907,"complete","A_1PatAnx_2AlexNorm","3929",2,"Normal","A","yes","AB"
10290591,"complete","A_1PatAnx_2AlexNorm","8531",1,"Anxious","A","yes","AB"
10290591,"complete","A_1PatAnx_2AlexNorm","1071",2,"Normal","A","yes","AB"
10291341,"complete","A_2AlexNorm_1PatAnx","6628",2,"Normal","A","no","AB"
10291341,"complete","A_2AlexNorm_1PatAnx","1211",1,"Anxious","A","no","AB"
10295692,"complete","A_1PatAnx_2AlexNorm","2868",1,"Anxious","A","yes","AB"
10295692,"complete","A_1PatAnx_2AlexNorm","5619",2,"Normal","A","yes","AB"
10310934,"complete","B_1AlexAnx_2PatNorm","8306",1,"Anxious","B","yes","AB"
10310934,"complete","B_1AlexAnx_2PatNorm","1143",2,"Normal","B","yes","AB"
10314870,"complete","A_1PatAnx_2AlexNorm","3114",1,"Anxious","A","yes","AB"
10314870,"complete","A_1PatAnx_2AlexNorm","4247",2,"Normal","A","yes","AB"
10317326,"complete","A_1PatAnx_2AlexNorm","1756",1,"Anxious","A","yes","AB"
10317326,"complete","A_1PatAnx_2AlexNorm","4219",2,"Normal","A","yes","AB"
10318720,"complete","B_1AlexAnx_2PatNorm","6758",1,"Anxious","B","yes","AB"
10318720,"complete","B_1AlexAnx_2PatNorm","8331",2,"Normal","B","yes","AB"
10319013,"complete","A_2AlexNorm_1PatAnx","2327",2,"Normal","A","no","AB"
10319013,"complete","A_2AlexNorm_1PatAnx","6566",1,"Anxious","A","no","AB"
10320108,"complete","B_2PatNorm_1AlexAnx","2946",2,"Normal","B","no","AB"
10320108,"complete","B_2PatNorm_1AlexAnx","8709",1,"Anxious","B","no","AB"
10331151,"complete","A_2AlexNorm_1PatAnx","7077",2,"Normal","A","no","AB"
10331151,"complete","A_2AlexNorm_1PatAnx","5661",1,"Anxious","A","no","AB"
10332599,"complete","B_2PatNorm_1AlexAnx","4426",2,"Normal","B","no","AB"
10332599,"complete","B_2PatNorm_1AlexAnx","9109",1,"Anxious","B","no","AB"
10332661,"complete","A_2AlexNorm_1PatAnx","3825",2,"Normal","A","no","AB"
10332661,"complete","A_2AlexNorm_1PatAnx","5243",1,"Anxious","A","no","AB"
10333863,"complete","A_1PatAnx_2AlexNorm","5108",1,"Anxious","A","yes","AB"
10333863,"complete","A_1PatAnx_2AlexNorm","5445",2,"Normal","A","yes","AB"
10333977,"complete","B_2PatNorm_1AlexAnx","7439",2,"Normal","B","no","AB"
10333977,"complete","B_2PatNorm_1AlexAnx","5296",1,"Anxious","B","no","AB"
10334394,"complete","A_1PatAnx_2AlexNorm","3877",1,"Anxious","A","yes","AB"
10334394,"complete","A_1PatAnx_2AlexNorm","5271",2,"Normal","A","yes","AB"
10334514,"complete","B_1AlexAnx_2PatNorm","6727",1,"Anxious","B","yes","AB"
10334514,"complete","B_1AlexAnx_2PatNorm","3584",2,"Normal","B","yes","AB"
10346871,"complete","B_2PatNorm_1AlexAnx","6908",2,"Normal","B","no","AB"
10346871,"complete","B_2PatNorm_1AlexAnx","3560",1,"Anxious","B","no","AB"
10347192,"complete","A_2AlexNorm_1PatAnx","5292",2,"Normal","A","no","AB"
10347192,"complete","A_2AlexNorm_1PatAnx","9822",1,"Anxious","A","no","AB"
10348325,"complete","A_2AlexNorm_1PatAnx","9701",2,"Normal","A","no","AB"
10348325,"complete","A_2AlexNorm_1PatAnx","1779",1,"Anxious","A","no","AB"
10351970,"complete","A_1PatAnx_2AlexNorm","9922",1,"Anxious","A","yes","AB"
10351970,"complete","A_1PatAnx_2AlexNorm","7222",2,"Normal","A","yes","AB"
10358415,"complete","B_2PatNorm_1AlexAnx","9956",2,"Normal","B","no","AB"
10358415,"complete","B_2PatNorm_1AlexAnx","4003",1,"Anxious","B","no","AB"
10360718,"complete","A_1PatAnx_2AlexNorm","2771",1,"Anxious","A","yes","AB"
10360718,"complete","A_1PatAnx_2AlexNorm","8284",2,"Normal","A","yes","AB"
10366087,"complete","A_2AlexNorm_1PatAnx","9911",2,"Normal","A","no","AB"
10366087,"complete","A_2AlexNorm_1PatAnx","4682",1,"Anxious","A","no","AB"
10367266,"complete","B_1AlexAnx_2PatNorm","3235",1,"Anxious","B","yes","AB"
10367266,"complete","B_1AlexAnx_2PatNorm","7362",2,"Normal","B","yes","AB"
10371835,"complete","A_2AlexNorm_1PatAnx","1989",2,"Normal","A","no","AB"
10371835,"complete","A_2AlexNorm_1PatAnx","1877",1,"Anxious","A","no","AB"
