node,entered,exited,live,rejected,deleted
finish,55,55,0,0,0
start,150,150,0,0,0
randomiser-czhu,105,105,0,0,0
task-ncut,35,21,0,14,0
task-vjth,21,18,0,3,0
questionnaire-7ewr,18,18,0,0,0
task-4nrv,35,18,0,17,0
task-hu1g,18,16,0,2,0
questionnaire-6eoj,16,16,0,0,0
task-4uru,17,12,0,5,0
task-ppql,18,11,0,7,0
task-tvu5,12,12,0,0,0
task-mghz,11,11,0,0,0
questionnaire-wcll,12,12,0,0,0
questionnaire-eupm,11,11,0,0,0
questionnaire-83ca,57,56,0,1,0
questionnaire-7spi,56,55,0,1,0
questionnaire-7y3d,55,55,0,0,0
order-m1q4,57,57,0,0,0
task-5xl3,111,105,0,6,0
questionnaire-2qbv,150,111,0,39,1
