Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1700588062404,21/11/2023 17:34:22,1700588061636,-8,21/11/2023 09:34:21,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,SCL-90 R_english,2,AB,2,No,BEGIN QUESTIONNAIRE,
2,1700588142028,21/11/2023 17:35:42,1700588141306,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-1,0
3,1700588142226,21/11/2023 17:35:42,1700588141307,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-1-quantised,1
4,1700588142226,21/11/2023 17:35:42,1700588141307,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-2,1
5,1700588142226,21/11/2023 17:35:42,1700588141307,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-2-quantised,2
6,1700588142226,21/11/2023 17:35:42,1700588141308,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-3,0
7,1700588142226,21/11/2023 17:35:42,1700588141308,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-3-quantised,1
8,1700588142226,21/11/2023 17:35:42,1700588141308,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-4,0
9,1700588142226,21/11/2023 17:35:42,1700588141308,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-4-quantised,1
10,1700588142226,21/11/2023 17:35:42,1700588141308,-8,21/11/2023 09:35:41,132936,24,questionnaire-2bh6,,33107591,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,SCL-90 R_english,2,AB,2,No,response-1-5,0
