Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1700587881209,21/11/2023 17:31:21,1700587869407,-6,21/11/2023 11:31:09,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,BEGIN QUESTIONNAIRE,
2,1700587954607,21/11/2023 17:32:34,1700587942849,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,similar-pat,Strongly Disagree
3,1700587954736,21/11/2023 17:32:34,1700587942850,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,similar-pat-quantised,1
4,1700587954736,21/11/2023 17:32:34,1700587942850,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,similar-alex,Agree
5,1700587954736,21/11/2023 17:32:34,1700587942850,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,similar-alex-quantised,4
6,1700587954736,21/11/2023 17:32:34,1700587942850,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,enjoy-pat,Strongly Disagree
7,1700587954736,21/11/2023 17:32:34,1700587942851,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,enjoy-pat-quantised,1
8,1700587954736,21/11/2023 17:32:34,1700587942851,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,enjoy-alex,Agree
9,1700587954736,21/11/2023 17:32:34,1700587942851,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,enjoy-alex-quantised,4
10,1700587954736,21/11/2023 17:32:34,1700587942851,-6,21/11/2023 11:32:22,132936,24,questionnaire-4a4q,,33107495,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1864x888,,,,Overall Bot Questionnaire: Pat then Alex,7,AB,1,No,distant-pat,Strongly Agree
