Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1700588145849,21/11/2023 17:35:45,1700588145088,-8,21/11/2023 09:35:45,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,,BFI10,3,AB,2,No,BEGIN QUESTIONNAIRE,
2,1700588160823,21/11/2023 17:36:00,1700588160114,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,extroversion_score,4
3,1700588161051,21/11/2023 17:36:01,1700588160116,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,extroversion_rating,Medium Low
4,1700588161051,21/11/2023 17:36:01,1700588160116,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,agreeableness_score,4
5,1700588161051,21/11/2023 17:36:01,1700588160116,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,agreeableness_rating,Low
6,1700588161051,21/11/2023 17:36:01,1700588160116,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,conscientiousness_score,4
7,1700588161051,21/11/2023 17:36:01,1700588160117,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,conscientiousness_rating,Low
8,1700588161051,21/11/2023 17:36:01,1700588160117,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,emotional_stability_score,4
9,1700588161051,21/11/2023 17:36:01,1700588160117,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,emotional_stability_rating,Medium Low
10,1700588161051,21/11/2023 17:36:01,1700588160117,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,openness_score,4
11,1700588161051,21/11/2023 17:36:01,1700588160117,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,openness_rating,Low
12,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-1,3. Disagree a little
13,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-1-quantised,3
14,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-2,1. Disagree strongly
15,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-2-quantised,1
16,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-3,5. Agree a little
17,1700588161051,21/11/2023 17:36:01,1700588160118,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-3-quantised,5
18,1700588161051,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-4,3. Disagree a little
