Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1700588167280,21/11/2023 17:36:07,1700559367280,-8,21/11/2023 01:36:07,132936,24,questionnaire-ptwy,,33107626,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1700588179231,21/11/2023 17:36:19,1700559379231,-8,21/11/2023 01:36:19,132936,24,questionnaire-ptwy,,33107626,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1700588135803,21/11/2023 17:35:35,1700570135803,-5,21/11/2023 07:35:35,132936,24,questionnaire-ptwy,,33107613,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1700588143020,21/11/2023 17:35:43,1700570143020,-5,21/11/2023 07:35:43,132936,24,questionnaire-ptwy,,33107613,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1700588055119,21/11/2023 17:34:15,1700566455119,-6,21/11/2023 05:34:15,132936,24,questionnaire-ptwy,,33107592,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1700588056820,21/11/2023 17:34:16,1700566456820,-6,21/11/2023 05:34:16,132936,24,questionnaire-ptwy,,33107592,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1700588892738,21/11/2023 17:48:12,1700570892738,-5,21/11/2023 07:48:12,132936,24,questionnaire-ptwy,,33107910,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1700588898961,21/11/2023 17:48:18,1700570898961,-5,21/11/2023 07:48:18,132936,24,questionnaire-ptwy,,33107910,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1700590578679,21/11/2023 18:16:18,1700572578679,-5,21/11/2023 08:16:18,132936,24,questionnaire-ptwy,,33108685,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1700590585556,21/11/2023 18:16:25,1700572585556,-5,21/11/2023 08:16:25,132936,24,questionnaire-ptwy,,33108685,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1700590755175,21/11/2023 18:19:15,1700572755175,-5,21/11/2023 08:19:15,132936,24,questionnaire-ptwy,,33108755,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1568x752,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1700590767451,21/11/2023 18:19:27,1700572767451,-5,21/11/2023 08:19:27,132936,24,questionnaire-ptwy,,33108755,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1568x752,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1700591061992,21/11/2023 18:24:21,1700565861992,-7,21/11/2023 04:24:21,132936,24,questionnaire-ptwy,,33108869,hvtxoy7i,9804421,,complete,juxbpv,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1543x732,1536x726,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1700591069256,21/11/2023 18:24:29,1700565869256,-7,21/11/2023 04:24:29,132936,24,questionnaire-ptwy,,33108869,hvtxoy7i,9804421,,complete,juxbpv,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1543x732,1536x726,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1700591812408,21/11/2023 18:36:52,1700570212408,-6,21/11/2023 06:36:52,132936,24,questionnaire-ptwy,,33109078,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1700591818995,21/11/2023 18:36:58,1700570218995,-6,21/11/2023 06:36:58,132936,24,questionnaire-ptwy,,33109078,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1700594085321,21/11/2023 19:14:45,1700576085321,-5,21/11/2023 09:14:45,132936,24,questionnaire-ptwy,,33109940,2i7k1rwj,9804926,,complete,ekkkzg,,computer,Desktop or Laptop,Windows 10,Opera 104.0.0.0,1920x1080,1918x956,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1700594089324,21/11/2023 19:14:49,1700576089324,-5,21/11/2023 09:14:49,132936,24,questionnaire-ptwy,,33109940,2i7k1rwj,9804926,,complete,ekkkzg,,computer,Desktop or Laptop,Windows 10,Opera 104.0.0.0,1920x1080,1918x956,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1700599165501,21/11/2023 20:39:25,1700577565501,-6,21/11/2023 08:39:25,132936,24,questionnaire-ptwy,,33111835,zhitmt8x,9805587,,complete,bhjtzk,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1538x758,1536x750,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1700599183238,21/11/2023 20:39:43,1700577583238,-6,21/11/2023 08:39:43,132936,24,questionnaire-ptwy,,33111835,zhitmt8x,9805587,,complete,bhjtzk,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1538x758,1536x750,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1700667102343,22/11/2023 15:31:42,1700652702343,-4,22/11/2023 07:31:42,132936,24,questionnaire-ptwy,,33133035,pgktvywq,9810928,,complete,fbbvin,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,1440x900,1060x723,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1700667105281,22/11/2023 15:31:45,1700652705281,-4,22/11/2023 07:31:45,132936,24,questionnaire-ptwy,,33133035,pgktvywq,9810928,,complete,fbbvin,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,1440x900,1060x723,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
END OF FILE
