Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1700586394072,21/11/2023 17:06:34,1700564794072,-6,21/11/2023 05:06:34,132936,24,task-keg8,,33106951,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586396056,21/11/2023 17:06:36,1700564796056,-6,21/11/2023 05:06:36,132936,24,task-keg8,,33106951,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,12712.491,12712.491,12712.491,12712.491,12712.491,12712.491,1,12712.491,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700587117589,21/11/2023 17:18:37,1700565517589,-6,21/11/2023 05:18:37,132936,24,task-keg8,,33106951,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,721530.2019999999,721530.2019999999,721530.2019999999,721530.2019999999,721530.2019999999,721530.2019999999,1,721530.2019999999,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1700587138319,21/11/2023 17:18:58,1700565538319,-6,21/11/2023 05:18:58,132936,24,task-keg8,,33106951,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,there was no code???,8867.925000000047,20728.85600000003,20728.85600000003,8867.925000000047,20728.85600000003,20728.85600000003,1,8867.925000000047,11860.930999999982,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700587138321,21/11/2023 17:18:58,1700565538321,-6,21/11/2023 05:18:58,132936,24,task-keg8,,33106951,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700588928667,21/11/2023 17:48:48,1700570928667,-5,21/11/2023 07:48:48,132936,24,task-keg8,,33107927,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1395x643,,,0,Task (Counterbalance A),23,BA,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700588929921,21/11/2023 17:48:49,1700570929921,-5,21/11/2023 07:48:49,132936,24,task-keg8,,33107927,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1395x643,,,0,Task (Counterbalance A),23,BA,1,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,28533.912,28533.912,28533.912,28533.912,28533.912,28533.912,1,28533.912,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700589654305,21/11/2023 18:00:54,1700571654305,-5,21/11/2023 08:00:54,132936,24,task-keg8,,33107927,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1578x710,,,0,Task (Counterbalance A),23,BA,1,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,724394.614,724394.614,724394.614,724394.614,724394.614,724394.614,1,724394.614,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1700589674032,21/11/2023 18:01:14,1700571674032,-5,21/11/2023 08:01:14,132936,24,task-keg8,,33107927,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1578x710,,,0,Task (Counterbalance A),23,BA,1,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6868,2760.889000000083,19726.46100000001,19726.46100000001,2760.889000000083,19726.46100000001,19726.46100000001,1,2760.889000000083,16965.571999999927,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700589674035,21/11/2023 18:01:14,1700571674035,-5,21/11/2023 08:01:14,132936,24,task-keg8,,33107927,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1578x710,,,0,Task (Counterbalance A),23,BA,1,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
