Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1700586282885,21/11/2023 17:04:42,1700557482885,-8,21/11/2023 01:04:42,132936,24,task-l2e9,,33106874,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586289856,21/11/2023 17:04:49,1700557489856,-8,21/11/2023 01:04:49,132936,24,task-l2e9,,33106874,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,6977.859999988079,6966.603999999999,6977.859999988079,6977.859999988079,6966.603999999999,6977.859999988079,1,6977.859999988079,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1700586289857,21/11/2023 17:04:49,1700557489857,-8,21/11/2023 01:04:49,132936,24,task-l2e9,,33106874,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700586405847,21/11/2023 17:06:45,1700568405847,-5,21/11/2023 07:06:45,132936,24,task-l2e9,,33106947,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586415641,21/11/2023 17:06:55,1700568415641,-5,21/11/2023 07:06:55,132936,24,task-l2e9,,33106947,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,9821.323000023842,9805.521,9821.323000023842,9821.323000023842,9805.521,9821.323000023842,1,9821.323000023842,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1700586415647,21/11/2023 17:06:55,1700568415647,-5,21/11/2023 07:06:55,132936,24,task-l2e9,,33106947,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700586386082,21/11/2023 17:06:26,1700564786082,-6,21/11/2023 05:06:26,132936,24,task-l2e9,,33106940,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586392301,21/11/2023 17:06:32,1700564792301,-6,21/11/2023 05:06:32,132936,24,task-l2e9,,33106940,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,6221.572,6215.18,6221.572,6221.572,6215.18,6221.572,1,6221.572,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1700586392303,21/11/2023 17:06:32,1700564792303,-6,21/11/2023 05:06:32,132936,24,task-l2e9,,33106940,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700586854417,21/11/2023 17:14:14,1700568854417,-5,21/11/2023 07:14:14,132936,24,task-l2e9,,33107097,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
