Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1700587140269,21/11/2023 17:19:00,1700565540269,-6,21/11/2023 05:19:00,132936,24,task-mrfa,,33107199,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700587141865,21/11/2023 17:19:01,1700565541865,-6,21/11/2023 05:19:01,132936,24,task-mrfa,,33107199,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1597.188000000082,1597.188000000082,1597.188000000082,1597.188000000082,1597.188000000082,1597.188000000082,1,1597.188000000082,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1700587863314,21/11/2023 17:31:03,1700566263314,-6,21/11/2023 05:31:03,132936,24,task-mrfa,,33107199,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,721453.7289999999,721453.7289999999,721453.7289999999,721453.7289999999,721453.7289999999,721453.7289999999,1,721453.7289999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1700587866512,21/11/2023 17:31:06,1700566266512,-6,21/11/2023 05:31:06,132936,24,task-mrfa,,33107199,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,6288,1687.5060000000522,3187.4480000000913,3187.4480000000913,1687.5060000000522,3187.4480000000913,3187.4480000000913,1,1687.5060000000522,1499.9420000000391,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1700587866512,21/11/2023 17:31:06,1700566266512,-6,21/11/2023 05:31:06,132936,24,task-mrfa,,33107199,ttax2g9j,9804126,,complete,belrln,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.69,1920x1080,1881x888,,,0,Task (Counterbalance A),23,AB,1,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700589676799,21/11/2023 18:01:16,1700571676799,-5,21/11/2023 08:01:16,132936,24,task-mrfa,,33108306,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1578x710,,,0,Task (Counterbalance A),23,BA,1,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700589678471,21/11/2023 18:01:18,1700571678471,-5,21/11/2023 08:01:18,132936,24,task-mrfa,,33108306,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1578x710,,,0,Task (Counterbalance A),23,BA,1,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,777089.063,777089.063,777089.063,777089.063,777089.063,777089.063,1,777089.063,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1700590401720,21/11/2023 18:13:21,1700572401720,-5,21/11/2023 08:13:21,132936,24,task-mrfa,,33108306,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1568x752,,,0,Task (Counterbalance A),23,BA,1,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,723273.805,723273.805,723273.805,723273.805,723273.805,723273.805,1,723273.805,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1700590409911,21/11/2023 18:13:29,1700572409911,-5,21/11/2023 08:13:29,132936,24,task-mrfa,,33108306,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1568x752,,,0,Task (Counterbalance A),23,BA,1,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,5545,1656.3689999999478,8198.550999999978,8198.550999999978,1656.3689999999478,8198.550999999978,8198.550999999978,1,1656.3689999999478,6542.18200000003,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1700590409912,21/11/2023 18:13:29,1700572409912,-5,21/11/2023 08:13:29,132936,24,task-mrfa,,33108306,znse68yl,9804410,,complete,amjvge,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1280x800,1568x752,,,0,Task (Counterbalance A),23,BA,1,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
