Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1700587030994,21/11/2023 17:17:10,1700558230994,-8,21/11/2023 01:17:10,132936,24,task-vs28,,33107159,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700587040267,21/11/2023 17:17:20,1700558240267,-8,21/11/2023 01:17:20,132936,24,task-vs28,,33107159,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,761226.441,761226.441,761226.441,761226.441,761226.441,761226.441,1,761226.441,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700587806264,21/11/2023 17:30:06,1700559006264,-8,21/11/2023 01:30:06,132936,24,task-vs28,,33107159,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,765993.695,765993.695,765993.695,765993.695,765993.695,765993.695,1,765993.695,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1700587810923,21/11/2023 17:30:10,1700559010923,-8,21/11/2023 01:30:10,132936,24,task-vs28,,33107159,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,8722,3783.2960000000894,4666.65000000014,4666.65000000014,3783.2960000000894,4666.65000000014,4666.65000000014,1,3783.2960000000894,883.3540000000503,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700587810924,21/11/2023 17:30:10,1700559010924,-8,21/11/2023 01:30:10,132936,24,task-vs28,,33107159,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700587191727,21/11/2023 17:19:51,1700569191727,-5,21/11/2023 07:19:51,132936,24,task-vs28,,33107219,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700587194943,21/11/2023 17:19:54,1700569194943,-5,21/11/2023 07:19:54,132936,24,task-vs28,,33107219,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,792061.087,792061.087,792061.087,792061.087,792061.087,792061.087,1,792061.087,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700587917067,21/11/2023 17:31:57,1700569917067,-5,21/11/2023 07:31:57,132936,24,task-vs28,,33107219,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,722115.8019999999,722115.8019999999,722115.8019999999,722115.8019999999,722115.8019999999,722115.8019999999,1,722115.8019999999,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1700587924668,21/11/2023 17:32:04,1700569924668,-5,21/11/2023 07:32:04,132936,24,task-vs28,,33107219,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3014,4578,7607.868000000017,7607.868000000017,4578,7607.868000000017,7607.868000000017,1,4578,3029.8680000000168,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700587924670,21/11/2023 17:32:04,1700569924670,-5,21/11/2023 07:32:04,132936,24,task-vs28,,33107219,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700587622378,21/11/2023 17:27:02,1700569622378,-5,21/11/2023 07:27:02,132936,24,task-vs28,,33107382,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700587623956,21/11/2023 17:27:03,1700569623956,-5,21/11/2023 07:27:03,132936,24,task-vs28,,33107382,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,772262.6,772262.6,772262.6,772262.6,772262.6,772262.6,1,772262.6,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700588523948,21/11/2023 17:42:03,1700570523948,-5,21/11/2023 07:42:03,132936,24,task-vs28,,33107382,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,899994.4,899993.7999999999,899994.4,899994.4,899993.7999999999,899994.4,1,899994.4,0,0,,Time Limit,screen,0,screen,chat1,
4,1700588630843,21/11/2023 17:43:50,1700570630843,-5,21/11/2023 07:43:50,132936,24,task-vs28,,33107382,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,1577,105469.90000000014,106886.6000000001,106886.6000000001,105469.90000000014,106886.6000000001,106886.6000000001,1,105469.90000000014,1416.6999999999534,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700588630845,21/11/2023 17:43:50,1700570630845,-5,21/11/2023 07:43:50,132936,24,task-vs28,,33107382,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700589239118,21/11/2023 17:53:59,1700571239118,-5,21/11/2023 07:53:59,132936,24,task-vs28,,33108051,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700589244928,21/11/2023 17:54:04,1700571244928,-5,21/11/2023 07:54:04,132936,24,task-vs28,,33108051,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,5799.66399999999,5799.66399999999,5799.66399999999,5799.66399999999,5799.66399999999,5799.66399999999,1,5799.66399999999,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700590144914,21/11/2023 18:09:04,1700572144914,-5,21/11/2023 08:09:04,132936,24,task-vs28,,33108051,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,900001.073,899991.839,900001.073,900001.073,899991.839,900001.073,1,900001.073,0,0,,Time Limit,screen,0,screen,chat1,
4,1700590186500,21/11/2023 18:09:46,1700572186500,-5,21/11/2023 08:09:46,132936,24,task-vs28,,33108051,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7477,36098.35400000005,41581.403999999864,41581.403999999864,36098.35400000005,41581.403999999864,41581.403999999864,1,36098.35400000005,5483.049999999814,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1700590186508,21/11/2023 18:09:46,1700572186508,-5,21/11/2023 08:09:46,132936,24,task-vs28,,33108051,1dpp3scf,9804355,,complete,dweahp,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1300x730,1300x575,,,0,Task (Counterbalance A),23,AB,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700590739328,21/11/2023 18:18:59,1700569139328,-6,21/11/2023 06:18:59,132936,24,task-vs28,,33108744,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700590742346,21/11/2023 18:19:02,1700569142346,-6,21/11/2023 06:19:02,132936,24,task-vs28,,33108744,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,795855.443,795855.443,795855.443,795855.443,795855.443,795855.443,1,795855.443,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1700591481153,21/11/2023 18:31:21,1700569881153,-6,21/11/2023 06:31:21,132936,24,task-vs28,,33108744,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,738805.125,738805.125,738805.125,738805.125,738805.125,738805.125,1,738805.125,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1700591487484,21/11/2023 18:31:27,1700569887484,-6,21/11/2023 06:31:27,132936,24,task-vs28,,33108744,jvichwbn,9804579,,complete,xyyntz,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2048x1152,2048x1003,,,0,Task (Counterbalance A),23,BA,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7775,5301.0190000000875,6327.40000000014,6327.40000000014,5301.0190000000875,6327.40000000014,6327.40000000014,1,5301.0190000000875,1026.3810000000522,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
