Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1700586293438,21/11/2023 17:04:53,1700557493438,-8,21/11/2023 01:04:53,132936,24,task-xy27,,33106879,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586295478,21/11/2023 17:04:55,1700557495478,-8,21/11/2023 01:04:55,132936,24,task-xy27,,33106879,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,16432.571,16432.571,16432.571,16432.571,16432.571,16432.571,1,16432.571,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1700587017538,21/11/2023 17:16:57,1700558217538,-8,21/11/2023 01:16:57,132936,24,task-xy27,,33106879,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,722060.728,722060.728,722060.728,722060.728,722060.728,722060.728,1,722060.728,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1700587025582,21/11/2023 17:17:05,1700558225582,-8,21/11/2023 01:17:05,132936,24,task-xy27,,33106879,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7358,4883.271999999997,8049.935000000056,8049.935000000056,4883.271999999997,8049.935000000056,8049.935000000056,1,4883.271999999997,3166.6630000000587,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1700587025583,21/11/2023 17:17:05,1700558225583,-8,21/11/2023 01:17:05,132936,24,task-xy27,,33106879,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),23,AB,2,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700586418696,21/11/2023 17:06:58,1700568418696,-5,21/11/2023 07:06:58,132936,24,task-xy27,,33106959,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586419665,21/11/2023 17:06:59,1700568419665,-5,21/11/2023 07:06:59,132936,24,task-xy27,,33106959,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,16789.762,16789.762,16789.762,16789.762,16789.762,16789.762,1,16789.762,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1700587184275,21/11/2023 17:19:44,1700569184275,-5,21/11/2023 07:19:44,132936,24,task-xy27,,33106959,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,764600.429,764600.429,764600.429,764600.429,764600.429,764600.429,1,764600.429,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1700587188245,21/11/2023 17:19:48,1700569188245,-5,21/11/2023 07:19:48,132936,24,task-xy27,,33106959,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,1360,2963.082999999984,3978.4860000000335,3978.4860000000335,2963.082999999984,3978.4860000000335,3978.4860000000335,1,2963.082999999984,1015.4030000000494,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1700587188246,21/11/2023 17:19:48,1700569188246,-5,21/11/2023 07:19:48,132936,24,task-xy27,,33106959,aufyoxcq,9804125,,complete,upwdhd,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1382x801,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1700586863125,21/11/2023 17:14:23,1700568863125,-5,21/11/2023 07:14:23,132936,24,task-xy27,,33107100,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1700586882944,21/11/2023 17:14:42,1700568882944,-5,21/11/2023 07:14:42,132936,24,task-xy27,,33107100,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,31240.3,31240.3,31240.3,31240.3,31240.3,31240.3,1,31240.3,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1700587616272,21/11/2023 17:26:56,1700569616272,-5,21/11/2023 07:26:56,132936,24,task-xy27,,33107100,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,733338.7,733338.7,733338.7,733338.7,733338.7,733338.7,1,733338.7,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1700587619554,21/11/2023 17:26:59,1700569619554,-5,21/11/2023 07:26:59,132936,24,task-xy27,,33107100,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,3577,1716.6999999999534,3266.8000000000466,3266.8000000000466,1716.6999999999534,3266.8000000000466,3266.8000000000466,1,1716.6999999999534,1550.1000000000931,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1700587619554,21/11/2023 17:26:59,1700569619554,-5,21/11/2023 07:26:59,132936,24,task-xy27,,33107100,4e1463jd,9804178,,complete,ervyrr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x973,,,0,Task (Counterbalance A),23,BA,2,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
