Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1705418103534,16/01/2024 15:15:03,1705418104031,-5,16/01/2024 10:15:04,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,,SCL-90 R_english,2,AB,2,No,BEGIN QUESTIONNAIRE,
2,1705418234613,16/01/2024 15:17:14,1705418235178,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-1,1
3,1705418234875,16/01/2024 15:17:14,1705418235180,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-1-quantised,2
4,1705418234875,16/01/2024 15:17:14,1705418235180,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-2,3
5,1705418234875,16/01/2024 15:17:14,1705418235180,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-2-quantised,4
6,1705418234875,16/01/2024 15:17:14,1705418235180,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-3,4
7,1705418234875,16/01/2024 15:17:14,1705418235180,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-3-quantised,5
8,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-4,1
9,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-4-quantised,2
10,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-5,3
11,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-5-quantised,4
12,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-6,2
13,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-6-quantised,3
14,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-7,0
15,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-7-quantised,1
16,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-8,0
17,1705418234875,16/01/2024 15:17:14,1705418235181,-5,16/01/2024 10:17:15,154938,3,questionnaire-2bh6,,34254902,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,2,AB,2,No,response-1-8-quantised,1
