Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1705418237897,16/01/2024 15:17:17,1705418238406,-5,16/01/2024 10:17:18,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,,BFI10,3,AB,2,No,BEGIN QUESTIONNAIRE,
2,1705418259327,16/01/2024 15:17:39,1705418259882,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,extroversion_score,4
3,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,extroversion_rating,Medium Low
4,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,agreeableness_score,4
5,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,agreeableness_rating,Low
6,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,conscientiousness_score,4
7,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,conscientiousness_rating,Low
8,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,emotional_stability_score,4
9,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,emotional_stability_rating,Medium Low
10,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,openness_score,4
11,1705418259485,16/01/2024 15:17:39,1705418259883,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,openness_rating,Low
12,1705418259485,16/01/2024 15:17:39,1705418259884,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-1,2. Disagree moderately
13,1705418259485,16/01/2024 15:17:39,1705418259884,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-1-quantised,2
14,1705418259485,16/01/2024 15:17:39,1705418259884,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-2,3. Disagree a little
15,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-2-quantised,3
16,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-3,6. Agree moderately
17,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-3-quantised,6
18,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-4,7. Agree Strongly
19,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-4-quantised,7
20,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-5,3. Disagree a little
21,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-5-quantised,3
22,1705418259485,16/01/2024 15:17:39,1705418259885,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-6,6. Agree moderately
23,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-6-quantised,6
24,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-7,7. Agree Strongly
25,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-7-quantised,7
26,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-8,1. Disagree strongly
27,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-8-quantised,1
28,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-9,2. Disagree moderately
29,1705418259611,16/01/2024 15:17:39,1705418259886,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-9-quantised,2
30,1705418259611,16/01/2024 15:17:39,1705418259887,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-10,6. Agree moderately
31,1705418259611,16/01/2024 15:17:39,1705418259887,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,response-10-quantised,6
32,1705418259611,16/01/2024 15:17:39,1705418259887,-5,16/01/2024 10:17:39,154938,3,questionnaire-mcfk,,34255034,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1903x945,,,,BFI10,3,AB,2,No,END QUESTIONNAIRE,21481
1,1705418517083,16/01/2024 15:21:57,1705418516642,-8,16/01/2024 07:21:56,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,BEGIN QUESTIONNAIRE,
2,1705418567711,16/01/2024 15:22:47,1705418567306,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,extroversion_score,4
3,1705418567974,16/01/2024 15:22:47,1705418567308,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,extroversion_rating,Medium Low
4,1705418567974,16/01/2024 15:22:47,1705418567309,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,agreeableness_score,4
5,1705418567974,16/01/2024 15:22:47,1705418567310,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,agreeableness_rating,Low
6,1705418567974,16/01/2024 15:22:47,1705418567311,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,conscientiousness_score,4
7,1705418567974,16/01/2024 15:22:47,1705418567314,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,conscientiousness_rating,Low
8,1705418567974,16/01/2024 15:22:47,1705418567318,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,emotional_stability_score,4
9,1705418567974,16/01/2024 15:22:47,1705418567319,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,emotional_stability_rating,Medium Low
10,1705418567974,16/01/2024 15:22:47,1705418567321,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,openness_score,4
11,1705418567974,16/01/2024 15:22:47,1705418567321,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,openness_rating,Low
12,1705418567974,16/01/2024 15:22:47,1705418567322,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-1,4. Neither agree nor disagree
13,1705418567974,16/01/2024 15:22:47,1705418567322,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-1-quantised,4
14,1705418567974,16/01/2024 15:22:47,1705418567322,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-2,2. Disagree moderately
15,1705418567974,16/01/2024 15:22:47,1705418567323,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-2-quantised,2
16,1705418567974,16/01/2024 15:22:47,1705418567323,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-3,6. Agree moderately
17,1705418567974,16/01/2024 15:22:47,1705418567323,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-3-quantised,6
18,1705418567974,16/01/2024 15:22:47,1705418567323,-8,16/01/2024 07:22:47,154938,3,questionnaire-mcfk,,34255539,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,,BFI10,3,BA,1,No,response-4,3. Disagree a little
