Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1705418265835,16/01/2024 15:17:45,1705400265835,-5,16/01/2024 05:17:45,154938,3,questionnaire-ptwy,,34255073,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1705418268404,16/01/2024 15:17:48,1705400268404,-5,16/01/2024 05:17:48,154938,3,questionnaire-ptwy,,34255073,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705418652650,16/01/2024 15:24:12,1705389852650,-8,15/01/2024 23:24:12,154938,3,questionnaire-ptwy,,34255743,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705418668919,16/01/2024 15:24:28,1705389868919,-8,15/01/2024 23:24:28,154938,3,questionnaire-ptwy,,34255743,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1705418622151,16/01/2024 15:23:42,1705400622151,-5,16/01/2024 05:23:42,154938,3,questionnaire-ptwy,,34255708,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705418627603,16/01/2024 15:23:47,1705400627603,-5,16/01/2024 05:23:47,154938,3,questionnaire-ptwy,,34255708,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705418854132,16/01/2024 15:27:34,1705400854132,-5,16/01/2024 05:27:34,154938,3,questionnaire-ptwy,,34255960,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705418862339,16/01/2024 15:27:42,1705400862339,-5,16/01/2024 05:27:42,154938,3,questionnaire-ptwy,,34255960,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705418496948,16/01/2024 15:21:36,1705400496948,-5,16/01/2024 05:21:36,154938,3,questionnaire-ptwy,,34255497,rgf8roc0,10117140,,complete,dmxwjw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705418500152,16/01/2024 15:21:40,1705400500152,-5,16/01/2024 05:21:40,154938,3,questionnaire-ptwy,,34255497,rgf8roc0,10117140,,complete,dmxwjw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
