Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705417417779,16/01/2024 15:03:37,1705388617779,-8,15/01/2024 23:03:37,154938,3,task-19sb,,34254549,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417420436,16/01/2024 15:03:40,1705388620436,-8,15/01/2024 23:03:40,154938,3,task-19sb,,34254549,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,839949.1,839949.1,839949.1,839949.1,839949.1,839949.1,1,839949.1,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1705418154614,16/01/2024 15:15:54,1705389354614,-8,15/01/2024 23:15:54,154938,3,task-19sb,,34254549,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,734165.6,734165.6,734165.6,734165.6,734165.6,734165.6,1,734165.6,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1705418158920,16/01/2024 15:15:58,1705389358920,-8,15/01/2024 23:15:58,154938,3,task-19sb,,34254549,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,6796,4254.800000000047,4321.5,4321.5,4254.800000000047,4321.5,4321.5,1,4254.800000000047,66.69999999995343,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1705418158921,16/01/2024 15:15:58,1705389358921,-8,15/01/2024 23:15:58,154938,3,task-19sb,,34254549,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705417602124,16/01/2024 15:06:42,1705399602124,-5,16/01/2024 05:06:42,154938,3,task-19sb,,34254661,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417604885,16/01/2024 15:06:44,1705399604885,-5,16/01/2024 05:06:44,154938,3,task-19sb,,34254661,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2750,2750,2750,2750,2750,2750,1,2750,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1705418346820,16/01/2024 15:19:06,1705400346820,-5,16/01/2024 05:19:06,154938,3,task-19sb,,34254661,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,741931.6000000001,741931.6000000001,741931.6000000001,741931.6000000001,741931.6000000001,741931.6000000001,1,741931.6000000001,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1705418360367,16/01/2024 15:19:20,1705400360367,-5,16/01/2024 05:19:20,154938,3,task-19sb,,34254661,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,2385,8950.09999999986,13550,13550,8950.09999999986,13550,13550,1,8950.09999999986,4599.90000000014,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1705418360370,16/01/2024 15:19:20,1705400360370,-5,16/01/2024 05:19:20,154938,3,task-19sb,,34254661,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
