Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705417278345,16/01/2024 15:01:18,1705399278345,-5,16/01/2024 05:01:18,154938,3,task-ocuq,,34254485,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417279766,16/01/2024 15:01:19,1705399279766,-5,16/01/2024 05:01:19,154938,3,task-ocuq,,34254485,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,770947.6,770947.6,770947.6,770947.6,770947.6,770947.6,1,770947.6,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705418038077,16/01/2024 15:13:58,1705400038077,-5,16/01/2024 05:13:58,154938,3,task-ocuq,,34254485,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,758313.7999999999,758313.7999999999,758313.7999999999,758313.7999999999,758313.7999999999,758313.7999999999,1,758313.7999999999,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1705418043266,16/01/2024 15:14:03,1705400043266,-5,16/01/2024 05:14:03,154938,3,task-ocuq,,34254485,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,9463,5119.90000000014,5190.90000000014,5190.90000000014,5119.90000000014,5190.90000000014,5190.90000000014,1,5119.90000000014,71,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1705418043267,16/01/2024 15:14:03,1705400043267,-5,16/01/2024 05:14:03,154938,3,task-ocuq,,34254485,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705417246765,16/01/2024 15:00:46,1705399246765,-5,16/01/2024 05:00:46,154938,3,task-ocuq,,34254462,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417253240,16/01/2024 15:00:53,1705399253240,-5,16/01/2024 05:00:53,154938,3,task-ocuq,,34254462,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,6473.400000000023,6473.400000000023,6473.400000000023,6473.400000000023,6473.400000000023,6473.400000000023,1,6473.400000000023,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705417974191,16/01/2024 15:12:54,1705399974191,-5,16/01/2024 05:12:54,154938,3,task-ocuq,,34254462,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,720940.4,720940.4,720940.4,720940.4,720940.4,720940.4,1,720940.4,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1705417982088,16/01/2024 15:13:02,1705399982088,-5,16/01/2024 05:13:02,154938,3,task-ocuq,,34254462,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6534,7791.399999999907,7908.100000000093,7908.100000000093,7791.399999999907,7908.100000000093,7908.100000000093,1,7791.399999999907,116.70000000018626,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1705417982088,16/01/2024 15:13:02,1705399982088,-5,16/01/2024 05:13:02,154938,3,task-ocuq,,34254462,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705417412488,16/01/2024 15:03:32,1705395812488,-6,16/01/2024 03:03:32,154938,3,task-ocuq,,34254544,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417414690,16/01/2024 15:03:34,1705395814690,-6,16/01/2024 03:03:34,154938,3,task-ocuq,,34254544,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2201.060000000056,2201.060000000056,2201.060000000056,2201.060000000056,2201.060000000056,2201.060000000056,1,2201.060000000056,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705418141513,16/01/2024 15:15:41,1705396541513,-6,16/01/2024 03:15:41,154938,3,task-ocuq,,34254544,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,726818.3799999999,726818.3799999999,726818.3799999999,726818.3799999999,726818.3799999999,726818.3799999999,1,726818.3799999999,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1705418149292,16/01/2024 15:15:49,1705396549292,-6,16/01/2024 03:15:49,154938,3,task-ocuq,,34254544,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7522,5604.320000000065,7789.560000000056,7789.560000000056,5604.320000000065,7789.560000000056,7789.560000000056,1,5604.320000000065,2185.2399999999907,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1705418149293,16/01/2024 15:15:49,1705396549293,-6,16/01/2024 03:15:49,154938,3,task-ocuq,,34254544,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705417461791,16/01/2024 15:04:21,1705399461791,-5,16/01/2024 05:04:21,154938,3,task-ocuq,,34254578,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705417464716,16/01/2024 15:04:24,1705399464716,-5,16/01/2024 05:04:24,154938,3,task-ocuq,,34254578,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2958.19299999997,2958.19299999997,2958.19299999997,2958.19299999997,2958.19299999997,2958.19299999997,1,2958.19299999997,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705418244563,16/01/2024 15:17:24,1705400244563,-5,16/01/2024 05:17:24,154938,3,task-ocuq,,34254578,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,779835.3530000001,779835.3530000001,779835.3530000001,779835.3530000001,779835.3530000001,779835.3530000001,1,779835.3530000001,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1705418253158,16/01/2024 15:17:33,1705400253158,-5,16/01/2024 05:17:33,154938,3,task-ocuq,,34254578,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,8865,6416.385000000009,8599.62099999981,8599.62099999981,6416.385000000009,8599.62099999981,8599.62099999981,1,6416.385000000009,2183.2359999998007,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1705418253163,16/01/2024 15:17:33,1705400253163,-5,16/01/2024 05:17:33,154938,3,task-ocuq,,34254578,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
