Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705416512157,16/01/2024 14:48:32,1705398512157,-5,16/01/2024 04:48:32,154938,3,task-ozk2,,34253967,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416525779,16/01/2024 14:48:45,1705398525779,-5,16/01/2024 04:48:45,154938,3,task-ozk2,,34253967,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,13632.899999976158,13618.8,13632.899999976158,13632.899999976158,13618.8,13632.899999976158,1,13632.899999976158,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416525783,16/01/2024 14:48:45,1705398525783,-5,16/01/2024 04:48:45,154938,3,task-ozk2,,34253967,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416586225,16/01/2024 14:49:46,1705387786225,-8,15/01/2024 22:49:46,154938,3,task-ozk2,,34254031,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1746x771,,,0,Task,2,BA,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416675452,16/01/2024 14:51:15,1705387875452,-8,15/01/2024 22:51:15,154938,3,task-ozk2,,34254031,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1746x771,,,0,Task,2,BA,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,94957.70000000001,94941.1,94957.70000000001,94957.70000000001,94941.1,94957.70000000001,1,94957.70000000001,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416675470,16/01/2024 14:51:15,1705387875470,-8,15/01/2024 22:51:15,154938,3,task-ozk2,,34254031,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1746x771,,,0,Task,2,BA,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416524940,16/01/2024 14:48:44,1705398524940,-5,16/01/2024 04:48:44,154938,3,task-ozk2,,34253979,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416546063,16/01/2024 14:49:06,1705398546063,-5,16/01/2024 04:49:06,154938,3,task-ozk2,,34253979,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,24185.39999999106,24180.5,24185.39999999106,24185.39999999106,24180.5,24185.39999999106,1,24185.39999999106,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416546064,16/01/2024 14:49:06,1705398546064,-5,16/01/2024 04:49:06,154938,3,task-ozk2,,34253979,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416593681,16/01/2024 14:49:53,1705398593681,-5,16/01/2024 04:49:53,154938,3,task-ozk2,,34254037,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416600150,16/01/2024 14:50:00,1705398600150,-5,16/01/2024 04:50:00,154938,3,task-ozk2,,34254037,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,6486,6475.299999999999,6486,6486,6475.299999999999,6486,1,6486,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416600153,16/01/2024 14:50:00,1705398600153,-5,16/01/2024 04:50:00,154938,3,task-ozk2,,34254037,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416558798,16/01/2024 14:49:18,1705398558798,-5,16/01/2024 04:49:18,154938,3,task-ozk2,,34254015,rgf8roc0,10117140,,complete,dmxwjw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Task,2,BA,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416700245,16/01/2024 14:51:40,1705398700245,-5,16/01/2024 04:51:40,154938,3,task-ozk2,,34254015,rgf8roc0,10117140,,complete,dmxwjw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Task,2,BA,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,141467.50000014305,141457.8,141467.50000014305,141467.50000014305,141457.8,141467.50000014305,1,141467.50000014305,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416700252,16/01/2024 14:51:40,1705398700252,-5,16/01/2024 04:51:40,154938,3,task-ozk2,,34254015,rgf8roc0,10117140,,complete,dmxwjw,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Task,2,BA,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416589548,16/01/2024 14:49:49,1705387789548,-8,15/01/2024 22:49:49,154938,3,task-ozk2,,34254035,yh19xw9h,10117148,,complete,exuhkl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1080,2560x919,,,0,Task,2,AB,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416602472,16/01/2024 14:50:02,1705387802472,-8,15/01/2024 22:50:02,154938,3,task-ozk2,,34254035,yh19xw9h,10117148,,complete,exuhkl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1080,2560x919,,,0,Task,2,AB,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,12930.6,12929.7,12930.6,12930.6,12929.7,12930.6,1,12930.6,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416602473,16/01/2024 14:50:02,1705387802473,-8,15/01/2024 22:50:02,154938,3,task-ozk2,,34254035,yh19xw9h,10117148,,complete,exuhkl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1080,2560x919,,,0,Task,2,AB,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416599285,16/01/2024 14:49:59,1705394999285,-6,16/01/2024 02:49:59,154938,3,task-ozk2,,34254040,323tweem,10117147,,complete,iocdwp,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x633,,,0,Task,2,AB,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
