Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705416680081,16/01/2024 14:51:20,1705387880081,-8,15/01/2024 22:51:20,154938,3,task-p8dx,,34254112,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1746x771,,,0,Task,2,BA,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416684799,16/01/2024 14:51:24,1705387884799,-8,15/01/2024 22:51:24,154938,3,task-p8dx,,34254112,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1746x771,,,0,Task,2,BA,1,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,104311,104311,104311,104311,104311,104311,1,104311,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705417406775,16/01/2024 15:03:26,1705388606775,-8,15/01/2024 23:03:26,154938,3,task-p8dx,,34254112,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,721970.8,721970.8,721970.8,721970.8,721970.8,721970.8,1,721970.8,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1705417411979,16/01/2024 15:03:31,1705388611979,-8,15/01/2024 23:03:31,154938,3,task-p8dx,,34254112,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3394,5127,5212.699999999953,5212.699999999953,5127,5212.699999999953,5212.699999999953,1,5127,85.69999999995343,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1705417411986,16/01/2024 15:03:31,1705388611986,-8,15/01/2024 23:03:31,154938,3,task-p8dx,,34254112,zaurr72x,10117126,,complete,qhdjju,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1396x785,1862x822,,,0,Task,2,BA,1,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416603919,16/01/2024 14:50:03,1705398603919,-5,16/01/2024 04:50:03,154938,3,task-p8dx,,34254048,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416614629,16/01/2024 14:50:14,1705398614629,-5,16/01/2024 04:50:14,154938,3,task-p8dx,,34254048,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,25433.9,25433.9,25433.9,25433.9,25433.9,25433.9,1,25433.9,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1705416812736,16/01/2024 14:53:32,1705398812736,-5,16/01/2024 04:53:32,154938,3,task-p8dx,,34254048,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
4,1705416843748,16/01/2024 14:54:03,1705398843748,-5,16/01/2024 04:54:03,154938,3,task-p8dx,,34254048,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
5,1705417569272,16/01/2024 15:06:09,1705399569272,-5,16/01/2024 05:06:09,154938,3,task-p8dx,,34254048,yk6g1ov4,10117133,,complete,hylaps,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1310x873,1310x762,,,0,Task,2,AB,1,chat1,chat1,1,chat1,Screen 1,qf5pcz,1,continue,,725537.4,725521.1,725537.4,725537.4,725521.1,725537.4,1,725537.4,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
