Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705416528383,16/01/2024 14:48:48,1705398528383,-5,16/01/2024 04:48:48,154938,3,task-ses1,,34253985,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416532672,16/01/2024 14:48:52,1705398532672,-5,16/01/2024 04:48:52,154938,3,task-ses1,,34253985,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,23862.9,23862.9,23862.9,23862.9,23862.9,23862.9,1,23862.9,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1705417264811,16/01/2024 15:01:04,1705399264811,-5,16/01/2024 05:01:04,154938,3,task-ses1,,34253985,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,732129.7,732129.7,732129.7,732129.7,732129.7,732129.7,1,732129.7,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1705417275438,16/01/2024 15:01:15,1705399275438,-5,16/01/2024 05:01:15,154938,3,task-ses1,,34253985,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,5298,10582.099999999977,10635.800000000047,10635.800000000047,10582.099999999977,10635.800000000047,10635.800000000047,1,10582.099999999977,53.70000000006985,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1705417275442,16/01/2024 15:01:15,1705399275442,-5,16/01/2024 05:01:15,154938,3,task-ses1,,34253985,dy26o9zw,10117124,,complete,gcjant,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x945,,,0,Task,2,AB,2,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416549015,16/01/2024 14:49:09,1705398549015,-5,16/01/2024 04:49:09,154938,3,task-ses1,,34254009,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat2,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416551138,16/01/2024 14:49:11,1705398551138,-5,16/01/2024 04:49:11,154938,3,task-ses1,,34254009,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,29252.5,29252.5,29252.5,29252.5,29252.5,29252.5,1,29252.5,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1705417237829,16/01/2024 15:00:37,1705399237829,-5,16/01/2024 05:00:37,154938,3,task-ses1,,34254009,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,686688.8,686688.8,686688.8,686688.8,686688.8,686688.8,1,686688.8,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1705417243481,16/01/2024 15:00:43,1705399243481,-5,16/01/2024 05:00:43,154938,3,task-ses1,,34254009,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,3639,5322.099999999977,5655.899999999907,5655.899999999907,5322.099999999977,5655.899999999907,5655.899999999907,1,5322.099999999977,333.79999999993015,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1705417243482,16/01/2024 15:00:43,1705399243482,-5,16/01/2024 05:00:43,154938,3,task-ses1,,34254009,zge7wvg4,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,0,Task,2,BA,2,chat2,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
