Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1706883013008,02/02/2024 14:10:13,1706857813008,-7,02/02/2024 00:10:13,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706883038506,02/02/2024 14:10:38,1706857838506,-7,02/02/2024 00:10:38,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,Page 1,4txcqs,1,What is your age?,response,value,35,,,Number Entry,3,object-4
3,1706883038506,02/02/2024 14:10:38,1706857838506,-7,02/02/2024 00:10:38,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1706883038506,02/02/2024 14:10:38,1706857838506,-7,02/02/2024 00:10:38,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1706883038506,02/02/2024 14:10:38,1706857838506,-7,02/02/2024 00:10:38,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1706883038506,02/02/2024 14:10:38,1706857838506,-7,02/02/2024 00:10:38,163181,2,questionnaire-2qbv,,34733227,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,welcomeAndConsent,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706883068304,02/02/2024 14:11:08,1706861468304,-6,02/02/2024 02:11:08,163181,2,questionnaire-2qbv,,34733276,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,welcomeAndConsent,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,BEGIN,,,,,
2,1706883084986,02/02/2024 14:11:24,1706861484986,-6,02/02/2024 02:11:24,163181,2,questionnaire-2qbv,,34733276,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,welcomeAndConsent,1,A_2AlexNorm_1PatAnx,AB,Page 1,4txcqs,1,What is your age?,response,value,34,,,Number Entry,3,object-4
3,1706883084987,02/02/2024 14:11:24,1706861484987,-6,02/02/2024 02:11:24,163181,2,questionnaire-2qbv,,34733276,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,welcomeAndConsent,1,A_2AlexNorm_1PatAnx,AB,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1706883084987,02/02/2024 14:11:24,1706861484987,-6,02/02/2024 02:11:24,163181,2,questionnaire-2qbv,,34733276,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,welcomeAndConsent,1,A_2AlexNorm_1PatAnx,AB,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
