Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1706885299422,02/02/2024 14:48:19,1706860099422,-7,02/02/2024 00:48:19,163181,2,questionnaire-7y3d,,34735695,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706885330948,02/02/2024 14:48:50,1706860130948,-7,02/02/2024 00:48:50,163181,2,questionnaire-7y3d,,34735695,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1560x945,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706884887784,02/02/2024 14:41:27,1706863287784,-6,02/02/2024 02:41:27,163181,2,questionnaire-7y3d,,34735331,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,BEGIN,,,,,
2,1706884890612,02/02/2024 14:41:30,1706863290612,-6,02/02/2024 02:41:30,163181,2,questionnaire-7y3d,,34735331,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,END,,,,,
1,1706885085763,02/02/2024 14:44:45,1706856285763,-8,01/02/2024 22:44:45,163181,2,questionnaire-7y3d,,34735523,sg8kxcgs,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,BEGIN,,,,,
2,1706885091491,02/02/2024 14:44:51,1706856291491,-8,01/02/2024 22:44:51,163181,2,questionnaire-7y3d,,34735523,sg8kxcgs,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,END,,,,,
1,1706885475583,02/02/2024 14:51:15,1706867475583,-5,02/02/2024 04:51:15,163181,2,questionnaire-7y3d,,34735864,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Debrief,1,B_2PatNorm_1AlexAnx,AB,,,,,5,,BEGIN,,,,,
2,1706885489428,02/02/2024 14:51:29,1706867489428,-5,02/02/2024 04:51:29,163181,2,questionnaire-7y3d,,34735864,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Debrief,1,B_2PatNorm_1AlexAnx,AB,,,,,5,,END,,,,,
1,1706885218629,02/02/2024 14:46:58,1706867218629,-5,02/02/2024 04:46:58,163181,2,questionnaire-7y3d,,34735627,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1706885231608,02/02/2024 14:47:11,1706867231608,-5,02/02/2024 04:47:11,163181,2,questionnaire-7y3d,,34735627,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1706885049813,02/02/2024 14:44:09,1706863449813,-6,02/02/2024 02:44:09,163181,2,questionnaire-7y3d,,34735492,isn37d0h,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1706885061256,02/02/2024 14:44:21,1706863461256,-6,02/02/2024 02:44:21,163181,2,questionnaire-7y3d,,34735492,isn37d0h,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1706885312899,02/02/2024 14:48:32,1706867312899,-5,02/02/2024 04:48:32,163181,2,questionnaire-7y3d,,34735709,pqadatyd,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1215x587,,,0,Debrief,1,B_1AlexAnx_2PatNorm,BA,,,,,5,,BEGIN,,,,,
2,1706885345371,02/02/2024 14:49:05,1706867345371,-5,02/02/2024 04:49:05,163181,2,questionnaire-7y3d,,34735709,pqadatyd,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1215x587,,,0,Debrief,1,B_1AlexAnx_2PatNorm,BA,,,,,5,,END,,,,,
1,1706885332886,02/02/2024 14:48:52,1706867332886,-5,02/02/2024 04:48:52,163181,2,questionnaire-7y3d,,34735727,glbsi8le,10269445,,complete,qdrpvt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1706885336164,02/02/2024 14:48:56,1706867336164,-5,02/02/2024 04:48:56,163181,2,questionnaire-7y3d,,34735727,glbsi8le,10269445,,complete,qdrpvt,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x695,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1706885383703,02/02/2024 14:49:43,1706860183703,-7,02/02/2024 00:49:43,163181,2,questionnaire-7y3d,,34735781,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,BEGIN,,,,,
2,1706885390410,02/02/2024 14:49:50,1706860190410,-7,02/02/2024 00:49:50,163181,2,questionnaire-7y3d,,34735781,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,END,,,,,
1,1706885492243,02/02/2024 14:51:32,1706867492243,-5,02/02/2024 04:51:32,163181,2,questionnaire-7y3d,,34735881,ii0b79o7,10269434,,complete,ovmrat,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706885494134,02/02/2024 14:51:34,1706867494134,-5,02/02/2024 04:51:34,163181,2,questionnaire-7y3d,,34735881,ii0b79o7,10269434,,complete,ovmrat,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706885519194,02/02/2024 14:51:59,1706867519194,-5,02/02/2024 04:51:59,163181,2,questionnaire-7y3d,,34735912,mkh33kxq,10269314,,complete,vzmqco,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x607,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,BEGIN,,,,,
2,1706885532849,02/02/2024 14:52:12,1706867532849,-5,02/02/2024 04:52:12,163181,2,questionnaire-7y3d,,34735912,mkh33kxq,10269314,,complete,vzmqco,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x607,,,0,Debrief,1,A_1PatAnx_2AlexNorm,BA,,,,,5,,END,,,,,
1,1706885542877,02/02/2024 14:52:22,1706867542877,-5,02/02/2024 04:52:22,163181,2,questionnaire-7y3d,,34735951,kx76bpb1,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,BEGIN,,,,,
2,1706885544828,02/02/2024 14:52:24,1706867544828,-5,02/02/2024 04:52:24,163181,2,questionnaire-7y3d,,34735951,kx76bpb1,10269450,,complete,cxfdhw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1AlexAnx_2PatNorm,AB,,,,,5,,END,,,,,
1,1706885567347,02/02/2024 14:52:47,1706867567347,-5,02/02/2024 04:52:47,163181,2,questionnaire-7y3d,,34735976,y34a5w74,10269475,,complete,jhagny,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x991,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,BEGIN,,,,,
2,1706885569349,02/02/2024 14:52:49,1706867569349,-5,02/02/2024 04:52:49,163181,2,questionnaire-7y3d,,34735976,y34a5w74,10269475,,complete,jhagny,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x991,,,0,Debrief,1,A_1PatAnx_2AlexNorm,AB,,,,,5,,END,,,,,
1,1706885615689,02/02/2024 14:53:35,1706864015689,-6,02/02/2024 02:53:35,163181,2,questionnaire-7y3d,,34736032,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Debrief,1,B_2PatNorm_1AlexAnx,AB,,,,,5,,BEGIN,,,,,
2,1706885625386,02/02/2024 14:53:45,1706864025386,-6,02/02/2024 02:53:45,163181,2,questionnaire-7y3d,,34736032,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Debrief,1,B_2PatNorm_1AlexAnx,AB,,,,,5,,END,,,,,
1,1706885631073,02/02/2024 14:53:51,1706864031073,-6,02/02/2024 02:53:51,163181,2,questionnaire-7y3d,,34736058,7rav4buw,10269440,,complete,yuyivh,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1885x928,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1706885656944,02/02/2024 14:54:16,1706864056944,-6,02/02/2024 02:54:16,163181,2,questionnaire-7y3d,,34736058,7rav4buw,10269440,,complete,yuyivh,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1885x928,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1706885957020,02/02/2024 14:59:17,1706867957020,-5,02/02/2024 04:59:17,163181,2,questionnaire-7y3d,,34736485,j3kltwmb,10269598,,complete,jkrdhi,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,BEGIN,,,,,
2,1706885965508,02/02/2024 14:59:25,1706867965508,-5,02/02/2024 04:59:25,163181,2,questionnaire-7y3d,,34736485,j3kltwmb,10269598,,complete,jkrdhi,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_2AlexNorm_1PatAnx,BA,,,,,5,,END,,,,,
1,1706886647022,02/02/2024 15:10:47,1706868647022,-5,02/02/2024 05:10:47,163181,2,questionnaire-7y3d,,34737663,zar1ffxq,10269900,,complete,cezded,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1280x1024,1280x871,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,BEGIN,,,,,
2,1706886652302,02/02/2024 15:10:52,1706868652302,-5,02/02/2024 05:10:52,163181,2,questionnaire-7y3d,,34737663,zar1ffxq,10269900,,complete,cezded,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1280x1024,1280x871,,,0,Debrief,1,B_2PatNorm_1AlexAnx,BA,,,,,5,,END,,,,,
1,1706886689564,02/02/2024 15:11:29,1706865089564,-6,02/02/2024 03:11:29,163181,2,questionnaire-7y3d,,34737733,9hvlz1uw,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,1686x780,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,BEGIN,,,,,
2,1706886727325,02/02/2024 15:12:07,1706865127325,-6,02/02/2024 03:12:07,163181,2,questionnaire-7y3d,,34737733,9hvlz1uw,10269734,,complete,nldnqs,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1517x853,1686x780,,,0,Debrief,1,A_2AlexNorm_1PatAnx,AB,,,,,5,,END,,,,,
