Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Randomise questionnaire elements?,Question Key,Response
1,1706884958546,02/02/2024 14:42:38,1706884959114,-7,02/02/2024 07:42:39,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,BEGIN QUESTIONNAIRE,
2,1706885256461,02/02/2024 14:47:36,1706885256577,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-1,4
3,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-1-quantised,5
4,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-2,4
5,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-2-quantised,5
6,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-3,4
7,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-3-quantised,5
8,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-4,4
9,1706885256633,02/02/2024 14:47:36,1706885256578,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-4-quantised,5
10,1706885256633,02/02/2024 14:47:36,1706885256579,-7,02/02/2024 07:47:36,163181,2,questionnaire-83ca,,34735411,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x945,,,,SCL-90 R_english,1,A_1PatAnx_2AlexNorm,AB,No,response-1-5,4
