Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706883044820,02/02/2024 14:10:44,1706857844820,-7,02/02/2024 00:10:44,163181,2,task-5xl3,,34733252,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883072478,02/02/2024 14:11:12,1706857872478,-7,02/02/2024 00:11:12,163181,2,task-5xl3,,34733252,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,27664.681999999997,27648.381999999998,27664.681999999997,27664.681999999997,27648.381999999998,27664.681999999997,1,27664.681999999997,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883072481,02/02/2024 14:11:12,1706857872481,-7,02/02/2024 00:11:12,163181,2,task-5xl3,,34733252,p3uaop6k,10269258,,complete,fzlshn,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x945,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883090990,02/02/2024 14:11:30,1706861490990,-6,02/02/2024 02:11:30,163181,2,task-5xl3,,34733295,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883100623,02/02/2024 14:11:40,1706861500623,-6,02/02/2024 02:11:40,163181,2,task-5xl3,,34733295,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,9638.972000000002,9631.972000000002,9638.972000000002,9638.972000000002,9631.972000000002,9638.972000000002,1,9638.972000000002,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883100624,02/02/2024 14:11:40,1706861500624,-6,02/02/2024 02:11:40,163181,2,task-5xl3,,34733295,epxnctp8,10269277,,complete,agzipv,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1536x864,1536x703,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883156129,02/02/2024 14:12:36,1706854356129,-8,01/02/2024 22:12:36,163181,2,task-5xl3,,34733357,sg8kxcgs,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883205894,02/02/2024 14:13:25,1706854405894,-8,01/02/2024 22:13:25,163181,2,task-5xl3,,34733357,sg8kxcgs,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,49766.4,49749.72,49766.4,49766.4,49749.72,49766.4,1,49766.4,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883205897,02/02/2024 14:13:25,1706854405897,-8,01/02/2024 22:13:25,163181,2,task-5xl3,,34733357,sg8kxcgs,10269286,,complete,szpyrr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1393x954,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883138915,02/02/2024 14:12:18,1706865138915,-5,02/02/2024 04:12:18,163181,2,task-5xl3,,34733342,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883171613,02/02/2024 14:12:51,1706865171613,-5,02/02/2024 04:12:51,163181,2,task-5xl3,,34733342,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,32710.900000000005,32694.100000000002,32710.900000000005,32710.900000000005,32694.100000000002,32710.900000000005,1,32710.900000000005,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883171621,02/02/2024 14:12:51,1706865171621,-5,02/02/2024 04:12:51,163181,2,task-5xl3,,34733342,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883168337,02/02/2024 14:12:48,1706865168337,-5,02/02/2024 04:12:48,163181,2,task-5xl3,,34733381,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883195669,02/02/2024 14:13:15,1706865195669,-5,02/02/2024 04:13:15,163181,2,task-5xl3,,34733381,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,27356,27339.4,27356,27356,27339.4,27356,1,27356,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883195675,02/02/2024 14:13:15,1706865195675,-5,02/02/2024 04:13:15,163181,2,task-5xl3,,34733381,7gk8p750,10269305,,complete,rcmfzw,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1200,1920x1073,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883217401,02/02/2024 14:13:37,1706861617401,-6,02/02/2024 02:13:37,163181,2,task-5xl3,,34733431,isn37d0h,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706883242387,02/02/2024 14:14:02,1706861642387,-6,02/02/2024 02:14:02,163181,2,task-5xl3,,34733431,isn37d0h,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,24993.239999999998,24977.46,24993.239999999998,24993.239999999998,24977.46,24993.239999999998,1,24993.239999999998,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706883242391,02/02/2024 14:14:02,1706861642391,-6,02/02/2024 02:14:02,163181,2,task-5xl3,,34733431,isn37d0h,10269319,,complete,dovnxr,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1920x1080,1920x927,,,0,Task (Counterbalance A),1,A_2AlexNorm_1PatAnx,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706883239331,02/02/2024 14:13:59,1706865239331,-5,02/02/2024 04:13:59,163181,2,task-5xl3,,34733463,mkh33kxq,10269314,,complete,vzmqco,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1366x768,1366x607,,,0,Task (Counterbalance A),1,A_1PatAnx_2AlexNorm,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
