Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1706884102430,02/02/2024 14:28:22,1706866102430,-5,02/02/2024 04:28:22,163181,2,task-mghz,,34734398,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884107418,02/02/2024 14:28:27,1706866107418,-5,02/02/2024 04:28:27,163181,2,task-mghz,,34734398,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,4982.5,4982.5,4982.5,4982.5,4982.5,4982.5,1,4982.5,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706885007413,02/02/2024 14:43:27,1706867007413,-5,02/02/2024 04:43:27,163181,2,task-mghz,,34734398,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,900014.8000000007,900007.3999999999,900014.8000000007,900014.8000000007,900007.3999999999,900014.8000000007,1,900014.8000000007,0,0,,Time Limit,screen,0,screen,chat1,
4,1706885016504,02/02/2024 14:43:36,1706867016504,-5,02/02/2024 04:43:36,163181,2,task-mghz,,34734398,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3508,6448.5,9081.40000000014,9081.40000000014,6448.5,9081.40000000014,9081.40000000014,1,6448.5,2632.9000000001397,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1706885016506,02/02/2024 14:43:36,1706867016506,-5,02/02/2024 04:43:36,163181,2,task-mghz,,34734398,slga5onx,10269296,,complete,fraywr,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1229x571,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706884341074,02/02/2024 14:32:21,1706859141074,-7,02/02/2024 00:32:21,163181,2,task-mghz,,34734700,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884345682,02/02/2024 14:32:25,1706859145682,-7,02/02/2024 00:32:25,163181,2,task-mghz,,34734700,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,771647,771647,771647,771647,771647,771647,1,771647,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706885081545,02/02/2024 14:44:41,1706859881545,-7,02/02/2024 00:44:41,163181,2,task-mghz,,34734700,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,735859.3999999999,735859.3999999999,735859.3999999999,735859.3999999999,735859.3999999999,735859.3999999999,1,735859.3999999999,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1706885093157,02/02/2024 14:44:53,1706859893157,-7,02/02/2024 00:44:53,163181,2,task-mghz,,34734700,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,1485,4500,11609.40000000014,11609.40000000014,4500,11609.40000000014,11609.40000000014,1,4500,7109.40000000014,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1706885093160,02/02/2024 14:44:53,1706859893160,-7,02/02/2024 00:44:53,163181,2,task-mghz,,34734700,77cfqkz4,10269413,,complete,hxtyjq,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1280x720,1600x712,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706884423372,02/02/2024 14:33:43,1706862823372,-6,02/02/2024 02:33:43,163181,2,task-mghz,,34734810,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884426123,02/02/2024 14:33:46,1706862826123,-6,02/02/2024 02:33:46,163181,2,task-mghz,,34734810,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2794.8000000000466,2794.8000000000466,2794.8000000000466,2794.8000000000466,2794.8000000000466,2794.8000000000466,1,2794.8000000000466,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1706885148950,02/02/2024 14:45:48,1706863548950,-6,02/02/2024 02:45:48,163181,2,task-mghz,,34734810,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,722824.5,722824.5,722824.5,722824.5,722824.5,722824.5,1,722824.5,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1706885154563,02/02/2024 14:45:54,1706863554563,-6,02/02/2024 02:45:54,163181,2,task-mghz,,34734810,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7902,5596.399999999907,5596.399999999907,5596.399999999907,5596.399999999907,5596.399999999907,5596.399999999907,1,5596.399999999907,0,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1706885154566,02/02/2024 14:45:54,1706863554566,-6,02/02/2024 02:45:54,163181,2,task-mghz,,34734810,3xowrysi,10269476,,complete,fxtrit,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 120.0.0.0,1536x864,1536x778,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,AB,chat1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706885656003,02/02/2024 14:54:16,1706867656003,-5,02/02/2024 04:54:16,163181,2,task-mghz,,34736091,zar1ffxq,10269900,,complete,cezded,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1280x1024,1280x871,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706885658212,02/02/2024 14:54:18,1706867658212,-5,02/02/2024 04:54:18,163181,2,task-mghz,,34736091,zar1ffxq,10269900,,complete,cezded,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1280x1024,1280x871,,,0,Task (Counterbalance B),1,B_2PatNorm_1AlexAnx,BA,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2199.219999999972,2199.219999999972,2199.219999999972,2199.219999999972,2199.219999999972,2199.219999999972,1,2199.219999999972,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
