PublicID,Name,Email Address,Recruitment Policy,Group,Version,Checkpoint,Current Node,Status,Included,Activated
soo9ghos,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,05/02/2024
jitqk8x0,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,05/02/2024
c0po21rm,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,05/02/2024
9b44cd08,,,MTurk,,2,,questionnaire-7spi,Rejected (Manual),FALSE,08/02/2024
4ycylcym,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,08/02/2024
uh6ldmy0,,,MTurk,,2,,,Complete,TRUE,08/02/2024
e30w7hhc,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,08/02/2024
ynagh6zf,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
5hdsrmi2,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
eo6is2kf,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
jk0qs54w,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,09/02/2024
w0kf9jlm,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,09/02/2024
2rtfcpsq,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,09/02/2024
609s8171,,,MTurk,,2,,,Complete,TRUE,09/02/2024
06d141bx,,,MTurk,,2,,,Complete,TRUE,09/02/2024
ejbbinl5,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,10/02/2024
3tfkvcqn,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
vqhq1v7o,,,MTurk,,2,,,Complete,TRUE,12/02/2024
z3n2izw9,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
lcu7sww9,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
p1g2nlpg,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
9k0jnpyv,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,12/02/2024
eoro4nvu,,,MTurk,,2,,task-hu1g,Rejected (Manual),FALSE,12/02/2024
1y3fe8ew,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
k0kc436x,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
zboesxs7,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
z6vm0ngj,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
91rdfwf3,,,MTurk,,2,,,Complete,TRUE,12/02/2024
iqrlkh1s,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,13/02/2024
sgicyw1j,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
jymhxboz,,,MTurk,,2,,task-ncut,Rejected (Manual),FALSE,12/02/2024
0kpshnls,,,MTurk,,2,,,Complete,TRUE,13/02/2024
aby96ve4,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,12/02/2024
f0ntvntp,,,MTurk,,2,,task-ppql,Rejected (Manual),FALSE,12/02/2024
9iz6y9bx,,,MTurk,,2,,,Complete,TRUE,12/02/2024
6189mvyw,,,MTurk,,2,,,Complete,TRUE,12/02/2024
hu9nyzey,,,MTurk,,2,,questionnaire-2qbv,Rejected (Manual),FALSE,12/02/2024
xh8wtsfw,,,MTurk,,2,,task-4nrv,Rejected (Manual),FALSE,12/02/2024
cfvj09pv,,,MTurk,,2,,task-5xl3,Rejected (Manual),FALSE,12/02/2024
pslq7f8x,,,MTurk,,2,,task-4uru,Rejected (Manual),FALSE,12/02/2024
