PublicID,Name,Email Address,Recruitment Policy,Group,Version,Checkpoint,Current Node,Status,Included,Activated
dy26o9zw,,,MTurk,,3,,,Complete,TRUE,16/01/2024
zaurr72x,,,MTurk,,3,,,Complete,TRUE,16/01/2024
zge7wvg4,,,MTurk,,3,,,Complete,TRUE,16/01/2024
yk6g1ov4,,,MTurk,,3,,,Complete,TRUE,16/01/2024
f6ok4chm,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
rgf8roc0,,,MTurk,,3,,,Complete,TRUE,16/01/2024
ok30b186,,,MTurk,,3,,,Complete,TRUE,16/01/2024
323tweem,,,MTurk,,3,,,Complete,TRUE,16/01/2024
yh19xw9h,,,MTurk,,3,,,Complete,TRUE,16/01/2024
lwowyaqe,,,MTurk,,3,,,Complete,TRUE,16/01/2024
hpsaho9g,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
xp6ywdfs,,,MTurk,,3,,,Complete,TRUE,16/01/2024
5nkvyn3b,,,MTurk,,3,,task-ses1,Live,FALSE,16/01/2024
njhwf0kw,,,MTurk,,3,,,Complete,TRUE,16/01/2024
03fsrjtm,,,MTurk,,3,,,Complete,TRUE,16/01/2024
xa9xpvvp,,,MTurk,,3,,task-ocuq,Live,FALSE,16/01/2024
tgpw8aqb,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
u2n22pjo,,,MTurk,,3,,,Complete,TRUE,16/01/2024
wcj9zylk,,,MTurk,,3,,,Complete,TRUE,16/01/2024
wygceozt,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
27x8i5py,,,MTurk,,3,,,Complete,TRUE,16/01/2024
cznidqy4,,,MTurk,,3,,task-ses1,Live,FALSE,16/01/2024
wcou6bm5,,,MTurk,,3,,,Complete,TRUE,16/01/2024
961h4kop,,,MTurk,,3,,,Complete,TRUE,16/01/2024
sadp45uq,,,MTurk,,3,,task-ocuq,Live,FALSE,16/01/2024
o46n3toe,,,MTurk,,3,,,Complete,TRUE,16/01/2024
cnvmlhip,,,MTurk,,3,,,Complete,TRUE,16/01/2024
xeh8onae,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
opetxfl9,,,MTurk,,3,,,Complete,TRUE,16/01/2024
hpwdlywc,,,MTurk,,3,,task-p8dx,Live,FALSE,16/01/2024
vym8teyy,,,MTurk,,3,,,Complete,TRUE,16/01/2024
aam5qvm0,,,MTurk,,3,,task-ses1,Live,FALSE,16/01/2024
17xk5ztn,,,MTurk,,3,,,Complete,TRUE,16/01/2024
62h11qii,,,MTurk,,3,,,Complete,TRUE,16/01/2024
4z1t9a89,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
mmjbc8pd,,,MTurk,,3,,,Complete,TRUE,16/01/2024
hd9fbk7z,,,MTurk,,3,,task-ses1,Live,FALSE,16/01/2024
jboukak9,,,MTurk,,3,,,Complete,TRUE,16/01/2024
5tnr0asf,,,MTurk,,3,,,Complete,TRUE,16/01/2024
3rbj54yd,,,MTurk,,3,,,Complete,TRUE,16/01/2024
cce3r9ne,,,MTurk,,3,,,Complete,TRUE,16/01/2024
q278dgwb,,,MTurk,,3,,,Complete,TRUE,16/01/2024
aoftrbzh,,,MTurk,,3,,,Complete,TRUE,16/01/2024
fge7i6wx,,,MTurk,,3,,task-ses1,Live,FALSE,16/01/2024
kuq360w1,,,MTurk,,3,,,Complete,TRUE,16/01/2024
vd6iucxp,,,MTurk,,3,,task-p8dx,Live,FALSE,16/01/2024
5gi00vec,,,MTurk,,3,,,Complete,TRUE,16/01/2024
vkxyln5t,,,MTurk,,3,,,Complete,TRUE,16/01/2024
qghe7swt,,,MTurk,,3,,,Complete,TRUE,16/01/2024
5sciy76t,,,MTurk,,3,,questionnaire-8v2c,Live,FALSE,16/01/2024
