"Participant.Private.ID","item.1","item.2","item.3","item.4","item.5","item.6","item.7","item.8","item.9","item.10","item.11","item.12","item.13","item.14","item.15","item.16","item.17","item.18","item.19","item.20","item.21","item.22","item.23","item.24","item.25","item.26","item.27","item.28","item.29","item.30","item.31","item.32","item.33","item.34","item.35","item.36","item.37","item.38","item.39","item.40","item.41","item.42","item.43","item.44"
11563802,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11566059,4,2,5,2,3,2,4,1,5,4,3,4,5,4,3,2,5,1,1,4,2,4,1,4,2,5,4,5,3,4,2,4,5,5,5,4,3,5,1,3,2,2,1,4
11566066,4,2,4,2,4,2,3,4,4,4,3,2,5,3,3,3,4,2,2,4,2,4,2,4,3,4,4,4,3,4,2,3,4,3,4,4,4,4,2,4,2,4,2,3
11566067,2,2,5,1,4,4,4,2,4,4,2,2,5,4,5,2,4,2,2,4,4,4,1,5,4,2,2,5,2,5,4,5,5,5,2,4,2,4,2,4,1,4,2,5
11566069,4,3,5,1,4,2,3,1,4,4,5,3,5,1,4,5,2,1,2,4,1,3,1,4,4,5,2,5,3,4,2,4,5,4,2,4,3,5,2,4,2,5,2,4
11566073,1,4,5,4,1,5,4,4,2,1,2,5,2,5,2,1,4,5,4,2,5,4,4,2,1,4,5,4,5,2,4,4,2,1,5,1,4,4,5,1,4,4,5,2
11566074,1,5,5,4,3,5,5,1,5,5,1,3,5,5,5,1,1,1,4,5,5,1,1,3,3,5,4,5,5,5,1,5,5,5,5,1,4,5,2,3,1,3,1,4
11566081,4,1,5,1,4,2,5,2,5,5,5,1,5,1,5,5,5,2,1,4,4,5,1,5,4,1,1,5,1,5,4,5,5,5,1,5,1,5,1,5,1,5,1,2
11566083,2,4,5,2,4,5,4,1,4,5,4,1,5,5,4,2,1,1,5,4,5,1,1,4,4,2,4,5,4,4,5,4,5,4,5,2,4,5,5,4,5,4,1,2
11566084,1,2,2,3,4,4,3,4,3,3,2,2,3,3,3,3,3,3,3,4,5,4,5,3,3,3,3,3,2,5,4,4,3,3,2,2,3,3,4,4,1,4,3,3
11566088,2,2,5,1,4,4,4,1,4,4,4,1,4,1,4,3,4,1,3,4,4,4,1,4,4,4,2,5,2,5,4,4,4,4,2,2,1,5,3,5,1,5,1,4
11566089,4,4,5,1,4,4,2,3,4,4,2,2,4,2,4,5,5,1,2,4,4,2,2,4,2,3,5,4,5,4,4,4,4,5,5,2,3,4,4,4,2,4,2,4
11566109,4,4,5,1,5,1,4,2,5,5,4,2,5,4,5,5,2,2,1,5,2,2,2,5,5,3,2,5,2,5,4,5,5,5,2,5,4,5,1,5,1,5,2,4
11566140,4,4,5,4,4,5,5,4,4,4,2,1,5,4,2,2,2,5,4,5,4,5,4,4,2,4,4,5,2,4,2,5,5,4,5,5,1,4,4,3,4,4,4,4
11566142,2,1,5,1,4,5,5,1,3,4,2,1,5,1,3,2,5,1,1,4,5,5,1,4,4,1,1,5,1,4,5,5,4,2,3,2,1,5,2,4,2,5,1,4
11566193,5,4,5,1,4,2,4,2,4,5,5,1,5,4,4,5,4,2,1,4,1,4,1,5,4,3,2,5,2,5,1,5,5,4,2,5,2,5,1,5,2,4,1,3
11566218,1,4,4,5,5,5,4,4,4,5,1,2,5,5,4,1,2,4,5,5,5,1,2,2,4,1,4,4,5,5,5,4,4,4,4,1,4,4,5,5,1,4,4,5
11566222,1,3,3,5,3,5,3,3,1,4,2,3,3,5,3,2,1,3,5,4,5,1,3,1,3,3,3,3,5,3,5,3,3,3,3,1,3,3,5,4,3,3,3,3
11566224,4,1,4,1,4,3,3,2,4,4,4,1,4,3,3,2,5,2,2,4,2,4,2,4,3,2,1,4,3,4,2,5,4,5,4,4,1,4,2,4,2,4,5,3
11566241,4,3,5,1,4,4,4,1,5,5,4,2,5,3,5,4,3,1,1,4,4,4,1,5,4,4,2,5,3,4,4,4,4,4,4,4,4,5,1,4,1,4,2,5
