"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","questionFull","bfi_extraversion","bfi_agreeableness","bfi_conscientiousness","bfi_neuroticism","bfi_openness","chat"
11563802,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",3,"Introvert first","Introvert","similar","I felt that <br>we are similar",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",3,"Introvert first","Extrovert","similar","I felt that <br>we are similar",24,27,27,24,30,"Extrovert"
11563802,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",3,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",3,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",24,27,27,24,30,"Extrovert"
11563802,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",3,"Introvert first","Introvert","distant","I felt distant <br>from them",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",3,"Introvert first","Extrovert","distant","I felt distant <br>from them",24,27,27,24,30,"Extrovert"
11563802,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",3,"Introvert first","Introvert","understood","I felt that <br>they understood me",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",3,"Introvert first","Extrovert","understood","I felt that <br>they understood me",24,27,27,24,30,"Extrovert"
11563802,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",3,"Introvert first","Introvert","different","I felt that they were <br>different from me",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",3,"Introvert first","Extrovert","different","I felt that they were <br>different from me",24,27,27,24,30,"Extrovert"
11563802,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",3,"Introvert first","Introvert","chat-again","I would chat <br>with them again",24,27,27,24,30,"Introvert"
11563802,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",3,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",24,27,27,24,30,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",2,"Introvert first","Introvert","similar","I felt that <br>we are similar",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",1,"Introvert first","Extrovert","similar","I felt that <br>we are similar",24,32,29,25,34,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",2,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised",1,"Introvert first","Extrovert","enjoy","I enjoyed our <br>conversation",24,32,29,25,34,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised",5,"Introvert first","Introvert","distant","I felt distant <br>from them",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised",5,"Introvert first","Extrovert","distant","I felt distant <br>from them",24,32,29,25,34,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised",1,"Introvert first","Introvert","understood","I felt that <br>they understood me",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised",1,"Introvert first","Extrovert","understood","I felt that <br>they understood me",24,32,29,25,34,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised",5,"Introvert first","Introvert","different","I felt that they were <br>different from me",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised",5,"Introvert first","Extrovert","different","I felt that they were <br>different from me",24,32,29,25,34,"Extrovert"
11566059,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised",1,"Introvert first","Introvert","chat-again","I would chat <br>with them again",24,32,29,25,34,"Introvert"
11566059,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised",1,"Introvert first","Extrovert","chat-again","I would chat <br>with them again",24,32,29,25,34,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","similar-alex-quantised",4,"Extrovert first","Extrovert","similar","I felt that <br>we are similar",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","similar-pat-quantised",2,"Extrovert first","Introvert","similar","I felt that <br>we are similar",24,30,31,23,35,"Introvert"
11566066,"complete","A","A_1AlexExt_2PatInt","enjoy-alex-quantised",4,"Extrovert first","Extrovert","enjoy","I enjoyed our <br>conversation",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","enjoy-pat-quantised",3,"Extrovert first","Introvert","enjoy","I enjoyed our <br>conversation",24,30,31,23,35,"Introvert"
11566066,"complete","A","A_1AlexExt_2PatInt","distant-alex-quantised",2,"Extrovert first","Extrovert","distant","I felt distant <br>from them",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","distant-pat-quantised",4,"Extrovert first","Introvert","distant","I felt distant <br>from them",24,30,31,23,35,"Introvert"
11566066,"complete","A","A_1AlexExt_2PatInt","understood-alex-quantised",4,"Extrovert first","Extrovert","understood","I felt that <br>they understood me",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","understood-pat-quantised",3,"Extrovert first","Introvert","understood","I felt that <br>they understood me",24,30,31,23,35,"Introvert"
11566066,"complete","A","A_1AlexExt_2PatInt","different-alex-quantised",2,"Extrovert first","Extrovert","different","I felt that they were <br>different from me",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","different-pat-quantised",4,"Extrovert first","Introvert","different","I felt that they were <br>different from me",24,30,31,23,35,"Introvert"
11566066,"complete","A","A_1AlexExt_2PatInt","chat-again-alex-quantised",4,"Extrovert first","Extrovert","chat-again","I would chat <br>with them again",24,30,31,23,35,"Extrovert"
11566066,"complete","A","A_1AlexExt_2PatInt","chat-again-pat-quantised",2,"Extrovert first","Introvert","chat-again","I would chat <br>with them again",24,30,31,23,35,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","similar-pat-quantised",2,"Introvert first","Introvert","similar","I felt that <br>we are similar",24,29,31,25,38,"Introvert"
11566067,"complete","A","A_2PatInt_1AlexExt","similar-alex-quantised",4,"Introvert first","Extrovert","similar","I felt that <br>we are similar",24,29,31,25,38,"Extrovert"
11566067,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised",3,"Introvert first","Introvert","enjoy","I enjoyed our <br>conversation",24,29,31,25,38,"Introvert"
