"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order"
11563802,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11563802,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11563802,"complete","A","A_2PatInt_1AlexExt","response-2","knkj","Introvert first"
11563802,"complete","A","A_2PatInt_1AlexExt","response-3","knkln","Introvert first"
11566059,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566059,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566059,"complete","A","A_2PatInt_1AlexExt","response-2","Only because Alex was less pleasant to talk to. Neither one was particularly interesting, or human-like. Both were pretty wooden and didn't expand much on their ideas. Alex just also had an annoying forced exuberance, whereas Pat was more relaxed.","Introvert first"
11566059,"complete","A","A_2PatInt_1AlexExt","response-3","Alex was a little weird, overly enthusiastic and really talked a bit too much about excitement, adventure, etc. Seemed a little forced. Well, more forced than to be expected.","Introvert first"
11566066,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11566066,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11566066,"complete","A","A_1AlexExt_2PatInt","response-2","Alex was a lot more outgoing. They were easier to talk to and better at keeping the conversation going.","Extrovert first"
11566066,"complete","A","A_1AlexExt_2PatInt","response-3","Pat was kind of dull. I felt like I had to carry the conversation. They seemed to repeat things. And had low energy. ","Extrovert first"
11566067,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11566067,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11566067,"complete","A","A_2PatInt_1AlexExt","response-2","Alex seemd kind of sexy for some reason. Really felt kind of real","Introvert first"
11566067,"complete","A","A_2PatInt_1AlexExt","response-3","Just seemd kind of boring. ","Introvert first"
11566069,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11566069,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11566069,"complete","A","A_2PatInt_1AlexExt","response-2","I think Alex could see that I was into sports etc and wanted to experience as well so Alex mentioned doing something together","Introvert first"
11566069,"complete","A","A_2PatInt_1AlexExt","response-3","the questions were more generic and they gave back what I fed them ","Introvert first"
11566073,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566073,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566073,"complete","A","A_2PatInt_1AlexExt","response-2","They could relate to me and all of my feelings and even some of my habits. It made me feel validated.","Introvert first"
11566073,"complete","A","A_2PatInt_1AlexExt","response-3","Pat seemed to be very repetitive and non-human like.","Introvert first"
11566074,"complete","A","A_1AlexExt_2PatInt","response-1-1","Pat","Extrovert first"
11566074,"complete","A","A_1AlexExt_2PatInt","response-1-2","Alex","Extrovert first"
11566074,"complete","A","A_1AlexExt_2PatInt","response-2","Pat seemed more calm and relaxing.","Extrovert first"
11566074,"complete","A","A_1AlexExt_2PatInt","response-3","Alex seemed to hyper for my taste.","Extrovert first"
11566081,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11566081,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11566081,"complete","A","A_1AlexExt_2PatInt","response-2","I felt alex was more personable","Extrovert first"
11566081,"complete","A","A_1AlexExt_2PatInt","response-3","Wasn't as personable. ","Extrovert first"
11566083,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566083,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566083,"complete","A","A_2PatInt_1AlexExt","response-2","Pat and I had some things in common. They gave me a book recommendation I might like.","Introvert first"
11566083,"complete","A","A_2PatInt_1AlexExt","response-3","Alex wasn't telling the truth. Once I figured out that Alex was lying to me it was hard to take anything they said seriously. And they were overly friendly.","Introvert first"
11566084,"complete","A","A_1AlexExt_2PatInt","response-1-1","Pat","Extrovert first"
11566084,"complete","A","A_1AlexExt_2PatInt","response-1-2","Alex","Extrovert first"
11566084,"complete","A","A_1AlexExt_2PatInt","response-2","I can be blunt to Pat and he will apologize.","Extrovert first"
11566084,"complete","A","A_1AlexExt_2PatInt","response-3","Because Alex always ends in some exclamation point sentence for each response. That's just not normal.","Extrovert first"
11566088,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11566088,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11566088,"complete","A","A_1AlexExt_2PatInt","response-2","Alex was better at follow up questions and offered some really useful suggestions.","Extrovert first"
11566088,"complete","A","A_1AlexExt_2PatInt","response-3","Pat was helpful but not as personable as Alex.","Extrovert first"
11566089,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566089,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566089,"complete","A","A_2PatInt_1AlexExt","response-2","They tended to be quite repetetive sometimes asking the same questions over and over.","Introvert first"
11566089,"complete","A","A_2PatInt_1AlexExt","response-3","I felt him he was less smart thatn the first inddividual and would repeat stuff.","Introvert first"
11566109,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566109,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566109,"complete","A","A_2PatInt_1AlexExt","response-2","Pat was my favorite because we talked about TV and movies and really connected on what we like and dislike about media and it was very interesting.","Introvert first"
11566109,"complete","A","A_2PatInt_1AlexExt","response-3","Well the person was very pushy and just tried to insert themselves in ways that seemed innapropriate though I did admire their enthusiasm but it was a bit too much.","Introvert first"
11566140,"complete","A","A_1AlexExt_2PatInt","response-1-1","Alex","Extrovert first"
11566140,"complete","A","A_1AlexExt_2PatInt","response-1-2","Pat","Extrovert first"
11566140,"complete","A","A_1AlexExt_2PatInt","response-2","I really enjoyed Alex, seemed like he really knew what he was talking about.","Extrovert first"
11566140,"complete","A","A_1AlexExt_2PatInt","response-3","Pat was too distant and not opinonated enough for me.","Extrovert first"
11566142,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566142,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566142,"complete","A","A_2PatInt_1AlexExt","response-2","Pat seemed more calm and relaxed and less forceful in our interaction. ","Introvert first"
11566142,"complete","A","A_2PatInt_1AlexExt","response-3","Alex seemed very forceful and wouldnt let me get much of a word or rather a suggestion in. ","Introvert first"
11566193,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11566193,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11566193,"complete","A","A_2PatInt_1AlexExt","response-2","I connected with Alex.  We talked about different locations and shared specific stories","Introvert first"
11566193,"complete","A","A_2PatInt_1AlexExt","response-3","Pat was distant and did not want to share about their lives.  Just broad topics","Introvert first"
11566218,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11566218,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11566218,"complete","A","A_2PatInt_1AlexExt","response-2","Because Alex just seemed to understand me a little more, especially with my shyness and missing my cat.","Introvert first"
11566218,"complete","A","A_2PatInt_1AlexExt","response-3","I loved Pat as well, just Alex understood me a little more.","Introvert first"
11566222,"complete","A","A_1AlexExt_2PatInt","response-1-1","Pat","Extrovert first"
11566222,"complete","A","A_1AlexExt_2PatInt","response-1-2","Alex","Extrovert first"
11566222,"complete","A","A_1AlexExt_2PatInt","response-2","Pat seemed more human.","Extrovert first"
11566222,"complete","A","A_1AlexExt_2PatInt","response-3","Alex seemed more sterile and robot-like. Like he was stiff.","Extrovert first"
11566224,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11566224,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11566224,"complete","A","A_2PatInt_1AlexExt","response-2","Pat held the conversation. maybe that was my fault but i felt his momory was pretty good.","Introvert first"
11566224,"complete","A","A_2PatInt_1AlexExt","response-3","They kept forgetting things i already told them. asked the same question a few times.","Introvert first"
11566241,"complete","A","A_2PatInt_1AlexExt","response-1-1","Alex","Introvert first"
11566241,"complete","A","A_2PatInt_1AlexExt","response-1-2","Pat","Introvert first"
11566241,"complete","A","A_2PatInt_1AlexExt","response-2","I just had more fun in this chat overall. ","Introvert first"
11566241,"complete","A","A_2PatInt_1AlexExt","response-3","It was still enjoyable but a bit more down.","Introvert first"
11580653,"complete","A","A_2PatInt_1AlexExt","response-1-1","Pat","Introvert first"
11580653,"complete","A","A_2PatInt_1AlexExt","response-1-2","Alex","Introvert first"
11580653,"complete","A","A_2PatInt_1AlexExt","response-2","Pat seemed a little more real.  I think Alex couldn't give specific answers on topics.","Introvert first"
11580653,"complete","A","A_2PatInt_1AlexExt","response-3","I think they seemed more simulated.  They seemed to agree with everything I said without being specific enough to seem real.","Introvert first"
11580665,"complete","A","A_1AlexExt_2PatInt","response-1-1","Pat","Extrovert first"
11580665,"complete","A","A_1AlexExt_2PatInt","response-1-2","Alex","Extrovert first"
11580665,"complete","A","A_1AlexExt_2PatInt","response-2","I guess Pat was more like me, a introvert and seemed to understand me better","Extrovert first"
