"Participant.Private.ID","Participant.Status","Display","arm","Response","chat","chatType","counterbalance","chat1_first","gorillaExp"
11563802,"complete","completionCode1","A_2PatInt_1AlexExt","2298",1,"Extrovert","A","no","A"
11563802,"complete","completionCode2","A_2PatInt_1AlexExt","4444",2,"Introvert","A","no","A"
11566059,"complete","completionCode1","A_2PatInt_1AlexExt","4123",1,"Extrovert","A","no","A"
11566059,"complete","completionCode2","A_2PatInt_1AlexExt","4263",2,"Introvert","A","no","A"
11566066,"complete","completionCode1","A_1AlexExt_2PatInt","8212",1,"Extrovert","A","yes","A"
11566066,"complete","completionCode2","A_1AlexExt_2PatInt","6589",2,"Introvert","A","yes","A"
11566067,"complete","completionCode1","A_2PatInt_1AlexExt","5114",1,"Extrovert","A","no","A"
11566067,"complete","completionCode2","A_2PatInt_1AlexExt","4231",2,"Introvert","A","no","A"
11566069,"complete","completionCode1","A_2PatInt_1AlexExt","7989",1,"Extrovert","A","no","A"
11566069,"complete","completionCode2","A_2PatInt_1AlexExt","6311",2,"Introvert","A","no","A"
11566073,"complete","completionCode1","A_2PatInt_1AlexExt","8840",1,"Extrovert","A","no","A"
11566073,"complete","completionCode2","A_2PatInt_1AlexExt","6368",2,"Introvert","A","no","A"
11566074,"complete","completionCode1","A_1AlexExt_2PatInt","5795",1,"Extrovert","A","yes","A"
11566074,"complete","completionCode2","A_1AlexExt_2PatInt","5853",2,"Introvert","A","yes","A"
11566081,"complete","completionCode1","A_1AlexExt_2PatInt","7590",1,"Extrovert","A","yes","A"
11566081,"complete","completionCode2","A_1AlexExt_2PatInt","7375",2,"Introvert","A","yes","A"
11566083,"complete","completionCode1","A_2PatInt_1AlexExt","5883",1,"Extrovert","A","no","A"
11566083,"complete","completionCode2","A_2PatInt_1AlexExt","5883",2,"Introvert","A","no","A"
11566084,"complete","completionCode1","A_1AlexExt_2PatInt","9315",1,"Extrovert","A","yes","A"
11566084,"complete","completionCode2","A_1AlexExt_2PatInt","no code??",2,"Introvert","A","yes","A"
11566088,"complete","completionCode1","A_1AlexExt_2PatInt","0000",1,"Extrovert","A","yes","A"
11566088,"complete","completionCode2","A_1AlexExt_2PatInt"," 0000",2,"Introvert","A","yes","A"
11566089,"complete","completionCode1","A_2PatInt_1AlexExt","2224",1,"Extrovert","A","no","A"
11566089,"complete","completionCode2","A_2PatInt_1AlexExt","2428",2,"Introvert","A","no","A"
11566109,"complete","completionCode1","A_2PatInt_1AlexExt","no code was given",1,"Extrovert","A","no","A"
11566140,"complete","completionCode1","A_1AlexExt_2PatInt","A3OZ288I9CBLWF",1,"Extrovert","A","yes","A"
11566140,"complete","completionCode2","A_1AlexExt_2PatInt","A3OZ288I9CBLWF- NoCode given at end of chat.",2,"Introvert","A","yes","A"
11566142,"complete","completionCode1","A_2PatInt_1AlexExt","2878",1,"Extrovert","A","no","A"
11566142,"complete","completionCode2","A_2PatInt_1AlexExt","9802",2,"Introvert","A","no","A"
11566193,"complete","completionCode1","A_2PatInt_1AlexExt","0000",1,"Extrovert","A","no","A"
11566193,"complete","completionCode2","A_2PatInt_1AlexExt","0000",2,"Introvert","A","no","A"
11566218,"complete","completionCode1","A_2PatInt_1AlexExt","5039",1,"Extrovert","A","no","A"
11566218,"complete","completionCode2","A_2PatInt_1AlexExt","7163",2,"Introvert","A","no","A"
11566222,"complete","completionCode1","A_1AlexExt_2PatInt","NONE",1,"Extrovert","A","yes","A"
