Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1723207726219,09/08/2024 12:48:46,1723196926219,-3,09/08/2024 06:48:46,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1723207783221,09/08/2024 12:49:43,1723196983221,-3,09/08/2024 06:49:43,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your age?,response,value,42,,,Number Entry,3,object-4
3,1723207783221,09/08/2024 12:49:43,1723196983221,-3,09/08/2024 06:49:43,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1723207783221,09/08/2024 12:49:43,1723196983221,-3,09/08/2024 06:49:43,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1723207783221,09/08/2024 12:49:43,1723196983221,-3,09/08/2024 06:49:43,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1723207783222,09/08/2024 12:49:43,1723196983222,-3,09/08/2024 06:49:43,183710,5,questionnaire-2qbv,,39468882,qjfcjofe,11563802,,complete,tzyeyb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1374x754,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,,,,,info,,END,,,,,
1,1723247249629,09/08/2024 23:47:29,1723229249629,-5,09/08/2024 13:47:29,183710,5,questionnaire-2qbv,,39481532,e0mve7sw,11566059,,complete,ndqpdh,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,2133x1050,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1723247266099,09/08/2024 23:47:46,1723229266099,-5,09/08/2024 13:47:46,183710,5,questionnaire-2qbv,,39481532,e0mve7sw,11566059,,complete,ndqpdh,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,2133x1050,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your age?,response,value,38,,,Number Entry,3,object-4
3,1723247266100,09/08/2024 23:47:46,1723229266100,-5,09/08/2024 13:47:46,183710,5,questionnaire-2qbv,,39481532,e0mve7sw,11566059,,complete,ndqpdh,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,2133x1050,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1723247266100,09/08/2024 23:47:46,1723229266100,-5,09/08/2024 13:47:46,183710,5,questionnaire-2qbv,,39481532,e0mve7sw,11566059,,complete,ndqpdh,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,2133x1050,,,0,welcomeAndConsent,1,A_2PatInt_1AlexExt,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
