Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1723248432486,10/08/2024 00:07:12,1723223232486,-7,09/08/2024 10:07:12,183710,5,task-wzw3,,39481685,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723248434401,10/08/2024 00:07:14,1723223234401,-7,09/08/2024 10:07:14,183710,5,task-wzw3,,39481685,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1933.1000000000931,1933.1000000000931,1933.1000000000931,1933.1000000000931,1933.1000000000931,1933.1000000000931,1,1933.1000000000931,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723249157784,10/08/2024 00:19:17,1723223957784,-7,09/08/2024 10:19:17,183710,5,task-wzw3,,39481685,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,723382.2,723382.2,723382.2,723382.2,723382.2,723382.2,1,723382.2,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1723249161978,10/08/2024 00:19:21,1723223961978,-7,09/08/2024 10:19:21,183710,5,task-wzw3,,39481685,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,5853,2099.899999999907,4200,4200,2099.899999999907,4200,4200,1,2099.899999999907,2100.100000000093,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1723249161979,10/08/2024 00:19:21,1723223961979,-7,09/08/2024 10:19:21,183710,5,task-wzw3,,39481685,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723248437450,10/08/2024 00:07:17,1723234037450,-4,09/08/2024 16:07:17,183710,5,task-wzw3,,39481688,k7zbohhu,11566066,,complete,buzgvb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723248439342,10/08/2024 00:07:19,1723234039342,-4,09/08/2024 16:07:19,183710,5,task-wzw3,,39481688,k7zbohhu,11566066,,complete,buzgvb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,909297.9,909297.9,909297.9,909297.9,909297.9,909297.9,1,909297.9,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723249184186,10/08/2024 00:19:44,1723234784186,-4,09/08/2024 16:19:44,183710,5,task-wzw3,,39481688,k7zbohhu,11566066,,complete,buzgvb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,744823.4999999999,744823.4999999999,744823.4999999999,744823.4999999999,744823.4999999999,744823.4999999999,1,744823.4999999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1723249186588,10/08/2024 00:19:46,1723234786588,-4,09/08/2024 16:19:46,183710,5,task-wzw3,,39481688,k7zbohhu,11566066,,complete,buzgvb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,6589,1582.7000000001863,2399.9000000001397,2399.9000000001397,1582.7000000001863,2399.9000000001397,2399.9000000001397,1,1582.7000000001863,817.1999999999534,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1723249186589,10/08/2024 00:19:46,1723234786589,-4,09/08/2024 16:19:46,183710,5,task-wzw3,,39481688,k7zbohhu,11566066,,complete,buzgvb,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723248624511,10/08/2024 00:10:24,1723234224511,-4,09/08/2024 16:10:24,183710,5,task-wzw3,,39481716,ts7n1i9a,11566081,,complete,gvzwcz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,2048x972,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723248637683,10/08/2024 00:10:37,1723234237683,-4,09/08/2024 16:10:37,183710,5,task-wzw3,,39481716,ts7n1i9a,11566081,,complete,gvzwcz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,2048x972,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,13166.900000000023,13166.900000000023,13166.900000000023,13166.900000000023,13166.900000000023,13166.900000000023,1,13166.900000000023,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723249357182,10/08/2024 00:22:37,1723234957182,-4,09/08/2024 16:22:37,183710,5,task-wzw3,,39481716,ts7n1i9a,11566081,,complete,gvzwcz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,2048x972,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,719503.4,719503.4,719503.4,719503.4,719503.4,719503.4,1,719503.4,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1723249362796,10/08/2024 00:22:42,1723234962796,-4,09/08/2024 16:22:42,183710,5,task-wzw3,,39481716,ts7n1i9a,11566081,,complete,gvzwcz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,2048x972,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7375,2766.5,5600.100000000093,5600.100000000093,2766.5,5600.100000000093,5600.100000000093,1,2766.5,2833.600000000093,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1723249362798,10/08/2024 00:22:42,1723234962798,-4,09/08/2024 16:22:42,183710,5,task-wzw3,,39481716,ts7n1i9a,11566081,,complete,gvzwcz,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,2048x972,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723248869750,10/08/2024 00:14:29,1723223669750,-7,09/08/2024 10:14:29,183710,5,task-wzw3,,39481737,mje9v2yp,11566084,,complete,qfaziz,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,2880x1620,1818x1143,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723248871813,10/08/2024 00:14:31,1723223671813,-7,09/08/2024 10:14:31,183710,5,task-wzw3,,39481737,mje9v2yp,11566084,,complete,qfaziz,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,2880x1620,1818x1143,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,779475.54,779475.54,779475.54,779475.54,779475.54,779475.54,1,779475.54,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723249771817,10/08/2024 00:29:31,1723224571817,-7,09/08/2024 10:29:31,183710,5,task-wzw3,,39481737,mje9v2yp,11566084,,complete,qfaziz,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,2880x1620,1818x1143,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,timedOut,,900008.46,900008.2,900008.46,900008.46,900008.2,900008.46,1,900008.46,0,0,,Time Limit,screen,0,screen,chat2,
4,1723249803022,10/08/2024 00:30:03,1723224603022,-7,09/08/2024 10:30:03,183710,5,task-wzw3,,39481737,mje9v2yp,11566084,,complete,qfaziz,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,2880x1620,1818x1143,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,no code??,28266.38000000012,31199.679999999935,31199.679999999935,28266.38000000012,31199.679999999935,31199.679999999935,1,28266.38000000012,2933.2999999998137,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1723249803024,10/08/2024 00:30:03,1723224603024,-7,09/08/2024 10:30:03,183710,5,task-wzw3,,39481737,mje9v2yp,11566084,,complete,qfaziz,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,2880x1620,1818x1143,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723249338436,10/08/2024 00:22:18,1723231338436,-5,09/08/2024 14:22:18,183710,5,task-wzw3,,39481785,1ziuuhag,11566088,,complete,tmdvos,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1024x820,1138x724,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723249342437,10/08/2024 00:22:22,1723231342437,-5,09/08/2024 14:22:22,183710,5,task-wzw3,,39481785,1ziuuhag,11566088,,complete,tmdvos,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1024x820,1138x724,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,4002.9000000000233,4002.9000000000233,4002.9000000000233,4002.9000000000233,4002.9000000000233,4002.9000000000233,1,4002.9000000000233,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723250242444,10/08/2024 00:37:22,1723232242444,-5,09/08/2024 14:37:22,183710,5,task-wzw3,,39481785,1ziuuhag,11566088,,complete,tmdvos,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1024x820,1280x814,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,timedOut,,900003.7999999821,900000.8999999999,900003.7999999821,900003.7999999821,900000.8999999999,900003.7999999821,1,900003.7999999821,0,0,,Time Limit,screen,0,screen,chat2,
4,1723250249880,10/08/2024 00:37:29,1723232249880,-5,09/08/2024 14:37:29,183710,5,task-wzw3,,39481785,1ziuuhag,11566088,,complete,tmdvos,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1024x820,1280x814,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response, 0000,283.20000000018626,7421.600000000093,7421.600000000093,283.20000000018626,7421.600000000093,7421.600000000093,1,283.20000000018626,7138.399999999907,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1723250249881,10/08/2024 00:37:29,1723232249881,-5,09/08/2024 14:37:29,183710,5,task-wzw3,,39481785,1ziuuhag,11566088,,complete,tmdvos,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1024x820,1280x814,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723251576675,10/08/2024 00:59:36,1723226376675,-7,09/08/2024 10:59:36,183710,5,task-wzw3,,39481948,fzbp2qc3,11566140,,complete,hxsule,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723251581505,10/08/2024 00:59:41,1723226381505,-7,09/08/2024 10:59:41,183710,5,task-wzw3,,39481948,fzbp2qc3,11566140,,complete,hxsule,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,24918.8,24918.8,24918.8,24918.8,24918.8,24918.8,1,24918.8,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1723252481519,10/08/2024 01:14:41,1723227281519,-7,09/08/2024 11:14:41,183710,5,task-wzw3,,39481948,fzbp2qc3,11566140,,complete,hxsule,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,timedOut,,899998.3000000089,899994.3999999999,899998.3000000089,899998.3000000089,899994.3999999999,899998.3000000089,1,899998.3000000089,0,0,,Time Limit,screen,0,screen,chat2,
