Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1725292540202,02/09/2024 15:55:40,1725270940202,-6,02/09/2024 03:55:40,183710,6,questionnaire-7y3d,,39842879,twk18jvh,11652569,,complete,kdasur,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 127.0.0.0,1706x959,1706x791,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725292544283,02/09/2024 15:55:44,1725270944283,-6,02/09/2024 03:55:44,183710,6,questionnaire-7y3d,,39842879,twk18jvh,11652569,,complete,kdasur,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 127.0.0.0,1706x959,1706x791,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725551400368,05/09/2024 15:50:00,1725537000368,-4,05/09/2024 07:50:00,183710,6,questionnaire-7y3d,,39900420,r1a04brf,11666462,,complete,fnbpgf,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,1343x755,1343x575,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725551419248,05/09/2024 15:50:19,1725537019248,-4,05/09/2024 07:50:19,183710,6,questionnaire-7y3d,,39900420,r1a04brf,11666462,,complete,fnbpgf,,computer,Desktop or Laptop,Windows 10,Firefox 129.0,1343x755,1343x575,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725588270352,06/09/2024 02:04:30,1725573870352,-4,05/09/2024 18:04:30,183710,6,questionnaire-7y3d,,39910430,0pq2afvq,11668279,,complete,fgwydk,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x864,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725588290150,06/09/2024 02:04:50,1725573890150,-4,05/09/2024 18:04:50,183710,6,questionnaire-7y3d,,39910430,0pq2afvq,11668279,,complete,fgwydk,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x864,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725591959427,06/09/2024 03:05:59,1725566759427,-7,05/09/2024 13:05:59,183710,6,questionnaire-7y3d,,39910790,d79kg56j,11668368,,complete,vipyyh,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1470x956,1440x551,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725591968990,06/09/2024 03:06:08,1725566768990,-7,05/09/2024 13:06:08,183710,6,questionnaire-7y3d,,39910790,d79kg56j,11668368,,complete,vipyyh,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1470x956,1440x551,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725747564293,07/09/2024 22:19:24,1725733164293,-4,07/09/2024 14:19:24,183710,6,questionnaire-7y3d,,39941534,3ccd518o,11675287,,complete,drkrgx,,computer,Desktop or Laptop,Linux x86_64,Chrome 120.0.0.0,1024x768,1137x767,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725747592610,07/09/2024 22:19:52,1725733192610,-4,07/09/2024 14:19:52,183710,6,questionnaire-7y3d,,39941534,3ccd518o,11675287,,complete,drkrgx,,computer,Desktop or Laptop,Linux x86_64,Chrome 120.0.0.0,1024x768,1137x767,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1729604946068,22/10/2024 13:49:06,1729586946068,-5,22/10/2024 03:49:06,183710,6,questionnaire-7y3d,,40828135,mlvuiq7u,11913392,,complete,vrrsja,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x991,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1729604969843,22/10/2024 13:49:29,1729586969843,-5,22/10/2024 03:49:29,183710,6,questionnaire-7y3d,,40828135,mlvuiq7u,11913392,,complete,vrrsja,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x991,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,23741,,,,
1,1729608572592,22/10/2024 14:49:32,1729590572592,-5,22/10/2024 04:49:32,183710,6,questionnaire-7y3d,,40830351,jer8zvlm,11914120,,complete,xcpemo,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1729608578860,22/10/2024 14:49:38,1729590578860,-5,22/10/2024 04:49:38,183710,6,questionnaire-7y3d,,40830351,jer8zvlm,11914120,,complete,xcpemo,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,6264,,,,
1,1725727241046,07/09/2024 16:40:41,1725702041046,-7,07/09/2024 02:40:41,183710,6,questionnaire-7y3d,,39938669,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725727263815,07/09/2024 16:41:03,1725702063815,-7,07/09/2024 02:41:03,183710,6,questionnaire-7y3d,,39938669,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725726901619,07/09/2024 16:35:01,1725712501619,-4,07/09/2024 08:35:01,183710,6,questionnaire-7y3d,,39938591,4bdnjmag,11674611,,complete,xlranf,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1707x811,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725726912475,07/09/2024 16:35:12,1725712512475,-4,07/09/2024 08:35:12,183710,6,questionnaire-7y3d,,39938591,4bdnjmag,11674611,,complete,xlranf,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1707x811,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725656465254,06/09/2024 21:01:05,1725638465254,-5,06/09/2024 11:01:05,183710,6,questionnaire-7y3d,,39929319,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725656468190,06/09/2024 21:01:08,1725638468190,-5,06/09/2024 11:01:08,183710,6,questionnaire-7y3d,,39929319,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725639940056,06/09/2024 16:25:40,1725625540056,-4,06/09/2024 08:25:40,183710,6,questionnaire-7y3d,,39925484,xv0fwlsq,11671818,,complete,ehniil,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,384x857,980x1738,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725639943127,06/09/2024 16:25:43,1725625543127,-4,06/09/2024 08:25:43,183710,6,questionnaire-7y3d,,39925484,xv0fwlsq,11671818,,complete,ehniil,,computer,Desktop or Laptop,Linux x86_64,Chrome 128.0.0.0,384x857,980x1738,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725638869705,06/09/2024 16:07:49,1725624469705,-4,06/09/2024 08:07:49,183710,6,questionnaire-7y3d,,39925228,okvzxand,11671697,,complete,zvobxl,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725638881264,06/09/2024 16:08:01,1725624481264,-4,06/09/2024 08:08:01,183710,6,questionnaire-7y3d,,39925228,okvzxand,11671697,,complete,zvobxl,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725637862522,06/09/2024 15:51:02,1725619862522,-5,06/09/2024 05:51:02,183710,6,questionnaire-7y3d,,39924880,6qe9kijy,11671634,,complete,lvfdrx,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1280x1024,1272x908,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725637866163,06/09/2024 15:51:06,1725619866163,-5,06/09/2024 05:51:06,183710,6,questionnaire-7y3d,,39924880,6qe9kijy,11671634,,complete,lvfdrx,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1280x1024,1272x908,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725585575371,06/09/2024 01:19:35,1725571175371,-4,05/09/2024 17:19:35,183710,6,questionnaire-7y3d,,39910220,cia3k70y,11668218,,complete,ttzyas,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725585581174,06/09/2024 01:19:41,1725571181174,-4,05/09/2024 17:19:41,183710,6,questionnaire-7y3d,,39910220,cia3k70y,11668218,,complete,ttzyas,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725576931574,05/09/2024 22:55:31,1725551731574,-7,05/09/2024 08:55:31,183710,6,questionnaire-7y3d,,39909199,rexnijbj,11668041,,complete,jjsgso,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1725576935148,05/09/2024 22:55:35,1725551735148,-7,05/09/2024 08:55:35,183710,6,questionnaire-7y3d,,39909199,rexnijbj,11668041,,complete,jjsgso,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,,,,,
1,1725575500535,05/09/2024 22:31:40,1725561100535,-4,05/09/2024 14:31:40,183710,6,questionnaire-7y3d,,39909085,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1439x798,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1725575558719,05/09/2024 22:32:38,1725561158719,-4,05/09/2024 14:32:38,183710,6,questionnaire-7y3d,,39909085,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1439x798,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,,,,,
1,1725574230903,05/09/2024 22:10:30,1725556230903,-5,05/09/2024 12:10:30,183710,6,questionnaire-7y3d,,39908928,zk6q28r0,11667966,,complete,swftxo,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1280x814,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
