Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1725311423146,02/09/2024 21:10:23,1725311422877,-5,02/09/2024 16:10:22,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1280x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,BEGIN QUESTIONNAIRE,
2,1725311510888,02/09/2024 21:11:50,1725311510680,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-1,Disagree a little
3,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-1-quantised,2
4,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-2,Disagree a little
5,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-2-quantised,2
6,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-3,Agree a little
7,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-3-quantised,4
8,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-4,Disagree strongly
9,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-4-quantised,1
10,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-5,Agree a little
11,1725311511078,02/09/2024 21:11:51,1725311510681,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-5-quantised,4
12,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-6,Agree a little
13,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-6-quantised,4
14,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-7,Agree strongly
15,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-7-quantised,5
16,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-8,Disagree strongly
17,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-8-quantised,1
18,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-9,Neither agree nor disagree
19,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-9-quantised,3
20,1725311511078,02/09/2024 21:11:51,1725311510682,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-10,Agree strongly
21,1725311511078,02/09/2024 21:11:51,1725311510683,-5,02/09/2024 16:11:50,183710,6,questionnaire-cq39,,39847604,rsh6op56,11653598,,complete,afbbwm,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x820,1259x814,,,,BFI44,3,B_2AlexInt_1PatExt,No,response-10-quantised,5
