Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1725575182006,05/09/2024 22:26:22,1725575181899,-4,05/09/2024 18:26:21,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1439x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,BEGIN QUESTIONNAIRE,
2,1725575375517,05/09/2024 22:29:35,1725575374826,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,similar-alex,Agree
3,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,similar-alex-quantised,4
4,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,similar-pat,Neutral
5,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,similar-pat-quantised,3
6,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,enjoy-alex,Agree
7,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,enjoy-alex-quantised,4
8,1725575375890,05/09/2024 22:29:35,1725575374828,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,enjoy-pat,Agree
9,1725575375890,05/09/2024 22:29:35,1725575374829,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,enjoy-pat-quantised,4
10,1725575375890,05/09/2024 22:29:35,1725575374829,-4,05/09/2024 18:29:34,183710,6,questionnaire-wcll,,39909062,zlsqe3pr,11668005,,complete,uwqkhy,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1920x1080,1424x798,,,,Overall Bot Questionnaire: Alex then Pat,1,B_2AlexInt_1PatExt,No,distant-alex,Disagree
