Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1725281125083,02/09/2024 12:45:25,1725266725083,-4,02/09/2024 04:45:25,183710,6,task-71pp,,39836782,yoy84cyu,11651466,,complete,ngseez,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x679,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725281127250,02/09/2024 12:45:27,1725266727250,-4,02/09/2024 04:45:27,183710,6,task-71pp,,39836782,yoy84cyu,11651466,,complete,ngseez,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x679,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2164.7999999999993,2164.7999999999993,2164.7999999999993,2164.7999999999993,2164.7999999999993,2164.7999999999993,1,2164.7999999999993,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1725281853360,02/09/2024 12:57:33,1725267453360,-4,02/09/2024 04:57:33,183710,6,task-71pp,,39836782,yoy84cyu,11651466,,complete,ngseez,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x679,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,726090.7000000001,726090.7000000001,726090.7000000001,726090.7000000001,726090.7000000001,726090.7000000001,1,726090.7000000001,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1725281855957,02/09/2024 12:57:35,1725267455957,-4,02/09/2024 04:57:35,183710,6,task-71pp,,39836782,yoy84cyu,11651466,,complete,ngseez,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x679,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7389,1581.5,2614.1999999999534,2614.1999999999534,1581.5,2614.1999999999534,2614.1999999999534,1,1581.5,1032.6999999999534,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1725281855961,02/09/2024 12:57:35,1725267455961,-4,02/09/2024 04:57:35,183710,6,task-71pp,,39836782,yoy84cyu,11651466,,complete,ngseez,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x679,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1725292132930,02/09/2024 15:48:52,1725277732930,-4,02/09/2024 07:48:52,183710,6,task-71pp,,39842655,kr263rj6,11652702,,complete,pmpitt,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725292135283,02/09/2024 15:48:55,1725277735283,-4,02/09/2024 07:48:55,183710,6,task-71pp,,39842655,kr263rj6,11652702,,complete,pmpitt,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1280x720,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,23951,23951,23951,23951,23951,23951,1,23951,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1725292976017,02/09/2024 16:02:56,1725278576017,-4,02/09/2024 08:02:56,183710,6,task-71pp,,39842655,kr263rj6,11652702,,complete,pmpitt,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1422x800,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,840718.6,840718.6,840718.6,840718.6,840718.6,840718.6,1,840718.6,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1725292979222,02/09/2024 16:02:59,1725278579222,-4,02/09/2024 08:02:59,183710,6,task-71pp,,39842655,kr263rj6,11652702,,complete,pmpitt,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1422x800,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,4906,1900.5999999999767,3217.70000000007,3217.70000000007,1900.5999999999767,3217.70000000007,3217.70000000007,1,1900.5999999999767,1317.1000000000931,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1725292979223,02/09/2024 16:02:59,1725278579223,-4,02/09/2024 08:02:59,183710,6,task-71pp,,39842655,kr263rj6,11652702,,complete,pmpitt,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,1422x800,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
