Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1725279188408,02/09/2024 12:13:08,1725264788408,-4,02/09/2024 04:13:08,183710,6,task-xsqk,,39835462,i1rct27q,11651220,,complete,uxtqpg,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1821x798,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725279191086,02/09/2024 12:13:11,1725264791086,-4,02/09/2024 04:13:11,183710,6,task-xsqk,,39835462,i1rct27q,11651220,,complete,uxtqpg,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1821x798,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,18859.4,18859.4,18859.4,18859.4,18859.4,18859.4,1,18859.4,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1725279913476,02/09/2024 12:25:13,1725265513476,-4,02/09/2024 04:25:13,183710,6,task-xsqk,,39835462,i1rct27q,11651220,,complete,uxtqpg,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1821x798,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,722380.6,722380.6,722380.6,722380.6,722380.6,722380.6,1,722380.6,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1725279916388,02/09/2024 12:25:16,1725265516388,-4,02/09/2024 04:25:16,183710,6,task-xsqk,,39835462,i1rct27q,11651220,,complete,uxtqpg,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1821x798,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3369,2214.5999999999767,2914,2914,2214.5999999999767,2914,2914,1,2214.5999999999767,699.4000000000233,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1725279916389,02/09/2024 12:25:16,1725265516389,-4,02/09/2024 04:25:16,183710,6,task-xsqk,,39835462,i1rct27q,11651220,,complete,uxtqpg,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1821x798,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1725284594346,02/09/2024 13:43:14,1725259394346,-7,01/09/2024 23:43:14,183710,6,task-xsqk,,39838780,xlcm02wm,11651689,,complete,tkqodp,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725284622735,02/09/2024 13:43:42,1725259422735,-7,01/09/2024 23:43:42,183710,6,task-xsqk,,39838780,xlcm02wm,11651689,,complete,tkqodp,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x707,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,28364,28364,28364,28364,28364,28364,1,28364,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1725285522699,02/09/2024 13:58:42,1725260322699,-7,01/09/2024 23:58:42,183710,6,task-xsqk,,39838780,xlcm02wm,11651689,,complete,tkqodp,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x299,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,900015.0000000001,900010,900015.0000000001,900015.0000000001,900010,900015.0000000001,1,900015.0000000001,0,0,,Time Limit,screen,0,screen,chat1,
4,1725285550638,02/09/2024 13:59:10,1725260350638,-7,01/09/2024 23:59:10,183710,6,task-xsqk,,39838780,xlcm02wm,11651689,,complete,tkqodp,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x504,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6294,128,27931,27931,128,27931,27931,1,128,27803,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1725285550653,02/09/2024 13:59:10,1725260350653,-7,01/09/2024 23:59:10,183710,6,task-xsqk,,39838780,xlcm02wm,11651689,,complete,tkqodp,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,810x1080,1080x504,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1725538336854,05/09/2024 12:12:16,1725523936854,-4,05/09/2024 04:12:16,183710,6,task-xsqk,,39895281,6zh6dfro,11665444,,complete,onmqio,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x960,1536x791,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
