Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1729782128261,24/10/2024 15:02:08,1729767728261,-4,24/10/2024 07:02:08,183710,7,questionnaire-7y3d,,40890415,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729782133910,24/10/2024 15:02:13,1729767733910,-4,24/10/2024 07:02:13,183710,7,questionnaire-7y3d,,40890415,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,5634,,,,
1,1729782506810,24/10/2024 15:08:26,1729768106810,-4,24/10/2024 07:08:26,183710,7,questionnaire-7y3d,,40890607,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1708x960,1707x803,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729782512897,24/10/2024 15:08:32,1729768112897,-4,24/10/2024 07:08:32,183710,7,questionnaire-7y3d,,40890607,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1708x960,1707x803,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,6081,,,,
1,1729783983620,24/10/2024 15:33:03,1729769583620,-4,24/10/2024 07:33:03,183710,7,questionnaire-7y3d,,40891419,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729783990157,24/10/2024 15:33:10,1729769590157,-4,24/10/2024 07:33:10,183710,7,questionnaire-7y3d,,40891419,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,6532,,,,
1,1729785840214,24/10/2024 16:04:00,1729760640214,-7,24/10/2024 02:04:00,183710,7,questionnaire-7y3d,,40892308,lhvxggcx,11932375,,complete,chosgo,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1542x811,1536x806,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729785843695,24/10/2024 16:04:03,1729760643695,-7,24/10/2024 02:04:03,183710,7,questionnaire-7y3d,,40892308,lhvxggcx,11932375,,complete,chosgo,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1542x811,1536x806,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,3469,,,,
1,1729785879679,24/10/2024 16:04:39,1729767879679,-5,24/10/2024 06:04:39,183710,7,questionnaire-7y3d,,40892324,d9d5uv49,11932374,,complete,jrgfxb,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729785886646,24/10/2024 16:04:46,1729767886646,-5,24/10/2024 06:04:46,183710,7,questionnaire-7y3d,,40892324,d9d5uv49,11932374,,complete,jrgfxb,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,6950,,,,
1,1729785943294,24/10/2024 16:05:43,1729760743294,-7,24/10/2024 02:05:43,183710,7,questionnaire-7y3d,,40892355,0okugcap,11932406,,complete,eosydd,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1873x909,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729785946552,24/10/2024 16:05:46,1729760746552,-7,24/10/2024 02:05:46,183710,7,questionnaire-7y3d,,40892355,0okugcap,11932406,,complete,eosydd,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1873x909,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,3248,,,,
1,1729786316826,24/10/2024 16:11:56,1729771916826,-4,24/10/2024 08:11:56,183710,7,questionnaire-7y3d,,40892568,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729786322618,24/10/2024 16:12:02,1729771922618,-4,24/10/2024 08:12:02,183710,7,questionnaire-7y3d,,40892568,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,5780,,,,
1,1729786322909,24/10/2024 16:12:02,1729771922909,-4,24/10/2024 08:12:02,183710,7,questionnaire-7y3d,,40892569,yma9bk1n,11932489,,complete,ownsmx,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1200,1920x1073,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729786334314,24/10/2024 16:12:14,1729771934314,-4,24/10/2024 08:12:14,183710,7,questionnaire-7y3d,,40892569,yma9bk1n,11932489,,complete,ownsmx,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1200,1920x1073,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,11391,,,,
1,1729787425553,24/10/2024 16:30:25,1729769425553,-5,24/10/2024 06:30:25,183710,7,questionnaire-7y3d,,40893159,dftetr0c,11932694,,complete,ufodyb,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x632,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729787433275,24/10/2024 16:30:33,1729769433275,-5,24/10/2024 06:30:33,183710,7,questionnaire-7y3d,,40893159,dftetr0c,11932694,,complete,ufodyb,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x632,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,7704,,,,
1,1729802955492,24/10/2024 20:49:15,1729777755492,-7,24/10/2024 06:49:15,183710,7,questionnaire-7y3d,,40898397,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1772x765,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729802958234,24/10/2024 20:49:18,1729777758234,-7,24/10/2024 06:49:18,183710,7,questionnaire-7y3d,,40898397,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1772x765,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,2732,,,,
1,1729803382304,24/10/2024 20:56:22,1729778182304,-7,24/10/2024 06:56:22,183710,7,questionnaire-7y3d,,40898561,6w5shiti,11934547,,complete,hhqyzc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x929,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729803385608,24/10/2024 20:56:25,1729778185608,-7,24/10/2024 06:56:25,183710,7,questionnaire-7y3d,,40898561,6w5shiti,11934547,,complete,hhqyzc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x929,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,3298,,,,
1,1729803607967,24/10/2024 21:00:07,1729778407967,-7,24/10/2024 07:00:07,183710,7,questionnaire-7y3d,,40898674,z4sxysmx,11934574,,complete,ynbvzg,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1600x900,1600x739,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729803613601,24/10/2024 21:00:13,1729778413601,-7,24/10/2024 07:00:13,183710,7,questionnaire-7y3d,,40898674,z4sxysmx,11934574,,complete,ynbvzg,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1600x900,1600x739,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,5621,,,,
1,1729804137977,24/10/2024 21:08:57,1729789737977,-4,24/10/2024 13:08:57,183710,7,questionnaire-7y3d,,40898887,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729804149845,24/10/2024 21:09:09,1729789749845,-4,24/10/2024 13:09:09,183710,7,questionnaire-7y3d,,40898887,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,11859,,,,
1,1729808966385,24/10/2024 22:29:26,1729787366385,-6,24/10/2024 10:29:26,183710,7,questionnaire-7y3d,,40901201,m6ntsj6e,11935138,,complete,ueowhy,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1858x959,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729808969252,24/10/2024 22:29:29,1729787369252,-6,24/10/2024 10:29:29,183710,7,questionnaire-7y3d,,40901201,m6ntsj6e,11935138,,complete,ueowhy,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1858x959,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,2848,,,,
1,1729814870163,25/10/2024 00:07:50,1729789670163,-7,24/10/2024 10:07:50,183710,7,questionnaire-7y3d,,40902809,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729814873208,25/10/2024 00:07:53,1729789673208,-7,24/10/2024 10:07:53,183710,7,questionnaire-7y3d,,40902809,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,3037,,,,
1,1729818948520,25/10/2024 01:15:48,1729793748520,-7,24/10/2024 11:15:48,183710,7,questionnaire-7y3d,,40903783,4oo2qfsi,11935789,,complete,pmrucf,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1536x762,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1729818994651,25/10/2024 01:16:34,1729793794651,-7,24/10/2024 11:16:34,183710,7,questionnaire-7y3d,,40903783,4oo2qfsi,11935789,,complete,pmrucf,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1536x762,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,46121,,,,
1,1729844922050,25/10/2024 08:28:42,1729826922050,-5,24/10/2024 22:28:42,183710,7,questionnaire-7y3d,,40907053,ei66b798,11936703,,complete,jvpsxz,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x695,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729844952755,25/10/2024 08:29:12,1729826952755,-5,24/10/2024 22:29:12,183710,7,questionnaire-7y3d,,40907053,ei66b798,11936703,,complete,jvpsxz,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x695,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,30673,,,,
1,1729880002932,25/10/2024 18:13:22,1729865602932,-4,25/10/2024 10:13:22,183710,7,questionnaire-7y3d,,40920003,hea2dnlv,11940898,,complete,cdmtbz,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1730x973,1731x809,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729880008457,25/10/2024 18:13:28,1729865608457,-4,25/10/2024 10:13:28,183710,7,questionnaire-7y3d,,40920003,hea2dnlv,11940898,,complete,cdmtbz,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1730x973,1731x809,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,5505,,,,
1,1729891959541,25/10/2024 21:32:39,1729873959541,-5,25/10/2024 11:32:39,183710,7,questionnaire-7y3d,,40921965,izovnjwf,11941590,,complete,ejjfqr,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x730,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1729891972932,25/10/2024 21:32:52,1729873972932,-5,25/10/2024 11:32:52,183710,7,questionnaire-7y3d,,40921965,izovnjwf,11941590,,complete,ejjfqr,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x730,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,13380,,,,
1,1732801167280,28/11/2024 13:39:27,1732783167280,-5,28/11/2024 03:39:27,183710,7,questionnaire-7y3d,,41673840,v06yehvd,12164951,,complete,yhnlsa,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,961x600,1201x640,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1732801198941,28/11/2024 13:39:58,1732783198941,-5,28/11/2024 03:39:58,183710,7,questionnaire-7y3d,,41673840,v06yehvd,12164951,,complete,yhnlsa,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,961x600,1201x640,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,31649,,,,
1,1732801368008,28/11/2024 13:42:48,1732779768008,-6,28/11/2024 01:42:48,183710,7,questionnaire-7y3d,,41673913,vko7lgh4,12165018,,complete,mxlpjk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1680x1050,1103x860,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1732801379288,28/11/2024 13:42:59,1732779779288,-6,28/11/2024 01:42:59,183710,7,questionnaire-7y3d,,41673913,vko7lgh4,12165018,,complete,mxlpjk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1680x1050,1103x860,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,11270,,,,
1,1732802183079,28/11/2024 13:56:23,1732784183079,-5,28/11/2024 03:56:23,183710,7,questionnaire-7y3d,,41674285,wfehzef1,12165240,,complete,iyidea,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1536x864,1536x711,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1732802200024,28/11/2024 13:56:40,1732784200024,-5,28/11/2024 03:56:40,183710,7,questionnaire-7y3d,,41674285,wfehzef1,12165240,,complete,iyidea,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1536x864,1536x711,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,16930,,,,
1,1732802326839,28/11/2024 13:58:46,1732780726839,-6,28/11/2024 01:58:46,183710,7,questionnaire-7y3d,,41674357,d0e6ytqa,12165229,,complete,btwmrm,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1536x864,1536x778,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1732802330653,28/11/2024 13:58:50,1732780730653,-6,28/11/2024 01:58:50,183710,7,questionnaire-7y3d,,41674357,d0e6ytqa,12165229,,complete,btwmrm,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1536x864,1536x778,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,3797,,,,
1,1732804838775,28/11/2024 14:40:38,1732786838775,-5,28/11/2024 04:40:38,183710,7,questionnaire-7y3d,,41675462,jotv7q9t,12165817,,complete,pvinem,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1280x1024,1280x871,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1732804846035,28/11/2024 14:40:46,1732786846035,-5,28/11/2024 04:40:46,183710,7,questionnaire-7y3d,,41675462,jotv7q9t,12165817,,complete,pvinem,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1280x1024,1280x871,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,7238,,,,
1,1732806425673,28/11/2024 15:07:05,1732788425673,-5,28/11/2024 05:07:05,183710,7,questionnaire-7y3d,,41676114,8d94j4g3,12165931,,complete,qvivyy,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x960,1536x791,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1732806430528,28/11/2024 15:07:10,1732788430528,-5,28/11/2024 05:07:10,183710,7,questionnaire-7y3d,,41676114,8d94j4g3,12165931,,complete,qvivyy,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x960,1536x791,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,4834,,,,
1,1733310150932,04/12/2024 11:02:30,1733310150932,0,04/12/2024 11:02:30,183710,7,questionnaire-7y3d,,41791671,npnhivy3,12207478,,complete,umhqoe,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1512x982,1419x745,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,BEGIN,,,,,
2,1733310155997,04/12/2024 11:02:35,1733310155997,0,04/12/2024 11:02:35,183710,7,questionnaire-7y3d,,41791671,npnhivy3,12207478,,complete,umhqoe,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1512x982,1419x745,,,0,Debrief,1,A_1AlexExt_2PatInt,,,,,info,,END,5053,,,,
1,1732808043696,28/11/2024 15:34:03,1732790043696,-5,28/11/2024 05:34:03,183710,7,questionnaire-7y3d,,41676773,9sri00ji,12166182,,complete,dfmxhf,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1616x909,1616x692,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
2,1732808066468,28/11/2024 15:34:26,1732790066468,-5,28/11/2024 05:34:26,183710,7,questionnaire-7y3d,,41676773,9sri00ji,12166182,,complete,dfmxhf,,computer,Desktop or Laptop,Windows 10,Firefox 132.0,1616x909,1616x692,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,END,22737,,,,
1,1732801868390,28/11/2024 13:51:08,1732783868390,-5,28/11/2024 03:51:08,183710,7,questionnaire-7y3d,,41674140,t1hao49u,12165146,,complete,hepxtn,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrief,1,A_2PatInt_1AlexExt,,,,,info,,BEGIN,,,,,
