Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1729814690725,25/10/2024 00:04:50,1729814690320,-7,24/10/2024 17:04:50,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,BEGIN QUESTIONNAIRE,
2,1729814864083,25/10/2024 00:07:44,1729814863719,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-1,Agree strongly
3,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-1-quantised,5
4,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-2,Neither agree nor disagree
5,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-2-quantised,3
6,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-3,Agree a little
7,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-3-quantised,4
8,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-4,Neither agree nor disagree
9,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-4-quantised,3
10,1729814864417,25/10/2024 00:07:44,1729814863720,-7,24/10/2024 17:07:43,183710,7,questionnaire-cq39,,40902763,i49xum0r,11935599,,complete,plgnqk,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,BFI44,3,A_1AlexExt_2PatInt,No,response-5,Disagree a little
