Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1729781870085,24/10/2024 14:57:50,1729781867485,-4,24/10/2024 10:57:47,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,BEGIN QUESTIONNAIRE,
2,1729782005072,24/10/2024 15:00:05,1729782002514,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,similar-pat,Neutral
3,1729782005353,24/10/2024 15:00:05,1729782002515,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,similar-pat-quantised,3
4,1729782005353,24/10/2024 15:00:05,1729782002515,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,similar-alex,Disagree
5,1729782005353,24/10/2024 15:00:05,1729782002515,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,similar-alex-quantised,2
6,1729782005353,24/10/2024 15:00:05,1729782002516,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,enjoy-pat,Neutral
7,1729782005353,24/10/2024 15:00:05,1729782002516,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,enjoy-pat-quantised,3
8,1729782005353,24/10/2024 15:00:05,1729782002516,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,enjoy-alex,Agree
9,1729782005353,24/10/2024 15:00:05,1729782002516,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,enjoy-alex-quantised,4
10,1729782005353,24/10/2024 15:00:05,1729782002516,-4,24/10/2024 11:00:02,183710,7,questionnaire-eupm,,40890288,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1583x737,,,,Overall Bot Questionnaire: Pat then Alex,1,A_2PatInt_1AlexExt,No,distant-pat,Neutral
