Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1729783758053,24/10/2024 15:29:18,1729783756916,-4,24/10/2024 11:29:16,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,BEGIN QUESTIONNAIRE,
2,1729783852616,24/10/2024 15:30:52,1729783851539,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-alex,Disagree
3,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-alex-quantised,2
4,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-pat,Strongly Agree
5,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-pat-quantised,5
6,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-alex,Strongly Disagree
7,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-alex-quantised,1
8,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-pat,Agree
9,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-pat-quantised,4
10,1729783852731,24/10/2024 15:30:52,1729783851540,-4,24/10/2024 11:30:51,183710,7,questionnaire-wcll,,40891308,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1903x911,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,distant-alex,Strongly Agree
