Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1729780320798,24/10/2024 14:32:00,1729765920798,-4,24/10/2024 06:32:00,183710,7,task-5xl3,,40889629,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729780359989,24/10/2024 14:32:39,1729765959989,-4,24/10/2024 06:32:39,183710,7,task-5xl3,,40889629,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,39214.93,39198.53,39214.93,39214.93,39198.53,39214.93,1,39214.93,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1729780359993,24/10/2024 14:32:39,1729765959993,-4,24/10/2024 06:32:39,183710,7,task-5xl3,,40889629,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,,,,,,info,END,,,39166,,,,0,,,,,,,,,,
1,1729780519858,24/10/2024 14:35:19,1729766119858,-4,24/10/2024 06:35:19,183710,7,task-5xl3,,40889725,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x643,,,0,Task (Counterbalance A),2,A_1AlexExt_2PatInt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729780578678,24/10/2024 14:36:18,1729766178678,-4,24/10/2024 06:36:18,183710,7,task-5xl3,,40889725,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x643,,,0,Task (Counterbalance A),2,A_1AlexExt_2PatInt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,58823.42,58806.799999999996,58823.42,58823.42,58806.799999999996,58823.42,1,58823.42,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1729780578680,24/10/2024 14:36:18,1729766178680,-4,24/10/2024 06:36:18,183710,7,task-5xl3,,40889725,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x643,,,0,Task (Counterbalance A),2,A_1AlexExt_2PatInt,intro,intro,,,,,,info,END,,,58815,,,,0,,,,,,,,,,
1,1729783944478,24/10/2024 15:32:24,1729765944478,-5,24/10/2024 05:32:24,183710,7,task-5xl3,,40891394,d9d5uv49,11932374,,complete,jrgfxb,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729783972636,24/10/2024 15:32:52,1729765972636,-5,24/10/2024 05:32:52,183710,7,task-5xl3,,40891394,d9d5uv49,11932374,,complete,jrgfxb,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,28163.7,28150.100000000002,28163.7,28163.7,28150.100000000002,28163.7,1,28163.7,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1729783972641,24/10/2024 15:32:52,1729765972641,-5,24/10/2024 05:32:52,183710,7,task-5xl3,,40891394,d9d5uv49,11932374,,complete,jrgfxb,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x919,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,,,,,,info,END,,,28147,,,,0,,,,,,,,,,
1,1729783954071,24/10/2024 15:32:34,1729758754071,-7,24/10/2024 01:32:34,183710,7,task-5xl3,,40891397,lhvxggcx,11932375,,complete,chosgo,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1542x811,1536x806,,,0,Task (Counterbalance A),2,A_2PatInt_1AlexExt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
