Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1729781115606,24/10/2024 14:45:15,1729766715606,-4,24/10/2024 06:45:15,183710,7,task-iehl,,40889990,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729781118959,24/10/2024 14:45:18,1729766718959,-4,24/10/2024 06:45:18,183710,7,task-iehl,,40889990,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,3363.8800000059605,3349.68,3363.8800000059605,3363.8800000059605,3349.68,3363.8800000059605,1,3363.8800000059605,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729781858150,24/10/2024 14:57:38,1729767458150,-4,24/10/2024 06:57:38,183710,7,task-iehl,,40889990,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,739205.4000000239,739190.7000000001,739205.4000000239,739205.4000000239,739190.7000000001,739205.4000000239,1,739205.4000000239,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1729781861873,24/10/2024 14:57:41,1729767461873,-4,24/10/2024 06:57:41,183710,7,task-iehl,,40889990,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,6866,2500.5,3733.4000000000233,3738.0999999999767,2500.5,3733.4000000000233,3738.0999999999767,1,2500.5,1237.5999999999767,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729781861874,24/10/2024 14:57:41,1729767461874,-4,24/10/2024 06:57:41,183710,7,task-iehl,,40889990,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,END,,,746245,,,,0,,,,,,,,,,
1,1729785270270,24/10/2024 15:54:30,1729770870270,-4,24/10/2024 07:54:30,183710,7,task-iehl,,40892076,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729785272328,24/10/2024 15:54:32,1729770872328,-4,24/10/2024 07:54:32,183710,7,task-iehl,,40892076,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2063.5,2049.7,2063.5,2063.5,2049.7,2063.5,1,2063.5,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729785997127,24/10/2024 16:06:37,1729771597127,-4,24/10/2024 08:06:37,183710,7,task-iehl,,40892076,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,724812.3999999643,724797.7000000001,724812.3999999643,724812.3999999643,724797.7000000001,724812.3999999643,1,724812.3999999643,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1729786004480,24/10/2024 16:06:44,1729771604480,-4,24/10/2024 08:06:44,183710,7,task-iehl,,40892076,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,9335,1849.7999999999302,7365.599999999977,7367.999999976135,1849.7999999999302,7365.599999999977,7367.999999976135,1,1849.7999999999302,5518.199999976205,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729786004481,24/10/2024 16:06:44,1729771604481,-4,24/10/2024 08:06:44,183710,7,task-iehl,,40892076,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,END,,,734198,,,,0,,,,,,,,,,
1,1729787020537,24/10/2024 16:23:40,1729769020537,-5,24/10/2024 06:23:40,183710,7,task-iehl,,40892965,3pzr3rh2,11932801,,complete,lelirx,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729787022950,24/10/2024 16:23:42,1729769022950,-5,24/10/2024 06:23:42,183710,7,task-iehl,,40892965,3pzr3rh2,11932801,,complete,lelirx,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2429.0359999046327,2416.0360000000005,2429.0359999046327,2429.0359999046327,2416.0360000000005,2429.0359999046327,1,2429.0359999046327,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729787922935,24/10/2024 16:38:42,1729769922935,-5,24/10/2024 06:38:42,183710,7,task-iehl,,40892965,3pzr3rh2,11932801,,complete,lelirx,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,899998.4999999047,899997.3,899998.4999999047,899998.4999999047,899997.3,899998.4999999047,1,899998.4999999047,0,0,,Time Limit,screen,0,screen,chat1,
4,1729787967682,24/10/2024 16:39:27,1729769967682,-5,24/10/2024 06:39:27,183710,7,task-iehl,,40892965,3pzr3rh2,11932801,,complete,lelirx,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,4960,40411.90000000002,44744.90000000002,44747.30000004766,40411.90000000002,44744.90000000002,44747.30000004766,1,40411.90000000002,4335.400000047637,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729787967685,24/10/2024 16:39:27,1729769967685,-5,24/10/2024 06:39:27,183710,7,task-iehl,,40892965,3pzr3rh2,11932801,,complete,lelirx,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1600x900,1600x739,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,END,,,947109,,,,0,,,,,,,,,,
1,1729801965252,24/10/2024 20:32:45,1729776765252,-7,24/10/2024 06:32:45,183710,7,task-iehl,,40898068,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1081x765,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729801978030,24/10/2024 20:32:58,1729776778030,-7,24/10/2024 06:32:58,183710,7,task-iehl,,40898068,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1081x765,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,16342.800000011921,16335,16342.800000011921,16342.800000011921,16335,16342.800000011921,1,16342.800000011921,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729802702274,24/10/2024 20:45:02,1729777502274,-7,24/10/2024 06:45:02,183710,7,task-iehl,,40898068,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1081x765,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,724253.1000000089,724239.9,724253.1000000089,724253.1000000089,724239.9,724253.1000000089,1,724253.1000000089,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1729802705410,24/10/2024 20:45:05,1729777505410,-7,24/10/2024 06:45:05,183710,7,task-iehl,,40898068,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1081x765,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,1159,1550.1999999999534,3133.0999999999767,3149.4000000118976,1550.1999999999534,3133.0999999999767,3149.4000000118976,1,1550.1999999999534,1599.2000000119442,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729802705411,24/10/2024 20:45:05,1729777505411,-7,24/10/2024 06:45:05,183710,7,task-iehl,,40898068,p9peib86,11934473,,complete,fsmjzq,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1081x765,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,END,,,740042,,,,0,,,,,,,,,,
1,1729802907281,24/10/2024 20:48:27,1729788507281,-4,24/10/2024 12:48:27,183710,7,task-iehl,,40898373,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729802912280,24/10/2024 20:48:32,1729788512280,-4,24/10/2024 12:48:32,183710,7,task-iehl,,40898373,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,5011.720000000745,4999.92,5011.720000000745,5011.720000000745,4999.92,5011.720000000745,1,5011.720000000745,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729803642714,24/10/2024 21:00:42,1729789242714,-4,24/10/2024 13:00:42,183710,7,task-iehl,,40898373,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,730445.6999999993,730439,730445.6999999993,730445.6999999993,730439,730445.6999999993,1,730445.6999999993,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1729803655629,24/10/2024 21:00:55,1729789255629,-4,24/10/2024 13:00:55,183710,7,task-iehl,,40898373,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,4791,7717,12917.5,12921.099999997765,7717,12917.5,12921.099999997765,1,7717,5204.099999997765,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729803655630,24/10/2024 21:00:55,1729789255630,-4,24/10/2024 13:00:55,183710,7,task-iehl,,40898373,xmua0t8v,11934591,,complete,ixpkzs,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1707x820,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat1,chat1,,,,,,info,END,,,748331,,,,0,,,,,,,,,,
