Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1729780365853,24/10/2024 14:32:45,1729765965853,-4,24/10/2024 06:32:45,183710,7,task-pman,,40889649,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729780370207,24/10/2024 14:32:50,1729765970207,-4,24/10/2024 06:32:50,183710,7,task-pman,,40889649,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,4370.237999999999,4366.438,4370.237999999999,4370.237999999999,4366.438,4370.237999999999,1,4370.237999999999,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1729781097530,24/10/2024 14:44:57,1729766697530,-4,24/10/2024 06:44:57,183710,7,task-pman,,40889649,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,727325.9999999881,727324.5,727325.9999999881,727325.9999999881,727324.5,727325.9999999881,1,727325.9999999881,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1729781107725,24/10/2024 14:45:07,1729766707725,-4,24/10/2024 06:45:07,183710,7,task-pman,,40889649,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,8141,6749.70000000007,10182.800000000047,10196.999999988126,6749.70000000007,10182.800000000047,10196.999999988126,1,6749.70000000007,3447.299999988056,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1729781107728,24/10/2024 14:45:07,1729766707728,-4,24/10/2024 06:45:07,183710,7,task-pman,,40889649,i9i4zq8x,11931829,,complete,ivfwsm,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1602x739,1600x737,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,,,,,,info,END,,,741847,,,,0,,,,,,,,,,
1,1729784519848,24/10/2024 15:41:59,1729770119848,-4,24/10/2024 07:41:59,183710,7,task-pman,,40891734,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729784521430,24/10/2024 15:42:01,1729770121430,-4,24/10/2024 07:42:01,183710,7,task-pman,,40891734,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,1588.5499999761582,1585.35,1588.5499999761582,1588.5499999761582,1585.35,1588.5499999761582,1,1588.5499999761582,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1729785256829,24/10/2024 15:54:16,1729770856829,-4,24/10/2024 07:54:16,183710,7,task-pman,,40891734,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,735401.600000012,735391.1000000001,735401.600000012,735401.600000012,735391.1000000001,735401.600000012,1,735401.600000012,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1729785261738,24/10/2024 15:54:21,1729770861738,-4,24/10/2024 07:54:21,183710,7,task-pman,,40891734,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,9527,2466.29999999993,4915.899999999907,4920.199999999953,2466.29999999993,4915.899999999907,4920.199999999953,1,2466.29999999993,2453.9000000000233,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1729785261739,24/10/2024 15:54:21,1729770861739,-4,24/10/2024 07:54:21,183710,7,task-pman,,40891734,xhe80z3q,11932513,,complete,iwfeho,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1440x900,1440x731,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,,,,,,info,END,,,741873,,,,0,,,,,,,,,,
1,1729785501713,24/10/2024 15:58:21,1729767501713,-5,24/10/2024 05:58:21,183710,7,task-pman,,40892173,dftetr0c,11932694,,complete,ufodyb,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 103.0.0.0,1280x800,1280x632,,,0,Task (Counterbalance A) (Exp2),8,A_2PatInt_1AlexExt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
