Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1729780583969,24/10/2024 14:36:23,1729766183969,-4,24/10/2024 06:36:23,183710,7,task-ufqh,,40889756,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x643,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729780585749,24/10/2024 14:36:25,1729766185749,-4,24/10/2024 06:36:25,183710,7,task-ufqh,,40889756,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1366x768,1366x643,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,1782.8400000000001,1767.2399999999998,1782.8400000000001,1782.8400000000001,1767.2399999999998,1782.8400000000001,1,1782.8400000000001,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729781485730,24/10/2024 14:51:25,1729767085730,-4,24/10/2024 06:51:25,183710,7,task-ufqh,,40889756,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1958x1101,1957x921,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,899996.6,899995.9199999999,899996.6,899996.6,899995.9199999999,899996.6,1,899996.6,0,0,,Time Limit,screen,0,screen,chat1,
4,1729781495099,24/10/2024 14:51:35,1729767095099,-4,24/10/2024 06:51:35,183710,7,task-ufqh,,40889756,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1958x1101,1957x921,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,3861,9255.540000000037,9355.600000000093,9369.680000000051,9255.540000000037,9355.600000000093,9369.680000000051,1,9255.540000000037,114.14000000001397,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729781495099,24/10/2024 14:51:35,1729767095099,-4,24/10/2024 06:51:35,183710,7,task-ufqh,,40889756,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1958x1101,1957x921,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,,,,,,info,END,,,911120,,,,0,,,,,,,,,,
1,1729782255359,24/10/2024 15:04:15,1729767855359,-4,24/10/2024 07:04:15,183710,7,task-ufqh,,40890487,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729782262831,24/10/2024 15:04:22,1729767862831,-4,24/10/2024 07:04:22,183710,7,task-ufqh,,40890487,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,10373.599999904633,10372,10373.599999904633,10373.599999904633,10372,10373.599999904633,1,10373.599999904633,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1729782985376,24/10/2024 15:16:25,1729768585376,-4,24/10/2024 07:16:25,183710,7,task-ufqh,,40890487,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,722546.0999999046,722540.1,722546.0999999046,722546.0999999046,722540.1,722546.0999999046,1,722546.0999999046,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1729782991227,24/10/2024 15:16:31,1729768591227,-4,24/10/2024 07:16:31,183710,7,task-ufqh,,40890487,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,7963,1642.5,5854.599999999977,5857.19999995234,1642.5,5854.599999999977,5857.19999995234,1,1642.5,4214.69999995234,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1729782991227,24/10/2024 15:16:31,1729768591227,-4,24/10/2024 07:16:31,183710,7,task-ufqh,,40890487,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat1,chat1,,,,,,info,END,,,735848,,,,0,,,,,,,,,,
