Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733417523003,05/12/2024 16:52:03,1733399523003,-5,05/12/2024 06:52:03,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1733417623482,05/12/2024 16:53:43,1733399623482,-5,05/12/2024 06:53:43,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your age?,response,value,28,,,Number Entry,3,object-4
3,1733417623482,05/12/2024 16:53:43,1733399623482,-5,05/12/2024 06:53:43,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1733417623482,05/12/2024 16:53:43,1733399623482,-5,05/12/2024 06:53:43,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1733417623482,05/12/2024 16:53:43,1733399623482,-5,05/12/2024 06:53:43,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1733417623483,05/12/2024 16:53:43,1733399623483,-5,05/12/2024 06:53:43,183710,9,questionnaire-2qbv,,41826732,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,,,,,info,,END,100418,,,,
1,1733419653196,05/12/2024 17:27:33,1733394453196,-7,05/12/2024 03:27:33,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1733419665077,05/12/2024 17:27:45,1733394465077,-7,05/12/2024 03:27:45,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your age?,response,value,44,,,Number Entry,3,object-4
3,1733419665077,05/12/2024 17:27:45,1733394465077,-7,05/12/2024 03:27:45,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your gender?,response,value,Female,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1733419665078,05/12/2024 17:27:45,1733394465078,-7,05/12/2024 03:27:45,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your gender?,response,quantised,2,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1733419665078,05/12/2024 17:27:45,1733394465078,-7,05/12/2024 03:27:45,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1733419665078,05/12/2024 17:27:45,1733394465078,-7,05/12/2024 03:27:45,183710,9,questionnaire-2qbv,,41833753,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,,,,,info,,END,11810,,,,
1,1733421586441,05/12/2024 17:59:46,1733403586441,-5,05/12/2024 07:59:46,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1733421637656,05/12/2024 18:00:37,1733403637656,-5,05/12/2024 08:00:37,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your age?,response,value,28,,,Number Entry,3,object-4
3,1733421637656,05/12/2024 18:00:37,1733403637656,-5,05/12/2024 08:00:37,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1733421637656,05/12/2024 18:00:37,1733403637656,-5,05/12/2024 08:00:37,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1733421637657,05/12/2024 18:00:37,1733403637657,-5,05/12/2024 08:00:37,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1733421637657,05/12/2024 18:00:37,1733403637657,-5,05/12/2024 08:00:37,183710,9,questionnaire-2qbv,,41835676,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,,,,,info,,END,51137,,,,
1,1733422177990,05/12/2024 18:09:37,1733404177990,-5,05/12/2024 08:09:37,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1733422185732,05/12/2024 18:09:45,1733404185732,-5,05/12/2024 08:09:45,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your age?,response,value,36,,,Number Entry,3,object-4
3,1733422185733,05/12/2024 18:09:45,1733404185733,-5,05/12/2024 08:09:45,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your gender?,response,value,Male,,Male|Female|Non-Binary,Dropdown,4,object-5
4,1733422185733,05/12/2024 18:09:45,1733404185733,-5,05/12/2024 08:09:45,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,What is your gender?,response,quantised,1,,Male|Female|Non-Binary,Dropdown,4,object-5
5,1733422185734,05/12/2024 18:09:45,1733404185734,-5,05/12/2024 08:09:45,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,Page 1,4txcqs,1,"If you have read the information above and agree to participate with the understanding that the data you submit will be processed accordingly, please tick the box below to start.",response,Do you agree?-yes,1,,Do you agree?,Consent Form,5,object-6
6,1733422185735,05/12/2024 18:09:45,1733404185735,-5,05/12/2024 08:09:45,183710,9,questionnaire-2qbv,,41835982,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,welcomeAndConsent,1,B_1PatExt_2AlexInt,,,,,info,,END,7592,,,,
1,1733427843572,05/12/2024 19:44:03,1733409843572,-5,05/12/2024 09:44:03,183710,9,questionnaire-2qbv,,41838659,BLIND,12220463,,complete,jlaguh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,welcomeAndConsent,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
