Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1733421161303,05/12/2024 17:52:41,1733421160434,-7,05/12/2024 10:52:40,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,BEGIN QUESTIONNAIRE,
2,1733421235369,05/12/2024 17:53:55,1733421234483,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,similar-pat,Strongly Agree
3,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,similar-pat-quantised,5
4,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,similar-alex,Agree
5,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,similar-alex-quantised,4
6,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,enjoy-pat,Strongly Agree
7,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,enjoy-pat-quantised,5
8,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,enjoy-alex,Strongly Agree
9,1733421235547,05/12/2024 17:53:55,1733421234485,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,enjoy-alex-quantised,5
10,1733421235547,05/12/2024 17:53:55,1733421234486,-7,05/12/2024 10:53:54,183710,9,questionnaire-eupm,,41835472,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,Overall Bot Questionnaire: Pat then Alex,1,B_1PatExt_2AlexInt,No,distant-pat,Strongly Disagree
