Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1733417628240,05/12/2024 16:53:48,1733399628240,-5,05/12/2024 06:53:48,183710,9,task-mp98,,41826864,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733417735584,05/12/2024 16:55:35,1733399735584,-5,05/12/2024 06:55:35,183710,9,task-mp98,,41826864,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,107351.90000000075,107343.20000000001,107351.90000000075,107351.90000000075,107343.20000000001,107351.90000000075,1,107351.90000000075,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1733417735589,05/12/2024 16:55:35,1733399735589,-5,05/12/2024 06:55:35,183710,9,task-mp98,,41826864,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,,,,,,info,END,,,107333,,,,0,,,,,,,,,,
1,1733419672184,05/12/2024 17:27:52,1733394472184,-7,05/12/2024 03:27:52,183710,9,task-mp98,,41833814,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733419683868,05/12/2024 17:28:03,1733394483868,-7,05/12/2024 03:28:03,183710,9,task-mp98,,41833814,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,11695.844000047684,11682.544,11695.844000047684,11695.844000047684,11682.544,11695.844000047684,1,11695.844000047684,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1733419683872,05/12/2024 17:28:03,1733394483872,-7,05/12/2024 03:28:03,183710,9,task-mp98,,41833814,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,intro,intro,,,,,,info,END,,,11670,,,,0,,,,,,,,,,
1,1733421642572,05/12/2024 18:00:42,1733403642572,-5,05/12/2024 08:00:42,183710,9,task-mp98,,41835702,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733421661867,05/12/2024 18:01:01,1733403661867,-5,05/12/2024 08:01:01,183710,9,task-mp98,,41835702,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,19303.79999999851,19300.600000000002,19303.79999999851,19303.79999999851,19300.600000000002,19303.79999999851,1,19303.79999999851,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1733421661870,05/12/2024 18:01:01,1733403661870,-5,05/12/2024 08:01:01,183710,9,task-mp98,,41835702,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,intro,intro,,,,,,info,END,,,19280,,,,0,,,,,,,,,,
1,1733422191007,05/12/2024 18:09:51,1733404191007,-5,05/12/2024 08:09:51,183710,9,task-mp98,,41835988,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,intro,intro,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
