Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1733420426955,05/12/2024 17:40:26,1733395226955,-7,05/12/2024 03:40:26,183710,9,task-n6lp,,41835049,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733420429058,05/12/2024 17:40:29,1733395229058,-7,05/12/2024 03:40:29,183710,9,task-n6lp,,41835049,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2110.4999999284746,2099.8,2110.4999999284746,2110.4999999284746,2099.8,2110.4999999284746,1,2110.4999999284746,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1733421151654,05/12/2024 17:52:31,1733395951654,-7,05/12/2024 03:52:31,183710,9,task-n6lp,,41835049,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,722606.6999999285,722594.6,722606.6999999285,722606.6999999285,722594.6,722606.6999999285,1,722606.6999999285,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1733421155696,05/12/2024 17:52:35,1733395955696,-7,05/12/2024 03:52:35,183710,9,task-n6lp,,41835049,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,6893,3866.4000000000233,4050.0999999999767,4054.1999999523396,3866.4000000000233,4050.0999999999767,4054.1999999523396,1,3866.4000000000233,187.79999995231628,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1733421155697,05/12/2024 17:52:35,1733395955697,-7,05/12/2024 03:52:35,183710,9,task-n6lp,,41835049,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,END,,,728710,,,,0,,,,,,,,,,
1,1733423055620,05/12/2024 18:24:15,1733405055620,-5,05/12/2024 08:24:15,183710,9,task-n6lp,,41836362,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733426573502,05/12/2024 19:22:53,1733408573502,-5,05/12/2024 09:22:53,183710,9,task-n6lp,,41836362,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,3456858.2800000003,3456841.6410000003,3456858.2800000003,3456858.2800000003,3456841.6410000003,3456858.2800000003,1,3456858.2800000003,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1733427295798,05/12/2024 19:34:55,1733409295798,-5,05/12/2024 09:34:55,183710,9,task-n6lp,,41836362,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,722306.0130000953,722295.3929999997,722306.0130000953,722306.0130000953,722295.3929999997,722306.0130000953,1,722306.0130000953,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1733427299625,05/12/2024 19:34:59,1733409299625,-5,05/12/2024 09:34:59,183710,9,task-n6lp,,41836362,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,5164,1930.6560000004247,3828.592000000179,3837.5200001909398,1930.6560000004247,3828.592000000179,3837.5200001909398,1,1930.6560000004247,1906.864000190515,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1733427299628,05/12/2024 19:34:59,1733409299628,-5,05/12/2024 09:34:59,183710,9,task-n6lp,,41836362,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,END,,,4243957,,,,0,,,,,,,,,,
END OF FILE
