Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1733418483063,05/12/2024 17:08:03,1733400483063,-5,05/12/2024 07:08:03,183710,9,task-p97z,,41828818,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733418485084,05/12/2024 17:08:05,1733400485084,-5,05/12/2024 07:08:05,183710,9,task-p97z,,41828818,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,2027.5000000014902,2020.1,2027.5000000014902,2027.5000000014902,2020.1,2027.5000000014902,1,2027.5000000014902,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1733419208623,05/12/2024 17:20:08,1733401208623,-5,05/12/2024 07:20:08,183710,9,task-p97z,,41828818,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,723534.000000003,723519.8,723534.000000003,723534.000000003,723519.8,723534.000000003,1,723534.000000003,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1733419211708,05/12/2024 17:20:11,1733401211708,-5,05/12/2024 07:20:11,183710,9,task-p97z,,41828818,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,5397,2066.5999999999767,3083.0999999999767,3099.5,2066.5999999999767,3083.0999999999767,3099.5,1,2066.5999999999767,1032.9000000000233,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1733419211710,05/12/2024 17:20:11,1733401211710,-5,05/12/2024 07:20:11,183710,9,task-p97z,,41828818,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,,,,,,info,END,,,728630,,,,0,,,,,,,,,,
1,1733422436191,05/12/2024 18:13:56,1733404436191,-5,05/12/2024 08:13:56,183710,9,task-p97z,,41836079,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1733422439672,05/12/2024 18:13:59,1733404439672,-5,05/12/2024 08:13:59,183710,9,task-p97z,,41836079,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,chat1,Screen 2,66299v,1,continue,,3503.9000000059605,3500,3503.9000000059605,3503.9000000059605,3500,3503.9000000059605,1,3503.9000000059605,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1733423170099,05/12/2024 18:26:10,1733405170099,-5,05/12/2024 08:26:10,183710,9,task-p97z,,41836079,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,chat1,Screen 1,qf5pcz,2,continue,,730429.3000000045,730420.5,730429.3000000045,730429.3000000045,730420.5,730429.3000000045,1,730429.3000000045,0,0,,Click To Continue,Completed chat text,2,object-68,chat1,
4,1733423192544,05/12/2024 18:26:32,1733405192544,-5,05/12/2024 08:26:32,183710,9,task-p97z,,41836079,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,1,completionCode1,Screen 1,oj56ag,1,response,9606,6000.099999999977,22433.900000000023,22450.600000000093,6000.099999999977,22433.900000000023,22450.600000000093,1,6000.099999999977,16450.500000000116,0,,Single Text Entry,Single Text Entry,1,object-81,completionCode1,
5,1733423192548,05/12/2024 18:26:32,1733405192548,-5,05/12/2024 08:26:32,183710,9,task-p97z,,41836079,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Task (Counterbalance B) (Exp2),6,B_2AlexInt_1PatExt,chat1,chat1,,,,,,info,END,,,756337,,,,0,,,,,,,,,,
